,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.94296086,0.96293354,0.94296086,0.95284253
1,1,1,Normal,0.9637024,0.9441199,0.9637024,0.9538106
0,1,2,Attack,0.92792326,0.97387755,0.92792326,0.95034516
1,1,2,Normal,0.9751102,0.93117106,0.9751102,0.9526342
0,1,3,Attack,0.95436865,0.9580947,0.95436865,0.956228
1,1,3,Normal,0.95825773,0.95454544,0.95825773,0.956398
0,1,4,Attack,0.94114596,0.9595559,0.94114596,0.9502618
1,1,4,Normal,0.96033186,0.9422539,0.96033186,0.951207
0,1,5,Attack,0.9419238,0.95129615,0.9419238,0.9465868
1,1,5,Normal,0.95177597,0.9424904,0.95177597,0.9471104
0,1,6,Attack,0.9349235,0.963141,0.9349235,0.9488225
1,1,6,Normal,0.9642209,0.9367758,0.9642209,0.9503002
0,1,7,Attack,0.96629506,0.9052708,0.96629506,0.9347881
1,1,7,Normal,0.89888513,0.9638588,0.89888513,0.93023884
0,1,8,Attack,0.9362199,0.960117,0.9362199,0.9480179
1,1,8,Normal,0.9611097,0.93776876,0.9611097,0.94929576
0,1,9,Attack,0.9468499,0.96004206,0.9468499,0.9534003
1,1,9,Normal,0.96059114,0.9475703,0.96059114,0.95403636
0,1,10,Attack,0.9460721,0.95323926,0.9460721,0.9496422
1,1,10,Normal,0.95359087,0.94647455,0.95359087,0.9500194
0,2,1,Attack,0.93051594,0.96921414,0.93051594,0.94947094
1,2,1,Normal,0.97044337,0.9331837,0.97044337,0.9514489
0,2,2,Attack,0.93259007,0.96356815,0.93259007,0.9478261
1,2,2,Normal,0.96473944,0.93468976,0.96473944,0.9494769
0,2,3,Attack,0.93959033,0.9692431,0.93959033,0.9541864
1,2,3,Normal,0.9701841,0.94138366,0.9701841,0.955567
0,2,4,Attack,0.93207157,0.9734633,0.93207157,0.9523179
1,2,4,Normal,0.9745917,0.93484205,0.9745917,0.95430315
0,2,5,Attack,0.9351828,0.9753921,0.9351828,0.9548643
