,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.99896,0.99903995,0.99896,0.999
1,1,1,Normal,0.99904,0.9989601,0.99904,0.999
0,1,2,Attack,0.9972,0.99959904,0.9972,0.9983981
1,1,2,Normal,0.9996,0.9972067,0.9996,0.99840194
0,1,3,Attack,0.99816,0.99951935,0.99816,0.9988392
1,1,3,Normal,0.99952,0.9981625,0.99952,0.99884075
0,1,4,Attack,0.99776,0.99935895,0.99776,0.9985588
1,1,4,Normal,0.99936,0.9977636,0.99936,0.99856114
0,1,5,Attack,0.94552,0.9992391,0.94552,0.97163755
1,1,5,Normal,0.99928,0.9482994,0.99928,0.9731225
0,1,6,Attack,0.99904,0.9989601,0.99904,0.999
1,1,6,Normal,0.99896,0.99903995,0.99896,0.999
0,1,7,Attack,0.99904,0.99927986,0.99904,0.99915993
1,1,7,Normal,0.99928,0.99904025,0.99928,0.9991601
0,1,8,Attack,0.99832,0.9980006,0.99832,0.99816024
1,1,8,Normal,0.998,0.99831945,0.998,0.99815965
0,1,9,Attack,0.99808,0.99871916,0.99808,0.99839944
1,1,9,Normal,0.99872,0.9980812,0.99872,0.9984005
0,1,10,Attack,0.99752,0.99975944,0.99752,0.9986385
1,1,10,Normal,0.99976,0.9975255,0.99976,0.9986415
0,2,1,Attack,0.94864,0.9992416,0.94864,0.9732836
1,2,1,Normal,0.99928,0.9511155,0.99928,0.97460306
0,2,2,Attack,0.99864,0.99959964,0.99864,0.9991196
1,2,2,Normal,0.9996,0.9986413,0.9996,0.9991204
0,2,3,Attack,0.99632,0.9997592,0.99632,0.9980366
1,2,3,Normal,0.99976,0.99633265,0.99976,0.9980434
0,2,4,Attack,0.99784,0.98452914,0.99784,0.9911399
1,2,4,Normal,0.98432,0.9978104,0.98432,0.9910193
0,2,5,Attack,0.99704,0.9995188,0.99704,0.99827784
1,2,5,Normal,0.99952,0.9970473,0.99952,0.9982822
0,2,6,Attack,0.9472,0.9998311,0.9472,0.97280425
1,2,6,Normal,0.99984,0.9498404,0.99984,0.9741991
0,2,7,Attack,0.99864,0.99792147,0.99864,0.9982805
1,2,7,Normal,0.99792,0.99863905,0.99792,0.99827933
0,2,8,Attack,0.99928,0.9984014,0.99928,0.99884045
1,2,8,Normal,0.9984,0.9992794,0.9984,0.99883944
0,2,9,Attack,0.99904,0.99927986,0.99904,0.99915993
1,2,9,Normal,0.99928,0.99904025,0.99928,0.9991601
0,2,10,Attack,0.99872,0.99856025,0.99872,0.9986401
1,2,10,Normal,0.99856,0.9987198,0.99856,0.9986399
0,3,1,Attack,0.99784,0.99760056,0.99784,0.9977203
1,3,1,Normal,0.9976,0.9978395,0.9976,0.99771976
0,3,2,Attack,0.9984,0.99935937,0.9984,0.99887943
1,3,2,Normal,0.99936,0.9984015,0.99936,0.99888057
0,3,3,Attack,0.9988,0.9995997,0.9988,0.9991996
1,3,3,Normal,0.9996,0.99880093,0.9996,0.9992003
0,3,4,Attack,0.9972,0.99943876,0.9972,0.99831814
1,3,4,Normal,0.99944,0.9972063,0.99944,0.9983219
0,3,5,Attack,0.99928,0.99888045,0.99928,0.99908024
1,3,5,Normal,0.99888,0.99927974,0.99888,0.9990799
0,3,6,Attack,0.99768,0.99823904,0.99768,0.9979595
1,3,6,Normal,0.99824,0.9976813,0.99824,0.9979605
0,3,7,Attack,0.99816,0.9995994,0.99816,0.9988792
1,3,7,Normal,0.9996,0.9981626,0.9996,0.99888074
0,3,8,Attack,0.99736,0.9999198,0.99736,0.9986383
