,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.98648,0.9972503,0.98648,0.99183595
1,1,1,Normal,0.99728,0.9866245,0.99728,0.99192363
0,1,2,Attack,0.99712,0.9950503,0.99712,0.9960841
1,1,2,Normal,0.99504,0.997114,0.99504,0.9960759
0,1,3,Attack,0.97976,0.9965012,0.97976,0.9880597
1,1,3,Normal,0.99656,0.98009443,0.99656,0.98825866
0,1,4,Attack,0.96376,0.9966082,0.96376,0.97990894
1,1,4,Normal,0.99672,0.96491635,0.99672,0.9805604
0,1,5,Attack,0.9868,0.99556094,0.9868,0.9911611
1,1,5,Normal,0.9956,0.9869152,0.9956,0.9912386
0,1,6,Attack,0.9864,0.99459547,0.9864,0.9904808
1,1,6,Normal,0.99464,0.9865112,0.99464,0.9905589
0,1,7,Attack,0.99696,0.99298805,0.99696,0.9949701
1,1,7,Normal,0.99296,0.99694777,0.99296,0.9949499
0,1,8,Attack,0.9864,0.9949968,0.9864,0.9906798
1,1,8,Normal,0.99504,0.9865165,0.99504,0.9907599
0,1,9,Attack,0.98712,0.99636626,0.98712,0.9917216
1,1,9,Normal,0.9964,0.9872384,0.9964,0.99179804
0,1,10,Attack,0.99736,0.993624,0.99736,0.99548846
1,1,10,Normal,0.9936,0.99735004,0.9936,0.9954715
0,2,1,Attack,0.99728,0.9946541,0.99728,0.99596536
1,2,1,Normal,0.99464,0.9972728,0.99464,0.99595463
0,2,2,Attack,0.99624,0.9967982,0.99624,0.9965191
1,2,2,Normal,0.9968,0.9962421,0.9968,0.996521
0,2,3,Attack,0.99712,0.99497086,0.99712,0.9960443
1,2,3,Normal,0.99496,0.99711376,0.99496,0.9960357
0,2,4,Attack,0.98424,0.9963557,0.98424,0.99026084
1,2,4,Normal,0.9964,0.98442936,0.9964,0.9903785
0,2,5,Attack,0.958,0.99708575,0.958,0.9771522
1,2,5,Normal,0.9972,0.9595843,0.9972,0.9780307
0,2,6,Attack,0.96616,0.99620557,0.96616,0.98095274
1,2,6,Normal,0.99632,0.96715075,0.99632,0.98151875
0,2,7,Attack,0.98416,0.997163,0.98416,0.9906188
1,2,7,Normal,0.9972,0.9843639,0.9972,0.9907404
0,2,8,Attack,0.98568,0.9957168,0.98568,0.99067295
1,2,8,Normal,0.99576,0.9858229,0.99576,0.9907665
0,2,9,Attack,0.95936,0.9963443,0.95936,0.97750247
1,2,9,Normal,0.99648,0.96081454,0.99648,0.9783223
0,2,10,Attack,0.99696,0.9852941,0.99696,0.99109274
1,2,10,Normal,0.98512,0.99692357,0.98512,0.99098665
0,3,1,Attack,0.99792,0.984375,0.99792,0.99110115
1,3,1,Normal,0.98416,0.997891,0.98416,0.99097794
0,3,2,Attack,0.99648,0.993143,0.99648,0.9948087
1,3,2,Normal,0.99312,0.9964681,0.99312,0.99479127
0,3,3,Attack,0.99696,0.9931463,0.99696,0.9950495
1,3,3,Normal,0.99312,0.9969483,0.99312,0.99503046
0,3,4,Attack,0.96512,0.9970248,0.96512,0.98081297
1,3,4,Normal,0.99712,0.96620154,0.99712,0.9814173
0,3,5,Attack,0.99552,0.9930572,0.99552,0.99428713
1,3,5,Normal,0.99304,0.99550885,0.99304,0.9942729
0,3,6,Attack,0.98776,0.9813225,0.98776,0.9845307
1,3,6,Normal,0.9812,0.9876792,0.9812,0.9844289
0,3,7,Attack,0.99752,0.9925177,0.99752,0.9950126
1,3,7,Normal,0.99248,0.99750745,0.99248,0.99498737
