,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5221502,0.90838116,0.049269725,0.09346974
0,1,2,0.35716555,0.36376283,0.38137802,0.37236223
0,2,1,0.53762853,0.82924986,0.094771415,0.17010255
0,2,2,0.4517306,0.46991915,0.7540576,0.5790079
0,3,1,0.509446,0.54855186,0.1067237,0.17868355
0,3,2,0.18972647,0.029441254,0.019412756,0.023397708
0,4,1,0.5217138,0.63316905,0.10324086,0.17753406
0,4,2,0.5,0.0,0.0,0.0
0,5,1,0.5057039,0.5173201,0.17036557,0.25631925
0,5,2,0.38890654,0.41782257,0.5648431,0.4803347
0,6,1,0.5678982,0.7870374,0.18617232,0.30111617
0,6,2,0.50925267,0.5055272,0.8462601,0.63295084
0,7,1,0.5001642,0.88,0.000380261,0.0007601935
0,7,2,0.34971803,0.24876198,0.14880088,0.18621458
0,8,1,0.51505053,0.5678709,0.12592688,0.20614135
0,8,2,0.38948664,0.30533418,0.17334068,0.22113898
0,9,1,0.52241814,0.776428,0.06296776,0.11648839
0,9,2,0.46547186,0.48048475,0.85011667,0.6139601
0,10,1,0.56883585,0.83486086,0.1716187,0.28471068
0,10,2,0.426063,0.35288504,0.17735286,0.23606448
