,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.47434536,0.12561484,0.008607727,0.016111422
0,1,2,0.4025149,0.28590137,0.1301789,0.17889974
0,1,3,0.7127171,0.6352918,0.9988592,0.77663213
0,1,4,0.6667358,0.81142855,0.4344309,0.5658899
0,1,5,0.5126134,0.69070953,0.04568317,0.0856983
0,1,6,0.4748898,0.46083862,0.29548872,0.3600891
0,1,7,0.5112523,0.97587717,0.023074929,0.045083836
0,2,1,0.4916256,0.062330622,0.0011926368,0.0023404902
0,2,2,0.4647135,0.4602256,0.4082966,0.4327087
0,2,3,0.8559243,0.7772997,0.9976925,0.8738135
0,2,4,0.5176562,0.55022866,0.19341457,0.28621852
0,2,5,0.38681617,0.22234942,0.090640396,0.1287827
0,2,6,0.52739173,0.55015904,0.30044076,0.38864386
0,2,7,0.51239306,0.9337568,0.026678765,0.05187538
0,3,1,0.4888644,0.025414364,0.0005963184,0.0011652946
0,3,2,0.42661396,0.4093979,0.33160487,0.36641788
0,3,3,0.79218304,0.7072552,0.99707025,0.8275216
0,3,4,0.67491573,0.6116841,0.95799845,0.74663806
0,3,5,0.38574022,0.23717795,0.10311123,0.14373487
0,3,6,0.41068187,0.1915846,0.055483535,0.08604744
0,3,7,0.5108245,0.9308565,0.023386052,0.04562584
0,4,1,0.49143118,0.042876903,0.0008037335,0.0015778891
0,4,2,0.85696137,0.9002791,0.802852,0.84877884
0,4,3,0.83353645,0.75100976,0.9979259,0.85703784
0,4,4,0.5912108,0.85187036,0.2208193,0.35072476
0,4,5,0.38154006,0.22738664,0.098807365,0.1377553
0,4,6,0.5854809,0.7481933,0.25768733,0.38334557
0,4,7,0.9974462,0.99867445,0.9962147,0.997443
0,5,1,0.491846,0.07210884,0.001374125,0.002696858
0,5,2,0.577651,0.5987732,0.47072855,0.5270859
0,5,3,0.73410684,0.65327877,0.9977703,0.7895854
0,5,4,0.5884107,0.97112465,0.18224008,0.30688962
0,5,5,0.5379051,0.8579824,0.09084781,0.16429877
0,5,6,0.58846253,0.8519703,0.21413015,0.34224266
0,5,7,0.99635726,0.9979193,0.9947887,0.9963516
0,6,1,0.4843661,0.0041118423,0.00012963443,0.0002513447
0,6,2,0.49143118,0.48741096,0.33176044,0.39479813
0,6,3,0.7739694,0.6892168,0.9979259,0.815328
0,6,4,0.6097615,0.7400896,0.33834586,0.464388
0,6,5,0.3849624,0.22413579,0.09346642,0.1319208
0,6,6,0.4557817,0.3729041,0.12973814,0.19250228
0,6,7,0.9968369,0.9988286,0.99484056,0.9968306
0,7,1,0.49539798,0.3183214,0.008063261,0.015728122
0,7,2,0.5914052,0.638925,0.42037854,0.50710744
0,7,3,0.7751102,0.6903387,0.99779624,0.81606907
0,7,4,0.6611226,0.6969543,0.5701582,0.6272122
0,7,5,0.37485093,0.1316392,0.04472388,0.06676472
0,7,6,0.42980295,0.40830427,0.31257454,0.35408315
0,7,7,0.97980297,0.96460134,0.99616283,0.98012805
0,8,1,0.4621338,0.0816385,0.0073891627,0.0135517465
0,8,2,0.4725823,0.48086077,0.6888514,0.5663643
0,8,3,0.7648302,0.68057984,0.9981073,0.8093131
0,8,4,0.6183433,0.569998,0.96367645,0.7163107
0,8,5,0.38038632,0.20642698,0.08410682,0.11951737
0,8,6,0.59964997,0.8723961,0.23344569,0.36832955
0,8,7,0.9703915,0.9464101,0.99725175,0.97116596
0,9,1,0.49784806,0.07653061,0.00038890328,0.000773874
0,9,2,0.43266788,0.41623122,0.33456054,0.37095383
0,9,3,0.83308274,0.75883466,0.9765102,0.85402024
0,9,4,0.6595411,0.8310291,0.40051854,0.54052734
0,9,5,0.36763027,0.21173282,0.09722582,0.13325989
0,9,6,0.5017241,0.5041022,0.21187451,0.29835162
0,9,7,0.9656987,0.9479525,0.9855069,0.96636504
0,10,1,0.4939331,0.12258065,0.0019704434,0.0038785408
0,10,2,0.6331216,0.67603797,0.51122636,0.5821929
0,10,3,0.90505576,0.8429556,0.9955924,0.91293806
0,10,4,0.6056132,0.9653833,0.21908219,0.35712022
0,10,5,0.36247084,0.17387028,0.07332123,0.10314579
0,10,6,0.5656339,0.6292703,0.31949702,0.42381305
0,10,7,0.9911719,0.9956309,0.9866736,0.991132
