,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9976925,0.5011591,0.9976925,0.6671811
1,1,1,Normal,0.006922479,0.75,0.006922479,0.013718337
0,1,2,Attack,0.24928701,0.3029396,0.24928701,0.27350694
1,1,2,Normal,0.42639357,0.3622387,0.42639357,0.39170668
0,1,3,Attack,0.61521906,0.9978134,0.61521906,0.76114255
1,1,3,Normal,0.9986518,0.7218651,0.9986518,0.8379945
0,1,4,Attack,0.94332385,0.59005547,0.94332385,0.72599566
1,1,4,Normal,0.34462017,0.8587673,0.34462017,0.49185908
0,1,5,Attack,0.6674358,0.5274665,0.6674358,0.58925325
1,1,5,Normal,0.40207416,0.547309,0.40207416,0.4635827
0,1,6,Attack,0.9674099,0.5378063,0.9674099,0.6913015
1,1,6,Normal,0.16860254,0.83801544,0.16860254,0.2807252
0,1,7,Attack,0.9987555,0.9924002,0.9987555,0.99556774
1,1,7,Normal,0.9923516,0.99874747,0.9923516,0.99553925
0,2,1,Attack,0.9677729,0.49902406,0.9677729,0.6584987
1,2,1,Normal,0.028441794,0.4688034,0.028441794,0.05362992
0,2,2,Attack,0.8288048,0.5071149,0.8288048,0.62922835
1,2,2,Normal,0.19445165,0.53180176,0.19445165,0.28477588
0,2,3,Attack,0.6281307,0.9957665,0.6281307,0.7703338
1,2,3,Normal,0.99732953,0.7284037,0.99732953,0.8419128
0,2,4,Attack,0.94555354,0.65044856,0.94555354,0.7707182
1,2,4,Normal,0.49185896,0.900337,0.49185896,0.6361731
0,2,5,Attack,0.9675914,0.6037565,0.9675914,0.74355215
1,2,5,Normal,0.36497277,0.9184446,0.36497277,0.5223667
0,2,6,Attack,0.91511536,0.55482024,0.91511536,0.69081193
1,2,6,Normal,0.26572466,0.757894,0.26572466,0.39348856
0,2,7,Attack,0.99764067,0.98130673,0.99764067,0.9894063
1,2,7,Normal,0.9809956,0.99760073,0.9809956,0.9892285
0,3,1,Attack,0.9981073,0.5026243,0.9981073,0.66857123
1,3,1,Normal,0.0123152705,0.8667883,0.0123152705,0.024285493
0,3,2,Attack,0.72909,0.5622738,0.72909,0.6349074
1,3,2,Normal,0.4324086,0.61481184,0.4324086,0.5077248
0,3,3,Attack,0.57153225,0.9976918,0.57153225,0.7267452
1,3,3,Normal,0.99867773,0.6997729,0.99867773,0.82292366
0,3,4,Attack,0.97845477,0.5824369,0.97845477,0.7302085
1,3,4,Normal,0.29852217,0.9326853,0.29852217,0.45228323
0,3,5,Attack,0.9878662,0.50045973,0.9878662,0.6643535
1,3,5,Normal,0.013948665,0.53479123,0.013948665,0.027188195
0,3,6,Attack,0.76012444,0.48434687,0.76012444,0.59167916
1,3,6,Normal,0.1907441,0.4429526,0.1907441,0.26665944
0,3,7,Attack,0.9986518,0.9919139,0.9986518,0.99527144
1,3,7,Normal,0.99185896,0.99864256,0.99185896,0.9952392
