,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.993959,0.49899775,0.993959,0.6644309
1,1,1,Normal,0.002048224,0.25320512,0.002048224,0.0040635765
0,1,2,Attack,0.2688618,0.84240454,0.2688618,0.40762576
1,1,2,Normal,0.94970185,0.5650162,0.94970185,0.7085107
0,1,3,Attack,0.5727768,0.9946423,0.5727768,0.7269378
1,1,3,Normal,0.9969147,0.70001274,0.9969147,0.82249004
0,1,4,Attack,0.96473944,0.661182,0.96473944,0.7846238
1,1,4,Normal,0.50562614,0.9348097,0.50562614,0.6562794
0,1,5,Attack,0.96761733,0.6608996,0.96761733,0.7853746
1,1,5,Normal,0.50352603,0.93957424,0.50352603,0.65567183
0,1,6,Attack,0.8742805,0.47075328,0.8742805,0.61198527
1,1,6,Normal,0.017085819,0.11964416,0.017085819,0.02990154
0,1,7,Attack,0.9979259,0.9935211,0.9979259,0.9957186
1,1,7,Normal,0.99349236,0.99791664,0.99349236,0.9956995
0,2,1,Attack,0.9931553,0.49828294,0.9931553,0.6636176
1,2,1,Normal,0.0,0.0,0.0,0.0
0,2,2,Attack,0.6139746,0.8270527,0.6139746,0.7047602
1,2,2,Normal,0.87161005,0.6930546,0.87161005,0.7721442
0,2,3,Attack,0.82626396,0.9969655,0.82626396,0.9036237
1,2,3,Normal,0.9974851,0.85166246,0.9974851,0.9188241
0,2,4,Attack,0.9150894,0.8163714,0.9150894,0.8629163
1,2,4,Normal,0.79416645,0.9034094,0.79416645,0.84527296
0,2,5,Attack,0.9634431,0.49929458,0.9634431,0.6577282
1,2,5,Normal,0.033834588,0.48066297,0.033834588,0.06321909
0,2,6,Attack,0.875525,0.47063497,0.875525,0.6121898
1,2,6,Normal,0.015219082,0.1089458,0.015219082,0.02670731
0,2,7,Attack,0.9982888,0.50550085,0.9982888,0.6711522
1,2,7,Normal,0.023437904,0.93195873,0.023437904,0.045725845
0,3,1,Attack,1.0,0.5,1.0,0.6666667
1,3,1,Normal,0.0,0.0,0.0,0.0
0,3,2,Attack,0.3804252,0.70004773,0.3804252,0.49296156
1,3,2,Normal,0.8369977,0.5746351,0.8369977,0.68143535
0,3,3,Attack,0.5281566,0.99404675,0.5281566,0.68980575
1,3,3,Normal,0.9968369,0.67872965,0.9968369,0.80758685
0,3,4,Attack,0.93142337,0.81462586,0.93142337,0.8691182
1,3,4,Normal,0.78804773,0.91994554,0.78804773,0.8489038
0,3,5,Attack,0.99484056,0.5098865,0.99484056,0.67421633
1,3,5,Normal,0.043738656,0.8944857,0.043738656,0.08339924
0,3,6,Attack,0.96743584,0.53459984,0.96743584,0.6886535
1,3,6,Normal,0.15779103,0.8289294,0.15779103,0.26511586
0,3,7,Attack,0.9970184,0.50606006,0.9970184,0.6713571
1,3,7,Normal,0.026860254,0.9000869,0.026860254,0.052163843
0,4,1,Attack,0.98480684,0.49638012,0.98480684,0.6600632
1,4,1,Normal,0.00082966033,0.051779937,0.00082966033,0.0016331531
0,4,2,Attack,0.14661655,0.7051122,0.14661655,0.24275596
1,4,2,Normal,0.9386829,0.5237992,0.9386829,0.67239296
0,4,3,Attack,0.57360643,0.9959037,0.57360643,0.72794276
1,4,3,Normal,0.99764067,0.7005735,0.99764067,0.82312423
0,4,4,Attack,0.93902,0.8324255,0.93902,0.8825156
1,4,4,Normal,0.8109671,0.9300645,0.8109671,0.86644226
0,4,5,Attack,0.99398494,0.51009196,0.99398494,0.6741992
1,4,5,Normal,0.045346122,0.8828874,0.045346122,0.086261734
0,4,6,Attack,0.87150633,0.48337647,0.87150633,0.6218481
1,4,6,Normal,0.06855068,0.34789473,0.06855068,0.114533246
0,4,7,Attack,0.94583875,0.9967486,0.94583875,0.97062653
1,4,7,Normal,0.9969147,0.94847065,0.9969147,0.97208947
0,5,1,Attack,0.9940627,0.49852422,0.9940627,0.6640341
1,5,1,Normal,5.185377e-05,0.008658009,5.185377e-05,0.00010309012
0,5,2,Attack,0.19414052,0.573925,0.19414052,0.29013696
1,5,2,Normal,0.85587245,0.51504844,0.85587245,0.6430944
0,5,3,Attack,0.5207415,0.99435616,0.5207415,0.68352365
1,5,3,Normal,0.9970443,0.67536575,0.9970443,0.8052685
0,5,4,Attack,0.97959554,0.8100465,0.97959554,0.88678956
1,5,4,Normal,0.7702878,0.97419417,0.7702878,0.860324
0,5,5,Attack,0.99484056,0.50604016,0.99484056,0.67084515
1,5,5,Normal,0.028908478,0.848554,0.028908478,0.055912144
0,5,6,Attack,0.87246567,0.4864689,0.87246567,0.62464726
1,5,6,Normal,0.07899922,0.38250062,0.07899922,0.13095237
0,5,7,Attack,0.9491314,0.996353,0.9491314,0.9721691
1,5,7,Normal,0.9965258,0.95143324,0.9965258,0.97345763
0,6,1,Attack,0.94962406,0.488373,0.94962406,0.6450232
1,6,1,Normal,0.00515945,0.09290383,0.00515945,0.009775987
0,6,2,Attack,0.23811252,0.8888029,0.23811252,0.37560067
1,6,2,Normal,0.97021,0.5601359,0.97021,0.7102309
0,6,3,Attack,0.5497796,0.99619466,0.5497796,0.70853376
1,6,3,Normal,0.99789995,0.68910015,0.99789995,0.8152377
0,6,4,Attack,0.9852217,0.82712984,0.9852217,0.8992806
1,6,4,Normal,0.79408866,0.9817296,0.79408866,0.8779956
0,6,5,Attack,0.9089707,0.48398632,0.9089707,0.63164824
1,6,5,Normal,0.030878922,0.25329646,0.030878922,0.055047143
0,6,6,Attack,0.8743583,0.4704799,0.8743583,0.61177325
1,6,6,Normal,0.015919108,0.11245421,0.015919108,0.027890075
0,6,7,Attack,0.9467721,0.986546,0.9467721,0.9662499
1,6,7,Normal,0.9870884,0.9488349,0.9870884,0.96758366
0,7,1,Attack,0.8461758,0.45833978,0.8461758,0.59460545
1,7,1,Normal,0.0,0.0,0.0,0.0
0,7,2,Attack,0.28296605,0.9510282,0.28296605,0.43615878
1,7,2,Normal,0.9854291,0.57882553,0.9854291,0.7292822
0,7,3,Attack,0.7139746,0.9977175,0.7139746,0.8323284
1,7,3,Normal,0.9983666,0.7773068,0.9983666,0.8740765
0,7,4,Attack,0.9344309,0.7956598,0.9344309,0.85947996
1,7,4,Normal,0.76002073,0.9205791,0.76002073,0.83263034
0,7,5,Attack,0.9940627,0.5233266,0.9940627,0.685677
1,7,5,Normal,0.094555356,0.94091845,0.094555356,0.17184187
0,7,6,Attack,0.86728024,0.5011761,0.86728024,0.6352561
1,7,6,Normal,0.13679025,0.5075517,0.13679025,0.21550086
0,7,7,Attack,0.9975888,0.50520605,0.9975888,0.67073417
1,7,7,Normal,0.02297122,0.9050051,0.02297122,0.044805177
0,8,1,Attack,0.99743325,0.49936396,0.99743325,0.6655307
1,8,1,Normal,2.5926885e-05,0.01,2.5926885e-05,5.171968e-05
0,8,2,Attack,0.27928442,0.8776275,0.27928442,0.42372748
1,8,2,Normal,0.96105784,0.571455,0.96105784,0.71673304
0,8,3,Attack,0.5376199,0.99329376,0.5376199,0.69764155
1,8,3,Normal,0.99637026,0.68303,0.99637026,0.8104689
0,8,4,Attack,0.9866995,0.84016603,0.9866995,0.907556
1,8,4,Normal,0.81228936,0.9838897,0.81228936,0.8898925
0,8,5,Attack,0.9976925,0.50612915,0.9976925,0.67157066
1,8,5,Normal,0.02647135,0.91981983,0.02647135,0.051461693
0,8,6,Attack,0.8426497,0.56974316,0.8426497,0.67983055
1,8,6,Normal,0.3636505,0.6979846,0.3636505,0.47817272
0,8,7,Attack,0.9466684,0.9964251,0.9466684,0.97090966
1,8,7,Normal,0.99660355,0.94920486,0.99660355,0.9723269
0,9,1,Attack,0.9477573,0.487491,0.9477573,0.64382327
1,9,1,Normal,0.0036038372,0.0645311,0.0036038372,0.0068264413
0,9,2,Attack,0.2981851,0.87559956,0.2981851,0.4448699
1,9,2,Normal,0.95763546,0.5770799,0.95763546,0.7201754
0,9,3,Attack,0.5158154,0.9932601,0.5158154,0.6790102
1,9,3,Normal,0.9964999,0.6729995,0.9964999,0.8034072
0,9,4,Attack,0.98268086,0.8400452,0.98268086,0.90578216
1,9,4,Normal,0.81288564,0.9791387,0.81288564,0.8883002
0,9,5,Attack,0.6922738,0.42749643,0.6922738,0.52858084
1,9,5,Normal,0.072906405,0.19154009,0.072906405,0.10561304
0,9,6,Attack,0.8415867,0.5141364,0.8415867,0.6383167
1,9,6,Normal,0.20469277,0.56372726,0.20469277,0.30033284
0,9,7,Attack,0.997511,0.995807,0.997511,0.99665827
1,9,7,Normal,0.99579984,0.99750674,0.99579984,0.99665254
0,10,1,Attack,0.9911071,0.49833137,0.9911071,0.6632026
1,10,1,Normal,0.002255639,0.20232558,0.002255639,0.0044615385
0,10,2,Attack,0.43666062,0.66905016,0.43666062,0.5284345
1,10,2,Normal,0.78400314,0.5818885,0.78400314,0.66799206
0,10,3,Attack,0.60676694,0.99472946,0.60676694,0.7537562
1,10,3,Normal,0.99678504,0.71710217,0.99678504,0.83412343
0,10,4,Attack,0.98498833,0.8363088,0.98498833,0.9045799
1,10,4,Normal,0.8072077,0.9817425,0.8072077,0.88596106
0,10,5,Attack,0.98039925,0.5221414,0.98039925,0.6813886
1,10,5,Normal,0.10274825,0.83979654,0.10274825,0.18309501
0,10,6,Attack,0.8655432,0.51283467,0.8655432,0.6440622
