,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.98811185,0.9956921,0.9804644,0.9880196
0,1,2,0.9869956,0.9974912,0.9764456,0.98685616
0,1,3,0.9871072,0.994784,0.97934806,0.98700565
0,1,4,0.9788469,0.9986053,0.95903563,0.9784206
0,1,5,0.9869398,0.9950074,0.97879225,0.98683316
0,1,6,0.9897304,0.99593085,0.9834803,0.9896664
0,1,7,0.98314357,0.9947417,0.9714222,0.98294365
0,1,8,0.9885019,0.99625766,0.9806877,0.98841137
0,1,9,0.9868832,0.9972637,0.9764456,0.9867449
0,1,10,0.9878879,0.9938976,0.98180395,0.9878138
0,2,1,0.9865491,0.99646884,0.97655725,0.98641264
0,2,2,0.9887258,0.99457747,0.98280865,0.988658
0,2,3,0.987163,0.99692553,0.9773387,0.987035
0,2,4,0.987163,0.9982875,0.9760018,0.9870188
0,2,5,0.9864933,0.99220777,0.9806898,0.98641515
0,2,6,0.98984206,0.9970552,0.98258734,0.9897684
0,2,7,0.98476225,0.9910664,0.97834337,0.98466384
0,2,8,0.9881112,0.9982906,0.97789687,0.98798853
0,2,9,0.9874414,0.99738014,0.9774503,0.9873147
0,2,10,0.98621345,0.99109256,0.9812458,0.9861446
0,3,1,0.98766536,0.9973813,0.97789687,0.98754305
0,3,2,0.987777,0.9954643,0.98001784,0.9876807
0,3,3,0.9861584,0.9889962,0.9832552,0.98611736
0,3,4,0.9875537,0.99738103,0.9776761,0.9874303
0,3,5,0.98939556,0.9962649,0.9824757,0.98932225
0,3,6,0.98627,0.99703366,0.97544366,0.9861205
0,3,7,0.986046,0.9899843,0.98202723,0.9859897
0,3,8,0.9874414,0.99794734,0.9768922,0.98730755
0,3,9,0.9868832,0.99715036,0.97655725,0.9867464
0,3,10,0.9861018,0.99511087,0.9770038,0.9859742
0,4,1,0.9862142,0.9933175,0.97901314,0.9861135
0,4,2,0.98850256,0.99648285,0.9804644,0.9884087
0,4,3,0.9875537,0.9954623,0.97957134,0.98745286
0,4,4,0.98766536,0.9956887,0.9795736,0.9875654
0,4,5,0.98766536,0.9920045,0.98325706,0.9876114
0,4,6,0.98766536,0.998062,0.9772296,0.98753595
0,4,7,0.98939496,0.9972777,0.9814691,0.9893102
0,4,8,0.9878321,0.99591464,0.979683,0.9877322
0,4,9,0.98900425,0.9962615,0.9816923,0.9889232
0,4,10,0.9887252,0.99524885,0.9821389,0.98865044
0,5,1,0.98375845,0.9876224,0.9797946,0.98369294
0,5,2,0.98420495,0.9973627,0.97097564,0.9839923
0,5,3,0.98470724,0.998393,0.97097564,0.9844935
0,5,4,0.9888932,0.9976142,0.9801317,0.98879564
0,5,5,0.98867,0.99614686,0.98113626,0.9885846
0,5,6,0.98599094,0.9920886,0.9797968,0.98590446
0,5,7,0.9840366,0.98697215,0.98102254,0.98398834
0,5,8,0.9882786,0.9947964,0.9816923,0.9882009
0,5,9,0.98705065,0.9955702,0.978455,0.98693836
0,5,10,0.9805202,0.99357873,0.96729183,0.9802591
