Index,Feature,SHAP_value
0,Src Port,0.2036996655138001
1,Dst Port,0.3817167674172505
2,Protocol,0.0003617047725787719
3,Flow Duration,4.774083085976294
4,Tot Fwd Pkts,0.000255989094736948
5,Tot Bwd Pkts,0.00022650591672617446
6,TotLen Fwd Pkts,0.019211555232384797
7,TotLen Bwd Pkts,0.016472238612220153
8,Fwd Pkt Len Max,0.01905387780340197
9,Fwd Pkt Len Min,0.0034241996232547882
10,Fwd Pkt Len Mean,0.007606950197272787
11,Fwd Pkt Len Std,0.011140311774171473
12,Bwd Pkt Len Max,0.020791992292342014
13,Bwd Pkt Len Min,0.006899018851444842
14,Bwd Pkt Len Mean,0.006983215942970704
15,Bwd Pkt Len Std,0.01721513166860699
16,Flow Byts/s,0.6416344245769512
17,Flow Pkts/s,0.32275524663076915
18,Flow IAT Mean,0.9039392051527526
19,Flow IAT Std,1.7778489428541604
20,Flow IAT Max,1.4511741094705175
21,Flow IAT Min,0.4861506808948616
22,Fwd IAT Tot,1.5181502677347734
23,Fwd IAT Mean,1.0278319846476065
24,Fwd IAT Std,0.4972589580529988
25,Fwd IAT Max,1.069342648543596
26,Fwd IAT Min,0.5501370708370044
27,Bwd IAT Tot,1.3399334822506561
28,Bwd IAT Mean,0.8532107997566433
29,Bwd IAT Std,1.0078300885567413
30,Bwd IAT Max,1.231315876526214
31,Bwd IAT Min,0.1584721833497465
32,Fwd PSH Flags,2.2073898521164423e-06
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.06529562275147431
37,Bwd Header Len,0.005022511788807414
38,Fwd Pkts/s,0.3277414473253429
39,Bwd Pkts/s,0.30206650908555027
40,Pkt Len Min,0.003366720642102925
41,Pkt Len Max,0.011059519058594465
42,Pkt Len Mean,0.01164899538184598
43,Pkt Len Std,0.0033508793953060134
44,Pkt Len Var,0.4341241786920576
45,FIN Flag Cnt,1.2210038484303709e-05
46,SYN Flag Cnt,2.2441659729763044e-06
47,RST Flag Cnt,0.0001118566386689939
48,PSH Flag Cnt,3.498025166850855e-05
49,ACK Flag Cnt,2.6851868649100604e-05
50,URG Flag Cnt,2.005312354770401e-05
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.00011189652331709142
53,Down/Up Ratio,0.0002464239207026669
54,Pkt Size Avg,0.015616218023776949
55,Fwd Seg Size Avg,0.007659026528872845
56,Bwd Seg Size Avg,0.006974196623146291
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.00025557835930573123
64,Subflow Fwd Byts,0.019037219269176512
65,Subflow Bwd Pkts,0.0002228366474196943
66,Subflow Bwd Byts,0.015923146079722318
67,Init Fwd Win Byts,0.9776767152909258
68,Init Bwd Win Byts,0.14949955869692427
69,Fwd Act Data Pkts,0.0005375229199242489
70,Fwd Seg Size Min,0.013766062680884473
71,Active Mean,0.0042350801036733715
72,Active Std,0.002275362145578324
73,Active Max,0.007895848373338066
74,Active Min,0.005272700867436596
75,Idle Std,0.019306752151398508
