,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9506,0.9497724,0.95152,0.9506454
0,1,2,0.94848,0.9466221,0.95056,0.94858694
0,1,3,0.95152,0.94482976,0.95904,0.9518819
0,1,4,0.95104,0.94710547,0.95544,0.9512545
0,1,5,0.94776,0.94725907,0.94832,0.9477892
0,1,6,0.94828,0.9455355,0.95136,0.9484388
0,1,7,0.9554,0.9518933,0.95928,0.9555724
0,1,8,0.95,0.9489943,0.95112,0.95005596
0,1,9,0.95344,0.9504848,0.95672,0.9535922
0,1,10,0.93252,0.91610867,0.95224,0.93382496
0,2,1,0.95168,0.94973713,0.95384,0.95178413
0,2,2,0.95212,0.94778544,0.95696,0.9523507
0,2,3,0.94652,0.94392747,0.94944,0.9466757
0,2,4,0.95236,0.9475267,0.95776,0.95261586
0,2,5,0.94704,0.9438443,0.95064,0.94723004
0,2,6,0.9528,0.9532351,0.95232,0.9527773
0,2,7,0.95016,0.9435598,0.9576,0.9505281
0,2,8,0.9506,0.94734335,0.95424,0.95077914
0,2,9,0.94604,0.9461471,0.94592,0.9460335
0,2,10,0.95008,0.9470046,0.95352,0.95025116
0,3,1,0.94992,0.9482704,0.95176,0.95001197
0,3,2,0.94896,0.94645983,0.95176,0.9491025
0,3,3,0.95092,0.94858736,0.95352,0.9510473
0,3,4,0.95264,0.94833595,0.95744,0.9528662
0,3,5,0.94276,0.9435051,0.94192,0.9427119
0,3,6,0.9482,0.94816417,0.94824,0.9482021
0,3,7,0.94964,0.95046884,0.94872,0.9495936
0,3,8,0.94908,0.9463306,0.95216,0.94923633
0,3,9,0.92964,0.9457216,0.9116,0.9283474
0,3,10,0.952,0.9448819,0.96,0.9523809
0,4,1,0.9496,0.9511157,0.94792,0.9495152
0,4,2,0.95372,0.95036924,0.95744,0.9538915
0,4,3,0.95348,0.95185333,0.95528,0.9535636
0,4,4,0.95268,0.9501949,0.95544,0.9528102
0,4,5,0.95124,0.9468431,0.95616,0.9514788
0,4,6,0.94948,0.94474787,0.9548,0.9497473
0,4,7,0.95112,0.9486792,0.95384,0.95125264
0,4,8,0.95004,0.9457254,0.95488,0.9502806
0,4,9,0.95008,0.9457297,0.95496,0.95032245
0,4,10,0.95004,0.9474982,0.95288,0.9501815
0,5,1,0.95076,0.94608504,0.956,0.95101666
0,5,2,0.94976,0.94911325,0.95048,0.94979614
0,5,3,0.95356,0.9499246,0.9576,0.95374686
0,5,4,0.95244,0.94867116,0.95664,0.952639
0,5,5,0.9526,0.94628066,0.95968,0.95293325
0,5,6,0.95024,0.9481605,0.95256,0.9503552
0,5,7,0.94936,0.9501523,0.94848,0.94931537
0,5,8,0.9448,0.9362153,0.95464,0.94533783
0,5,9,0.9518,0.95003587,0.95376,0.9518943
0,5,10,0.94368,0.94346714,0.94392,0.9436935
