Index,Feature,SHAP_value
0,Src Port,0.05130909909556043
1,Dst Port,0.1940797120105722
2,Protocol,4.069784043923535e-06
3,Flow Duration,2.0681725925414325
4,Tot Fwd Pkts,7.54393236308442e-06
5,Tot Bwd Pkts,8.596151563050488e-08
6,TotLen Fwd Pkts,1.6858608621390753e-05
7,TotLen Bwd Pkts,4.335812958753228e-06
8,Fwd Pkt Len Max,1.6944598282437964e-05
9,Fwd Pkt Len Min,1.1881601076574409e-05
10,Fwd Pkt Len Mean,1.380255901841352e-05
11,Fwd Pkt Len Std,7.700457234638121e-08
12,Bwd Pkt Len Max,9.714293816078954e-06
13,Bwd Pkt Len Min,1.4072367515101814e-05
14,Bwd Pkt Len Mean,1.2257820462694376e-05
15,Bwd Pkt Len Std,0.0
16,Flow Byts/s,0.005452202271967967
17,Flow Pkts/s,0.3355113116829981
18,Flow IAT Mean,3.5870045575368628
19,Flow IAT Std,0.6575567048412783
20,Flow IAT Max,7.001139662447827
21,Flow IAT Min,0.35146704595825606
22,Fwd IAT Tot,5.068334821649001
23,Fwd IAT Mean,5.372057358015001
24,Fwd IAT Std,0.0
25,Fwd IAT Max,5.058915096478005
26,Fwd IAT Min,0.4900495057209412
27,Bwd IAT Tot,5.519578726597545e-05
28,Bwd IAT Mean,1.4465012257372785
29,Bwd IAT Std,0.0
30,Bwd IAT Max,1.6436530632255322e-05
31,Bwd IAT Min,9.92209990999462e-06
32,Fwd PSH Flags,7.559160030368163e-10
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.00041962265145212166
37,Bwd Header Len,1.4076325287590069e-06
38,Fwd Pkts/s,0.40743503255104196
39,Bwd Pkts/s,1.206012307595984e-05
40,Pkt Len Min,1.0343841689832187e-05
41,Pkt Len Max,1.551271020148563e-05
42,Pkt Len Mean,1.3398570923695269e-05
43,Pkt Len Std,1.7458081909079296e-07
44,Pkt Len Var,2.280427962634749e-06
45,FIN Flag Cnt,4.3418359152957994e-08
46,SYN Flag Cnt,2.704012914688579e-05
47,RST Flag Cnt,3.0259416212174984e-08
48,PSH Flag Cnt,2.2904976324511494e-10
49,ACK Flag Cnt,4.5291237056055425e-07
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,6.025435388317124e-08
54,Pkt Size Avg,2.0544230805639024e-05
55,Fwd Seg Size Avg,1.3286412938413767e-05
56,Bwd Seg Size Avg,1.2415701811261612e-05
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,1.4981556803533857e-08
62,Bwd Blk Rate Avg,0.002293802107129581
63,Subflow Fwd Pkts,1.7434044029605108e-07
64,Subflow Fwd Byts,6.87758514576794e-06
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,5.716325136327769e-06
67,Init Fwd Win Byts,0.07330452367654275
68,Init Bwd Win Byts,4.609857834836363e-07
69,Fwd Act Data Pkts,6.323300732974986e-09
70,Fwd Seg Size Min,0.00011620698628958439
71,Active Mean,0.0
72,Active Std,0.0
73,Active Max,0.0
74,Active Min,0.0
75,Idle Std,1.0417781877809127
