,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.999,0.99808353,0.99992,0.99900097
0,1,2,0.99852,0.99720734,0.99984,0.99852186
0,1,3,0.99864,0.9974461,0.99984,0.99864167
0,1,4,0.99888,0.997924,0.99984,0.9988811
0,1,5,0.9986,0.99784327,0.99936,0.998601
0,1,6,0.99864,0.99784344,0.99944,0.9986411
0,1,7,0.99876,0.997685,0.99984,0.99876136
0,1,8,0.99896,0.99896,0.99896,0.99896
0,1,9,0.9986,0.9984006,0.9988,0.99860024
0,1,10,0.99872,0.9978438,0.9996,0.9987211
0,2,1,0.9988,0.9979237,0.99968,0.99880105
0,2,2,0.9988,0.99784416,0.99976,0.9988012
0,2,3,0.99868,0.99760514,0.99976,0.9986814
0,2,4,0.99864,0.9973667,0.99992,0.9986417
0,2,5,0.99868,0.9980823,0.99928,0.9986808
0,2,6,0.999,0.9981631,0.99984,0.99900085
0,2,7,0.99856,0.9978431,0.99928,0.998561
0,2,8,0.99908,0.9984818,0.99968,0.99908054
0,2,9,0.99856,0.99768406,0.99944,0.99856126
0,2,10,0.99856,0.99792266,0.9992,0.9985609
0,3,1,0.99876,0.9981622,0.99936,0.99876076
0,3,2,0.9986,0.99728715,0.99992,0.99860185
0,3,3,0.99892,0.998561,0.99928,0.9989203
0,3,4,0.99892,0.9982424,0.9996,0.99892074
0,3,5,0.99832,0.99688894,0.99976,0.9983224
0,3,6,0.99876,0.997685,0.99984,0.99876136
0,3,7,0.99872,0.99744654,1.0,0.99872166
0,3,8,0.99876,0.997844,0.99968,0.9987611
0,3,9,0.99904,0.9982428,0.99984,0.9990408
0,3,10,0.99904,0.99840206,0.99968,0.99904066
0,4,1,0.99892,0.99840164,0.99944,0.99892056
0,4,2,0.9988,0.9976852,0.99992,0.99880135
0,4,3,0.99912,0.9984023,0.99984,0.9991206
0,4,4,0.99884,0.99800336,0.99968,0.998841
0,4,5,0.99848,0.9973659,0.9996,0.9984817
0,4,6,0.9984,0.9973655,0.99944,0.9984017
0,4,7,0.9986,0.99776375,0.99944,0.99860114
0,4,8,0.99908,0.99832255,0.99984,0.9990808
0,4,9,0.99868,0.99760514,0.99976,0.9986814
0,4,10,0.99872,0.9976054,0.99984,0.9987215
0,5,1,0.99868,0.99792314,0.99944,0.99868107
0,5,2,0.99884,0.99808294,0.9996,0.99884087
0,5,3,0.99888,0.99800354,0.99976,0.998881
0,5,4,0.9988,0.99776465,0.99984,0.9988013
0,5,5,0.99864,0.99784344,0.99944,0.9986411
0,5,6,0.99908,0.9984022,0.99976,0.9990806
0,5,7,0.9988,0.9983216,0.99928,0.9988006
0,5,8,0.99844,0.9971276,0.99976,0.99844205
0,5,9,0.99848,0.99712783,0.99984,0.9984821
0,5,10,0.99908,0.9984818,0.99968,0.99908054
