Index,Feature,SHAP_value
0,Src Port,0.019707574704585097
1,Dst Port,0.36359085105153444
2,Protocol,0.00012003166291560104
3,Flow Duration,10.690176811650122
4,Tot Fwd Pkts,2.0705362171935717e-05
5,Tot Bwd Pkts,2.137584567729744e-05
6,TotLen Fwd Pkts,0.0013365283618554005
7,TotLen Bwd Pkts,0.004592810502737984
8,Fwd Pkt Len Max,0.0014483151636865159
9,Fwd Pkt Len Min,0.0013697108617754786
10,Fwd Pkt Len Mean,0.0015045730882616679
11,Fwd Pkt Len Std,0.0017478548490848084
12,Bwd Pkt Len Max,0.004558565116965368
13,Bwd Pkt Len Min,0.0015283543611199183
14,Bwd Pkt Len Mean,0.002028816199250684
15,Bwd Pkt Len Std,0.0021483091860969653
16,Flow Byts/s,0.42410501729306826
17,Flow Pkts/s,0.5282252759411982
18,Flow IAT Mean,3.7782693194804677
19,Flow IAT Std,1.4884280628599966
20,Flow IAT Max,2.4019968511413388
21,Flow IAT Min,1.0143501240150934
22,Fwd IAT Tot,8.312266556305698
23,Fwd IAT Mean,0.9274157897659894
24,Fwd IAT Std,0.7467511872496566
25,Fwd IAT Max,1.572179728047672
26,Fwd IAT Min,1.1139529856800574
27,Bwd IAT Tot,3.414524625530144
28,Bwd IAT Mean,2.090829677820479
29,Bwd IAT Std,0.4450394320174985
30,Bwd IAT Max,1.3758147628661164
31,Bwd IAT Min,1.4298233938788822
32,Fwd PSH Flags,1.5210719778622204e-07
33,Bwd PSH Flags,2.4045520633819708e-08
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.0019313660099700165
37,Bwd Header Len,0.002451734229148197
38,Fwd Pkts/s,0.5407845230876395
39,Bwd Pkts/s,0.018171268006995724
40,Pkt Len Min,0.0011207846037059447
41,Pkt Len Max,0.0023340845727805744
42,Pkt Len Mean,0.0015844240780764154
43,Pkt Len Std,0.0004611550600653341
44,Pkt Len Var,0.07488838403143074
45,FIN Flag Cnt,6.3640958574239335e-06
46,SYN Flag Cnt,1.1461582959444681e-05
47,RST Flag Cnt,7.412507983488342e-07
48,PSH Flag Cnt,5.0945692642359986e-05
49,ACK Flag Cnt,9.602518500019849e-05
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,7.476907202035014e-06
54,Pkt Size Avg,0.0021287308215407644
55,Fwd Seg Size Avg,0.0014964633411797593
56,Bwd Seg Size Avg,0.0020043326941272407
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,2.1546714922510034e-05
62,Bwd Blk Rate Avg,0.19183507347431658
63,Subflow Fwd Pkts,8.135657008772231e-05
64,Subflow Fwd Byts,0.0026570417666485846
65,Subflow Bwd Pkts,9.527124494039837e-05
66,Subflow Bwd Byts,0.0014615592531434403
67,Init Fwd Win Byts,0.19473338166578294
68,Init Bwd Win Byts,0.054734374503231896
69,Fwd Act Data Pkts,6.584211187980746e-05
70,Fwd Seg Size Min,0.00040363352617991575
71,Active Mean,3.1761057748323234
72,Active Std,0.052897926314593044
73,Active Max,3.2476206841614412
74,Active Min,3.057106004281624
75,Idle Std,1.6381101445145672
