,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99412,0.9959849,0.99224,0.9941089
0,1,2,0.98632,0.9780591,0.99496,0.98643714
0,1,3,0.99168,0.98995537,0.99344,0.9916946
0,1,4,0.99556,0.99488693,0.99624,0.99556303
0,1,5,0.99428,0.9948738,0.99368,0.9942766
0,1,6,0.9954,0.99480623,0.996,0.99540275
0,1,7,0.99512,0.99488246,0.99536,0.9951212
0,1,8,0.99472,0.9942455,0.9952,0.99472255
0,1,9,0.995,0.9943277,0.99568,0.9950034
0,1,10,0.9866,0.98079205,0.99264,0.9866805
0,2,1,0.994,0.9923457,0.99568,0.99401003
0,2,2,0.994,0.9921103,0.99592,0.9940115
0,2,3,0.99404,0.9940005,0.99408,0.99404025
0,2,4,0.99572,0.99504673,0.9964,0.9957229
0,2,5,0.99316,0.99241155,0.99392,0.9931652
0,2,6,0.992,0.9900398,0.994,0.992016
0,2,7,0.9946,0.9946396,0.99456,0.99459976
0,2,8,0.99452,0.9942432,0.9948,0.99452144
0,2,9,0.99532,0.9944103,0.99624,0.9953243
0,2,10,0.99508,0.9940918,0.99608,0.99508494
0,3,1,0.99488,0.99535555,0.9944,0.9948775
0,3,2,0.99532,0.99425244,0.9964,0.995325
0,3,3,0.99464,0.9936133,0.99568,0.99464554
0,3,4,0.99468,0.9940871,0.99528,0.9946832
0,3,5,0.9948,0.9940096,0.9956,0.99480414
0,3,6,0.995,0.9941698,0.99584,0.9950042
0,3,7,0.9938,0.9936026,0.994,0.99380124
0,3,8,0.99372,0.99344367,0.994,0.9937218
0,3,9,0.99552,0.9952823,0.99576,0.99552107
0,3,10,0.99472,0.99432456,0.99512,0.9947222
0,4,1,0.99496,0.995515,0.9944,0.99495715
0,4,2,0.98644,0.97844046,0.9948,0.9865524
0,4,3,0.99476,0.9950372,0.99448,0.99475855
0,4,4,0.99468,0.9940081,0.99536,0.99468356
0,4,5,0.9944,0.99313754,0.99568,0.9944071
0,4,6,0.99492,0.993302,0.99656,0.99492836
0,4,7,0.9922,0.9901219,0.99432,0.99221647
0,4,8,0.99488,0.9941684,0.9956,0.99488366
0,4,9,0.99544,0.99393845,0.99696,0.9954469
0,4,10,0.99396,0.99289536,0.99504,0.9939665
0,5,1,0.9948,0.9934578,0.99616,0.994807
0,5,2,0.9938,0.9935236,0.99408,0.99380165
0,5,3,0.99468,0.9940081,0.99536,0.99468356
0,5,4,0.99512,0.99448705,0.99576,0.99512315
0,5,5,0.99516,0.9951996,0.99512,0.9951598
0,5,6,0.99584,0.9946528,0.99704,0.99584496
0,5,7,0.99464,0.9944027,0.99488,0.9946413
0,5,8,0.99448,0.9934536,0.99552,0.99448574
0,5,9,0.9942,0.995111,0.99328,0.9941947
0,5,10,0.99272,0.9901321,0.99536,0.99273914
