Index,Feature,SHAP_value
0,Src Port,0.3479322790520544
1,Dst Port,0.8030397634688027
2,Protocol,0.0002506788581459801
3,Flow Duration,0.18624316949634082
4,Tot Fwd Pkts,0.00010475913623204553
5,Tot Bwd Pkts,0.00017806380031474005
6,TotLen Fwd Pkts,0.13299170023930512
7,TotLen Bwd Pkts,0.1982034702295294
8,Fwd Pkt Len Max,0.044335161942283985
9,Fwd Pkt Len Min,0.01569902716549306
10,Fwd Pkt Len Mean,0.020880563257171185
11,Fwd Pkt Len Std,0.03840431413127647
12,Bwd Pkt Len Max,0.08072218725422878
13,Bwd Pkt Len Min,0.07419248924280283
14,Bwd Pkt Len Mean,0.07980433856666837
15,Bwd Pkt Len Std,0.010473969295899558
16,Flow Byts/s,5.257242497396151
17,Flow Pkts/s,0.9987985228926531
18,Flow IAT Mean,0.14395769839653494
19,Flow IAT Std,0.010853529139740128
20,Flow IAT Max,0.16457186112462452
21,Flow IAT Min,0.12922828975542563
22,Fwd IAT Tot,0.005087019724395044
23,Fwd IAT Mean,0.002433345272598469
24,Fwd IAT Std,0.0003527087833770543
25,Fwd IAT Max,0.0028505445564166007
26,Fwd IAT Min,0.0023115364897728493
27,Bwd IAT Tot,0.08397164046311548
28,Bwd IAT Mean,0.09447762364336258
29,Bwd IAT Std,0.015335664694097787
30,Bwd IAT Max,0.09582266395288895
31,Bwd IAT Min,0.09496076614219004
32,Fwd PSH Flags,0.0
33,Bwd PSH Flags,2.840735145992568e-06
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.004443470105029984
37,Bwd Header Len,0.00825514939051921
38,Fwd Pkts/s,0.6144440912100657
39,Bwd Pkts/s,0.279465111839185
40,Pkt Len Min,0.032415202214628645
41,Pkt Len Max,0.06438577741380372
42,Pkt Len Mean,0.06362669811338484
43,Pkt Len Std,0.009516960466411886
44,Pkt Len Var,0.3256232274708583
45,FIN Flag Cnt,3.9886317608761603e-10
46,SYN Flag Cnt,8.185442534469571e-05
47,RST Flag Cnt,0.0
48,PSH Flag Cnt,3.0466926603736513e-06
49,ACK Flag Cnt,4.401514641451047e-05
50,URG Flag Cnt,0.0
51,CWE Flag Count,2.1791275048599347e-08
52,ECE Flag Cnt,7.82233680496347e-10
53,Down/Up Ratio,7.956197357119996e-05
54,Pkt Size Avg,0.06534526673491266
55,Fwd Seg Size Avg,0.02079915651278728
56,Bwd Seg Size Avg,0.07817743089017998
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.0001051738155126877
64,Subflow Fwd Byts,0.1328998591011446
65,Subflow Bwd Pkts,0.00018130753462266576
66,Subflow Bwd Byts,0.19788587857197038
67,Init Fwd Win Byts,0.0
68,Init Bwd Win Byts,0.8981911500334725
69,Fwd Act Data Pkts,5.1903314323718266e-05
70,Fwd Seg Size Min,0.0
71,Active Mean,0.00030731741111099435
72,Active Std,5.2622086834283205e-06
73,Active Max,0.0003703264086617855
74,Active Min,0.00030225048419733154
75,Idle Std,0.017584671639147308
