,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9331086,0.9310968,0.93544203,0.9332644
0,1,2,0.9144413,0.9416966,0.88358825,0.9117175
0,1,3,0.9342753,0.9166667,0.9554058,0.9356354
0,1,4,0.9289603,0.93505126,0.92196006,0.9284595
0,1,5,0.9294789,0.9285899,0.93051594,0.9295519
0,1,6,0.93259007,0.94528955,0.9183303,0.931615
0,1,7,0.93168265,0.91151756,0.95618355,0.93331647
0,1,8,0.9351828,0.9552482,0.91314495,0.93372214
0,1,9,0.92455274,0.9736766,0.87269896,0.92042655
0,1,10,0.9292196,0.9569418,0.89888513,0.92700535
0,2,1,0.93116415,0.9647848,0.8949961,0.92858106
0,2,2,0.93583095,0.9433017,0.9274047,0.9352857
0,2,3,0.9322012,0.9457219,0.917034,0.93115705
0,2,4,0.92610836,0.8974607,0.96214676,0.9286787
0,2,5,0.92494166,0.8932342,0.965258,0.92785054
0,2,6,0.9366088,0.93003064,0.9442572,0.9370899
0,2,7,0.9277936,0.94715446,0.9061447,0.9261958
0,2,8,0.9342753,0.946905,0.9201452,0.9333334
0,2,9,0.9347939,0.9476775,0.92040443,0.9338419
0,2,10,0.9039409,0.97183526,0.83199376,0.8964939
0,3,1,0.93466425,0.92239857,0.9491833,0.93559927
0,3,2,0.8946072,0.8547785,0.9507389,0.90020865
0,3,3,0.92701584,0.9277922,0.92610836,0.9269495
0,3,4,0.9280529,0.9131632,0.9460721,0.92932636
0,3,5,0.9318123,0.91710496,0.94944257,0.93299365
0,3,6,0.9288307,0.95791805,0.8970703,0.9264962
0,3,7,0.93583095,0.9416711,0.9292196,0.9354039
0,3,8,0.9244231,0.94005376,0.90666324,0.92305666
0,3,9,0.9121079,0.941896,0.8784029,0.9090421
0,3,10,0.93440497,0.9559184,0.9108115,0.93281996
0,4,1,0.92701584,0.9492635,0.90225565,0.9251629
0,4,2,0.9333679,0.94091266,0.924812,0.93279284
0,4,3,0.93207157,0.92962104,0.9349235,0.93226475
0,4,4,0.9353124,0.9164187,0.95799845,0.93674743
0,4,5,0.9337568,0.96394897,0.9012186,0.93152887
0,4,6,0.924812,0.93962973,0.9079596,0.92352325
0,4,7,0.9310345,0.9676512,0.89188486,0.9282245
0,4,8,0.936868,0.93857366,0.9349235,0.936745
0,4,9,0.9268862,0.9631505,0.88773656,0.92390716
0,4,10,0.91807103,0.9231173,0.9121079,0.9175796
0,5,1,0.8881255,0.88463515,0.8926627,0.88863075
0,5,2,0.92792326,0.95455796,0.89862585,0.9257479
0,5,3,0.9246824,0.9764398,0.87036556,0.9203564
0,5,4,0.8959035,0.8526559,0.9572206,0.9019177
0,5,5,0.90938556,0.9013727,0.9193674,0.9102811
0,5,6,0.9310345,0.95066416,0.9092559,0.92949915
0,5,7,0.92610836,0.8959287,0.9642209,0.9288211
0,5,8,0.9336272,0.9465955,0.9191081,0.93264925
0,5,9,0.90873736,0.93974894,0.8734768,0.90540177
0,5,10,0.927664,0.93764925,0.9162561,0.9268292
