Index,Feature,SHAP_value
0,Src Port,1.5885880463070512
1,Dst Port,1.6162791594253403
2,Protocol,1.0772696495430033e-05
3,Flow Duration,9.709686491041847
4,Tot Fwd Pkts,0.0002203895321047446
5,Tot Bwd Pkts,0.0007789183716898073
6,TotLen Fwd Pkts,0.0910377781085752
7,TotLen Bwd Pkts,0.06522482955142261
8,Fwd Pkt Len Max,0.014787402368600483
9,Fwd Pkt Len Min,0.0001504516277857535
10,Fwd Pkt Len Mean,0.006000591029675926
11,Fwd Pkt Len Std,0.004720703024232045
12,Bwd Pkt Len Max,0.05503472436583242
13,Bwd Pkt Len Min,0.00010905896379381528
14,Bwd Pkt Len Mean,0.002646188582405965
15,Bwd Pkt Len Std,0.03020578732794919
16,Flow Byts/s,0.7161650086165954
17,Flow Pkts/s,1.397210827648451
18,Flow IAT Mean,7.970301903220471
19,Flow IAT Std,12.245536165941138
20,Flow IAT Max,61.15489483094914
21,Flow IAT Min,0.007198137074534781
22,Fwd IAT Tot,18.81935945966792
23,Fwd IAT Mean,5.1593294543319415
24,Fwd IAT Std,4.831277257604549
25,Fwd IAT Max,42.66450564512798
26,Fwd IAT Min,0.010839904491579904
27,Bwd IAT Tot,17.473124369909318
28,Bwd IAT Mean,4.221773983091791
29,Bwd IAT Std,13.33614754410253
30,Bwd IAT Max,19.131754910659147
31,Bwd IAT Min,0.006407796004213384
32,Fwd PSH Flags,5.022395493511882e-07
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.01280146012009586
37,Bwd Header Len,0.0304623495250153
38,Fwd Pkts/s,2.3672045199877485
39,Bwd Pkts/s,0.2506971356535403
40,Pkt Len Min,0.00012970578662280555
41,Pkt Len Max,0.02316883353934833
42,Pkt Len Mean,0.005093223464373818
43,Pkt Len Std,0.00650548605753667
44,Pkt Len Var,2.738563230969526
45,FIN Flag Cnt,1.9348224769503155e-05
46,SYN Flag Cnt,0.00011409741660223589
47,RST Flag Cnt,6.561832831405587e-05
48,PSH Flag Cnt,0.00029139057142450536
49,ACK Flag Cnt,0.0009898940123831013
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,2.515969736903341e-05
54,Pkt Size Avg,0.0059307572766810574
55,Fwd Seg Size Avg,0.0059693545949081285
56,Bwd Seg Size Avg,0.0024919393953969993
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0005864418069530839
62,Bwd Blk Rate Avg,2.041640875580423
63,Subflow Fwd Pkts,9.529243724693925e-05
64,Subflow Fwd Byts,0.0031289150766120044
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,0.0016028439061645688
67,Init Fwd Win Byts,1.6856460204574195
68,Init Bwd Win Byts,0.055387460983456926
69,Fwd Act Data Pkts,0.00020846096187476104
70,Fwd Seg Size Min,9.337194988735318e-05
71,Active Mean,0.0
72,Active Std,0.0
73,Active Max,0.0
74,Active Min,0.0
75,Idle Std,38.82076801594078
