,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.96828,0.9404771,0.99984,0.96925044
0,1,2,0.96784,0.93983155,0.99968,0.9688324
0,1,3,0.969,0.9436918,0.99752,0.9698596
0,1,4,0.97004,0.9470441,0.99576,0.9707913
0,1,5,0.968,0.9401144,0.99968,0.9689827
0,1,6,0.96836,0.94315344,0.9968,0.96923494
0,1,7,0.96928,0.9433192,0.99856,0.9701538
0,1,8,0.96788,0.9404986,0.99896,0.96884817
0,1,9,0.96988,0.9432496,0.99992,0.97075844
0,1,10,0.9668,0.94157714,0.99536,0.96772194
0,2,1,0.971,0.9467334,0.99816,0.9717668
0,2,2,0.9684,0.940955,0.99952,0.9693537
0,2,3,0.96588,0.9398082,0.99552,0.9668622
0,2,4,0.96896,0.9438219,0.99728,0.96981484
0,2,5,0.9702,0.9455689,0.99784,0.9710015
0,2,6,0.968,0.9402468,0.99952,0.96897775
0,2,7,0.96376,0.9416425,0.9888,0.96464527
0,2,8,0.96756,0.939337,0.99968,0.9685695
0,2,9,0.96688,0.93912715,0.99848,0.9678945
0,2,10,0.96884,0.94233525,0.9988,0.9697464
0,3,1,0.96924,0.942112,0.99992,0.97015566
0,3,2,0.96852,0.9409019,0.99984,0.96947604
0,3,3,0.9686,0.94130945,0.99952,0.9695418
0,3,4,0.9672,0.93942815,0.9988,0.9682047
0,3,5,0.9676,0.9408659,0.99792,0.9685535
0,3,6,0.96752,0.9390684,0.99992,0.9685393
0,3,7,0.96972,0.9429649,0.99992,0.9706077
0,3,8,0.96884,0.94200164,0.9992,0.9697581
0,3,9,0.96924,0.94231206,0.99968,0.9701487
0,3,10,0.96896,0.9418815,0.9996,0.9698828
0,4,1,0.9688,0.94146454,0.99976,0.96973693
0,4,2,0.97084,0.94523036,0.9996,0.9716552
0,4,3,0.96868,0.94151783,0.99944,0.9696147
0,4,4,0.9694,0.9433321,0.9988,0.970274
0,4,5,0.96772,0.94141185,0.99752,0.9686541
0,4,6,0.96708,0.9385563,0.9996,0.9681168
0,4,7,0.96868,0.9412518,0.99976,0.9696241
0,4,8,0.96896,0.94214815,0.99928,0.9698734
0,4,9,0.96788,0.9416295,0.9976,0.96880704
0,4,10,0.96876,0.94126064,0.99992,0.96970403
0,5,1,0.96764,0.9394122,0.99976,0.96864706
0,5,2,0.97068,0.94487715,0.99968,0.9715063
0,5,3,0.96876,0.94152665,0.9996,0.9696946
0,5,4,0.96948,0.94247156,1.0,0.97038394
0,5,5,0.96908,0.94229466,0.99936,0.96998876
0,5,6,0.96772,0.9394213,0.99992,0.968727
0,5,7,0.96772,0.9398841,0.99936,0.96871
0,5,8,0.9696,0.94288516,0.99976,0.97049004
0,5,9,0.96808,0.9401896,0.99976,0.9690602
0,5,10,0.96844,0.94109225,0.99944,0.96938896
