,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99624,0.9937908,0.99872,0.99624926
0,1,2,0.9956,0.99237007,0.99888,0.9956144
0,1,3,0.994,0.98914766,0.99896,0.9940296
0,1,4,0.99396,0.9936835,0.99424,0.99396163
0,1,5,0.9904,0.98619926,0.99472,0.9904413
0,1,6,0.99436,0.9916461,0.99712,0.9943755
0,1,7,0.99376,0.989065,0.99856,0.9937898
0,1,8,0.994,0.98922515,0.99888,0.9940291
0,1,9,0.99488,0.9933801,0.9964,0.99488777
0,1,10,0.9946,0.9911814,0.99808,0.9946187
0,2,1,0.99584,0.99607813,0.9956,0.99583906
0,2,2,0.99108,0.9935676,0.98856,0.99105746
0,2,3,0.99484,0.9914978,0.99824,0.9948575
0,2,4,0.99356,0.9889831,0.99824,0.99358994
0,2,5,0.9944,0.9933738,0.99544,0.9944058
0,2,6,0.99408,0.99008095,0.99816,0.994104
0,2,7,0.99444,0.992274,0.99664,0.99445224
0,2,8,0.99604,0.9975925,0.99448,0.9960338
0,2,9,0.99512,0.9925979,0.99768,0.99513245
0,2,10,0.99128,0.98769057,0.99496,0.991312
0,3,1,0.9922,0.9920819,0.99232,0.9922009
0,3,2,0.99324,0.9921769,0.99432,0.9932473
0,3,3,0.9934,0.9925725,0.99424,0.9934055
0,3,4,0.99448,0.99125737,0.99776,0.9944981
0,3,5,0.99332,0.98967683,0.99704,0.9933448
0,3,6,0.99384,0.9918725,0.99584,0.99385226
0,3,7,0.99468,0.993535,0.99584,0.9946861
0,3,8,0.9922,0.99098235,0.99344,0.9922096
0,3,9,0.9954,0.9941744,0.99664,0.9954057
0,3,10,0.99492,0.9944058,0.99544,0.9949227
0,4,1,0.98396,0.9926704,0.97512,0.9838169
0,4,2,0.99436,0.994637,0.99408,0.9943584
0,4,3,0.9936,0.99273276,0.99448,0.9936056
0,4,4,0.99492,0.99338067,0.99648,0.99492794
0,4,5,0.99636,0.9973547,0.99536,0.99635637
0,4,6,0.99372,0.9915571,0.99592,0.9937338
0,4,7,0.99496,0.99535626,0.99456,0.994958
0,4,8,0.99088,0.99451965,0.9872,0.9908463
0,4,9,0.99292,0.9909953,0.99488,0.9929338
0,4,10,0.99396,0.9930528,0.99488,0.99396557
0,5,1,0.99544,0.9972699,0.9936,0.99543154
0,5,2,0.99552,0.997031,0.994,0.9955132
0,5,3,0.99332,0.9886679,0.99808,0.99335164
0,5,4,0.99436,0.99024194,0.99856,0.9943836
0,5,5,0.99304,0.9886616,0.99752,0.9930711
0,5,6,0.99236,0.9867141,0.99816,0.99240404
0,5,7,0.99576,0.9953637,0.99616,0.9957617
0,5,8,0.99448,0.9943218,0.99464,0.9944809
0,5,9,0.99572,0.99528414,0.99616,0.9957219
0,5,10,0.9946,0.9915719,0.99768,0.9946166
