Index,Feature,SHAP_value
0,Src Port,0.18708989155561545
1,Dst Port,0.2933237491371141
2,Protocol,0.009897823573600162
3,Flow Duration,1.5231698909597833
4,Tot Fwd Pkts,0.0
5,Tot Bwd Pkts,0.0
6,TotLen Fwd Pkts,0.0
7,TotLen Bwd Pkts,0.0
8,Fwd Pkt Len Max,0.0
9,Fwd Pkt Len Min,0.0
10,Fwd Pkt Len Mean,0.0
11,Fwd Pkt Len Std,0.0
12,Bwd Pkt Len Max,0.0
13,Bwd Pkt Len Min,0.0
14,Bwd Pkt Len Mean,0.0
15,Bwd Pkt Len Std,0.0
16,Flow Byts/s,0.0
17,Flow Pkts/s,0.0
18,Flow IAT Mean,1.6772932385060428
19,Flow IAT Std,4.88393259893086
20,Flow IAT Max,3.183822815688059
21,Flow IAT Min,0.0027371126846276093
22,Fwd IAT Tot,0.0
23,Fwd IAT Mean,4.626388759783125
24,Fwd IAT Std,2.050820450255186
25,Fwd IAT Max,3.08657081883346
26,Fwd IAT Min,0.005533543717187982
27,Bwd IAT Tot,0.0
28,Bwd IAT Mean,5.149079527290539
29,Bwd IAT Std,1.5702149361890165
30,Bwd IAT Max,3.292442922870509
31,Bwd IAT Min,0.009301041038566403
32,Fwd PSH Flags,3.441722015331549e-08
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.0
37,Bwd Header Len,0.0
38,Fwd Pkts/s,0.0
39,Bwd Pkts/s,0.0
40,Pkt Len Min,0.0
41,Pkt Len Max,0.0
42,Pkt Len Mean,0.0
43,Pkt Len Std,0.0
44,Pkt Len Var,0.0
45,FIN Flag Cnt,0.0
46,SYN Flag Cnt,0.0
47,RST Flag Cnt,0.0
48,PSH Flag Cnt,0.0
49,ACK Flag Cnt,0.0
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,0.005027509747527399
54,Pkt Size Avg,0.0
55,Fwd Seg Size Avg,0.0
56,Bwd Seg Size Avg,0.0
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.0
64,Subflow Fwd Byts,0.0
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,0.0
67,Init Fwd Win Byts,0.0
68,Fwd Act Data Pkts,0.006840696611922647
69,Active Mean,0.03271719605034605
70,Active Std,0.14191785734681367
71,Active Max,0.00579622688684976
72,Active Min,0.018006242263689194
73,Idle Std,0.22208143284669268
