,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.98727465,0.9951225,0.97934806,0.98717225
0,1,2,0.98682815,0.99692345,0.9766689,0.98669225
0,1,3,0.9892839,0.99514234,0.98336685,0.9892196
0,1,4,0.98135847,0.99688905,0.96573275,0.9810636
0,1,5,0.98878163,0.9939093,0.9835919,0.98872375
0,1,6,0.98867,0.997274,0.9800201,0.98857176
0,1,7,0.988781,0.9978397,0.979683,0.988678
0,1,8,0.988781,0.9936859,0.98381335,0.988725
0,1,9,0.985432,0.99521697,0.97555256,0.98528665
0,1,10,0.9864367,0.9970343,0.97577584,0.9862905
0,2,1,0.98939556,0.9966017,0.9821389,0.9893174
0,2,2,0.9891165,0.9971633,0.98102254,0.989027
0,2,3,0.9891165,0.9972761,0.9809109,0.9890258
0,2,4,0.98398167,0.9903868,0.9774528,0.98387724
0,2,5,0.98465145,0.99691004,0.97231835,0.98446065
0,2,6,0.98627,0.99153787,0.98091304,0.9861968
0,2,7,0.9857111,0.9908619,0.9804644,0.9856357
0,2,8,0.98721814,0.99760574,0.97678053,0.9870834
0,2,9,0.9877763,0.993673,0.98180395,0.9877028
0,2,10,0.98906004,0.99659944,0.9814691,0.98897636
0,3,1,0.9882793,0.99840474,0.9781201,0.98815835
0,3,2,0.98861414,0.99806553,0.9791248,0.98850447
0,3,3,0.987163,0.9988569,0.9754409,0.98701006
0,3,4,0.98643744,0.99154073,0.9812479,0.98636746
0,3,5,0.9871072,0.9943362,0.9797968,0.987013
0,3,6,0.98894906,0.99413425,0.98370355,0.9888914
0,3,7,0.9881112,0.99749684,0.9786783,0.98799795
0,3,8,0.98760885,0.9953504,0.9797946,0.9875112
0,3,9,0.98805535,0.9956916,0.98035276,0.9879626
0,3,10,0.9893391,0.99592716,0.982697,0.9892679
0,4,1,0.98906064,0.99852073,0.97957134,0.98895526
0,4,2,0.98587936,0.996464,0.9752177,0.98572636
0,4,3,0.987163,0.9966993,0.97756195,0.98703784
0,4,4,0.9839259,0.98773766,0.9800201,0.9838638
0,4,5,0.9882793,0.9972718,0.97923875,0.988173
0,4,6,0.9867165,0.9953425,0.97801095,0.98660064
0,4,7,0.98866934,0.9974997,0.9797946,0.98856795
0,4,8,0.9895624,0.995929,0.98314357,0.989495
0,4,9,0.9885577,0.99535936,0.9816923,0.98847854
0,4,10,0.9810784,0.98700416,0.9749944,0.9809625
0,5,1,0.9879444,0.99580306,0.98001784,0.9878474
0,5,2,0.9836468,0.9955393,0.9716455,0.98344725
0,5,3,0.98398167,0.9908298,0.9770038,0.98386824
0,5,4,0.9891165,0.9970508,0.98113626,0.9890295
0,5,5,0.98632586,0.9965808,0.9760018,0.98618394
0,5,6,0.98554444,0.99748397,0.97354615,0.98536974
0,5,7,0.98359007,0.9897129,0.9773387,0.9834869
0,5,8,0.98799956,0.9964793,0.9794597,0.98789614
0,5,9,0.9885577,0.9958083,0.9812458,0.9884734
0,5,10,0.9820831,0.99269825,0.97131056,0.981888
