Index,Feature,SHAP_value
0,Src Port,0.09153963889945468
1,Dst Port,0.44108387598577126
2,Protocol,0.00030591458113110213
3,Flow Duration,4.833410318471843
4,Tot Fwd Pkts,0.0030143225390030755
5,Tot Bwd Pkts,0.00034463636300512444
6,TotLen Fwd Pkts,0.03803443067992002
7,TotLen Bwd Pkts,0.008798810809125443
8,Fwd Pkt Len Max,0.01661298921074513
9,Fwd Pkt Len Min,0.002770134978523113
10,Fwd Pkt Len Mean,0.006255295145129483
11,Fwd Pkt Len Std,0.009835473121365205
12,Bwd Pkt Len Max,0.02624535459127681
13,Bwd Pkt Len Min,0.005534804987765185
14,Bwd Pkt Len Mean,0.0045951356592632666
15,Bwd Pkt Len Std,0.01905302909733841
16,Flow Byts/s,0.5677055187089958
17,Flow Pkts/s,0.2909085756374308
18,Flow IAT Mean,1.1874167366277686
19,Flow IAT Std,1.0561904207242434
20,Flow IAT Max,2.0139044740971483
21,Flow IAT Min,1.0950275386620736
22,Fwd IAT Tot,1.5814963767978423
23,Fwd IAT Mean,1.3632781101195979
24,Fwd IAT Std,0.22632054960800757
25,Fwd IAT Max,0.9384392987895793
26,Fwd IAT Min,0.34772878193649587
27,Bwd IAT Tot,1.0453017460514153
28,Bwd IAT Mean,0.7625496452761874
29,Bwd IAT Std,0.906567724521177
30,Bwd IAT Max,0.6240253286626298
31,Bwd IAT Min,0.0732035814240362
32,Fwd PSH Flags,4.401429874784315e-06
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,3.617391319821195e-08
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.22352473855292532
37,Bwd Header Len,0.004766832770625869
38,Fwd Pkts/s,0.2000206366099143
39,Bwd Pkts/s,0.22621369345075687
40,Pkt Len Min,0.002750867878377294
41,Pkt Len Max,0.011343105683948116
42,Pkt Len Mean,0.008085977834614524
43,Pkt Len Std,0.0019205899719424331
44,Pkt Len Var,0.6663909965382047
45,FIN Flag Cnt,4.742171665462891e-06
46,SYN Flag Cnt,4.328843043502282e-06
47,RST Flag Cnt,5.933758772698118e-05
48,PSH Flag Cnt,3.319271383978812e-05
49,ACK Flag Cnt,2.7187733645202944e-05
50,URG Flag Cnt,3.104182657033405e-05
51,CWE Flag Count,3.633841700398932e-08
52,ECE Flag Cnt,5.909270026549371e-05
53,Down/Up Ratio,0.00019641725802936597
54,Pkt Size Avg,0.011025816764814832
55,Fwd Seg Size Avg,0.0063308370134679635
56,Bwd Seg Size Avg,0.004574281625629391
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.0028982620217665434
64,Subflow Fwd Byts,0.038080738923904185
65,Subflow Bwd Pkts,0.0003439610929230381
66,Subflow Bwd Byts,0.008049282977008193
67,Init Fwd Win Byts,0.8699825249686726
68,Fwd Act Data Pkts,0.0034333735132813376
69,Active Mean,0.0052264308714912765
70,Active Std,0.0014969000959535932
71,Active Max,0.005554455518089958
72,Active Min,0.00532965644659556
73,Idle Std,0.02506837646640401
