,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.95112,0.94968104,0.95272,0.9511981
0,1,2,0.9504,0.9490349,0.95192,0.9504752
0,1,3,0.94428,0.9424042,0.9464,0.9443979
0,1,4,0.94872,0.94248974,0.95576,0.94907844
0,1,5,0.94924,0.94095016,0.95864,0.9497127
0,1,6,0.95216,0.9528121,0.95144,0.95212555
0,1,7,0.946,0.93842405,0.95464,0.9464626
0,1,8,0.95156,0.9515239,0.9516,0.951562
0,1,9,0.94832,0.94433874,0.9528,0.94855046
0,1,10,0.95076,0.94899994,0.95272,0.9508563
0,2,1,0.94624,0.94213694,0.95088,0.9464883
0,2,2,0.94904,0.9473223,0.95096,0.9491377
0,2,3,0.94688,0.9466656,0.94712,0.94689274
0,2,4,0.95032,0.9448396,0.95648,0.95062417
0,2,5,0.94916,0.9494117,0.94888,0.9491458
0,2,6,0.95156,0.9473726,0.95624,0.9517856
0,2,7,0.95232,0.9483032,0.9568,0.9525327
0,2,8,0.94984,0.949912,0.94976,0.949836
0,2,9,0.95192,0.94783574,0.95648,0.95213825
0,2,10,0.94788,0.9381016,0.95904,0.9484552
0,3,1,0.9466,0.94699335,0.94616,0.9465765
0,3,2,0.94868,0.94842887,0.94896,0.94869435
0,3,3,0.95236,0.9529035,0.95176,0.9523314
0,3,4,0.94528,0.9437889,0.94696,0.94537175
0,3,5,0.9528,0.9532351,0.95232,0.9527773
0,3,6,0.95112,0.94953763,0.95288,0.9512059
0,3,7,0.95284,0.9472229,0.95912,0.9531343
0,3,8,0.94632,0.9431999,0.94984,0.9465083
0,3,9,0.95144,0.9487118,0.95448,0.9515872
0,3,10,0.94724,0.94344413,0.95152,0.9474648
0,4,1,0.95108,0.9498205,0.95248,0.9511484
0,4,2,0.94964,0.9514095,0.94768,0.9495411
0,4,3,0.95172,0.9463989,0.95768,0.952006
0,4,4,0.94872,0.9451587,0.95272,0.94892436
0,4,5,0.94416,0.9445868,0.94368,0.9441332
0,4,6,0.95356,0.9537415,0.95336,0.95355076
0,4,7,0.95032,0.945121,0.95616,0.95060843
0,4,8,0.95164,0.95073855,0.95264,0.95168835
0,4,9,0.94876,0.9478643,0.94976,0.9488113
0,4,10,0.9484,0.94413626,0.9532,0.9486465
0,5,1,0.9496,0.9421715,0.958,0.9500198
0,5,2,0.95092,0.9478744,0.95432,0.9510863
0,5,3,0.94912,0.9443565,0.95448,0.94939125
0,5,4,0.95564,0.95070034,0.96112,0.9558818
0,5,5,0.9452,0.9413164,0.9496,0.94544005
0,5,6,0.95308,0.95145476,0.95488,0.9531643
0,5,7,0.9508,0.94419044,0.95824,0.9511633
0,5,8,0.95276,0.9512078,0.95448,0.9528411
0,5,9,0.95088,0.94929844,0.95264,0.9509663
0,5,10,0.95208,0.9474976,0.9572,0.95232403
