Index,Feature,SHAP_value
0,Src Port,0.044778773614684284
1,Dst Port,0.18008227517077813
2,Protocol,1.1916851532129805e-06
3,Flow Duration,1.441772068196683
4,Tot Fwd Pkts,3.5219741036999466e-06
5,Tot Bwd Pkts,4.9603114721819e-08
6,TotLen Fwd Pkts,7.58265528600981e-06
7,TotLen Bwd Pkts,2.1736030759491598e-06
8,Fwd Pkt Len Max,5.948680731505739e-06
9,Fwd Pkt Len Min,4.460977395590581e-06
10,Fwd Pkt Len Mean,4.208597781463824e-06
11,Fwd Pkt Len Std,6.782048308729004e-09
12,Bwd Pkt Len Max,3.0783436077822304e-06
13,Bwd Pkt Len Min,3.1606082871746814e-06
14,Bwd Pkt Len Mean,3.1161479853794348e-06
15,Bwd Pkt Len Std,1.8033424416565718e-08
16,Flow Byts/s,0.001816988395376621
17,Flow Pkts/s,0.43653003936622736
18,Flow IAT Mean,3.6364782980678156
19,Flow IAT Std,0.5252961108604776
20,Flow IAT Max,5.17374265462043
21,Flow IAT Min,0.5299235131495378
22,Fwd IAT Tot,3.4134262379991283
23,Fwd IAT Mean,5.7693680362815085
24,Fwd IAT Std,0.0
25,Fwd IAT Max,3.9817669131584665
26,Fwd IAT Min,0.4250380281371731
27,Bwd IAT Tot,0.013512655706373866
28,Bwd IAT Mean,1.2443895215540004
29,Bwd IAT Std,0.00019710047919244502
30,Bwd IAT Max,0.006911242813444593
31,Bwd IAT Min,0.043425017605015645
32,Fwd PSH Flags,0.0
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.0001798693478162445
37,Bwd Header Len,9.3912757051271e-07
38,Fwd Pkts/s,0.3968900497566043
39,Bwd Pkts/s,1.0866201677513901e-05
40,Pkt Len Min,3.3395723614445053e-06
41,Pkt Len Max,4.442657190936359e-06
42,Pkt Len Mean,3.9763359065130936e-06
43,Pkt Len Std,6.67099500333089e-08
44,Pkt Len Var,1.1687856627323161e-06
45,FIN Flag Cnt,2.389269681231099e-08
46,SYN Flag Cnt,3.512317922184155e-05
47,RST Flag Cnt,6.594109024149475e-10
48,PSH Flag Cnt,3.749793399787649e-09
49,ACK Flag Cnt,2.060705853365264e-07
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,3.5864065488055984e-08
54,Pkt Size Avg,5.772476178182138e-06
55,Fwd Seg Size Avg,4.216864684356535e-06
56,Bwd Seg Size Avg,3.2000412583100503e-06
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,3.695743782827776e-09
62,Bwd Blk Rate Avg,0.0038011785469214596
63,Subflow Fwd Pkts,5.909944804436406e-08
64,Subflow Fwd Byts,2.8686762070192462e-06
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,1.4191991096993205e-06
67,Init Fwd Win Byts,0.051636360502109534
68,Fwd Act Data Pkts,1.482516368258243e-08
69,Active Mean,0.0
70,Active Std,0.0
71,Active Max,0.0
72,Active Min,0.0
73,Idle Std,1.0573889149767122
