,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99916,0.9984024,0.99992,0.9991606
0,1,2,0.99844,0.9991188,0.99776,0.9984389
0,1,3,0.99864,0.99864,0.99864,0.99864
0,1,4,0.99892,0.9981628,0.99968,0.9989208
0,1,5,0.99848,0.99712783,0.99984,0.9984821
0,1,6,0.999,0.9982427,0.99976,0.9990007
0,1,7,0.9988,0.99895966,0.99864,0.99879986
0,1,8,0.99872,0.99768484,0.99976,0.9987213
0,1,9,0.99872,0.99808246,0.99936,0.9987209
0,1,10,0.99884,0.9977648,0.99992,0.9988412
0,2,1,0.99916,0.9988806,0.99944,0.9991603
0,2,2,0.99896,0.99808335,0.99984,0.9989609
0,2,3,0.99924,0.9986416,0.99984,0.99924046
0,2,4,0.99856,0.99752516,0.9996,0.9985615
0,2,5,0.99892,0.99792415,0.99992,0.99892104
0,2,6,0.99872,0.99768484,0.99976,0.9987213
0,2,7,0.99864,0.99776393,0.99952,0.9986412
0,2,8,0.99884,0.9981625,0.99952,0.99884075
0,2,9,0.99908,0.99832255,0.99984,0.9990808
0,2,10,0.99924,0.9986416,0.99984,0.99924046
0,3,1,0.99904,0.9982428,0.99984,0.9990408
0,3,2,0.99888,0.9981626,0.9996,0.99888074
0,3,3,0.99932,0.998881,0.99976,0.99932027
0,3,4,0.99912,0.9986413,0.9996,0.9991204
0,3,5,0.99912,0.99832267,0.99992,0.9991207
0,3,6,0.99864,0.9974461,0.99984,0.99864167
0,3,7,0.999,0.9983223,0.99968,0.99900067
0,3,8,0.99848,0.99720716,0.99976,0.9984819
0,3,9,0.99868,0.99760514,0.99976,0.9986814
0,3,10,0.99876,0.998003,0.99952,0.9987609
0,4,1,0.99924,0.9986416,0.99984,0.99924046
0,4,2,0.99872,0.9976054,0.99984,0.9987215
0,4,3,0.99844,0.9974451,0.99944,0.9984416
0,4,4,0.9988,0.9979237,0.99968,0.99880105
0,4,5,0.99868,0.9977641,0.9996,0.99868125
0,4,6,0.99876,0.99856055,0.99896,0.9987602
0,4,7,0.99912,0.99880075,0.99944,0.9991203
0,4,8,0.99904,0.99840206,0.99968,0.99904066
0,4,9,0.99892,0.9982424,0.9996,0.99892074
0,4,10,0.99944,0.99912053,0.99976,0.9994402
0,5,1,0.99892,0.99792415,0.99992,0.99892104
0,5,2,0.99944,0.99912053,0.99976,0.9994402
0,5,3,0.999,0.9984816,0.99952,0.9990005
0,5,4,0.99848,0.99848,0.99848,0.99848
0,5,5,0.99812,0.99688774,0.99936,0.99812233
0,5,6,0.99892,0.99784464,1.0,0.9989211
0,5,7,0.9986,0.99776375,0.99944,0.99860114
0,5,8,0.99872,0.9977643,0.99968,0.99872124
0,5,9,0.999,0.9983223,0.99968,0.99900067
0,5,10,0.9992,0.99872124,0.99968,0.9992004
