Index,Feature,SHAP_value
0,Src Port,0.032490390275473256
1,Dst Port,0.3300399653736626
2,Protocol,0.00018509054649969134
3,Flow Duration,7.256095243573125
4,Tot Fwd Pkts,1.1926029719368253e-05
5,Tot Bwd Pkts,2.6936821848315108e-05
6,TotLen Fwd Pkts,0.003320055051002863
7,TotLen Bwd Pkts,0.0019687526041732833
8,Fwd Pkt Len Max,0.002109020888628744
9,Fwd Pkt Len Min,0.0015732113804450259
10,Fwd Pkt Len Mean,0.001780542177332613
11,Fwd Pkt Len Std,0.0018768402190321941
12,Bwd Pkt Len Max,0.0032034190999045815
13,Bwd Pkt Len Min,0.0018941622031307093
14,Bwd Pkt Len Mean,0.0020641500071676344
15,Bwd Pkt Len Std,0.0011065157095171657
16,Flow Byts/s,0.5404738838606369
17,Flow Pkts/s,0.22664112724002314
18,Flow IAT Mean,3.740949554681251
19,Flow IAT Std,0.8834960718057531
20,Flow IAT Max,2.1371871539711007
21,Flow IAT Min,0.9828568527826569
22,Fwd IAT Tot,5.925044203615279
23,Fwd IAT Mean,0.8953829209057071
24,Fwd IAT Std,0.6561622759690628
25,Fwd IAT Max,1.9530660415802026
26,Fwd IAT Min,0.9459604211467892
27,Bwd IAT Tot,1.7262059229322013
28,Bwd IAT Mean,0.5911280208419122
29,Bwd IAT Std,0.44330150540947566
30,Bwd IAT Max,0.5733094775495758
31,Bwd IAT Min,0.17761258340976965
32,Fwd PSH Flags,9.399990621418694e-07
33,Bwd PSH Flags,3.815043660608808e-08
34,Fwd URG Flags,0.0
35,Bwd URG Flags,1.4535198715748266e-09
36,Fwd Header Len,0.0016180107671636627
37,Bwd Header Len,0.0027513703367144544
38,Fwd Pkts/s,0.19811395440291127
39,Bwd Pkts/s,0.02908382181906922
40,Pkt Len Min,0.0011753604066593963
41,Pkt Len Max,0.0027808906647640752
42,Pkt Len Mean,0.0024311478379144325
43,Pkt Len Std,0.0007016579959903585
44,Pkt Len Var,0.14336912658478201
45,FIN Flag Cnt,4.719063327089157e-06
46,SYN Flag Cnt,1.6587032758153123e-05
47,RST Flag Cnt,1.4687921785538598e-07
48,PSH Flag Cnt,5.553945702377654e-05
49,ACK Flag Cnt,9.296577418966356e-05
50,URG Flag Cnt,1.4736292087036417e-09
51,CWE Flag Count,6.202305542046816e-10
52,ECE Flag Cnt,1.1952716693075516e-10
53,Down/Up Ratio,6.207392770892799e-06
54,Pkt Size Avg,0.0037124347698070216
55,Fwd Seg Size Avg,0.001806469487086075
56,Bwd Seg Size Avg,0.0020781129554473293
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,6.940629181010666e-06
62,Bwd Blk Rate Avg,0.27384742673063506
63,Subflow Fwd Pkts,7.326528306083077e-05
64,Subflow Fwd Byts,0.002096750512586625
65,Subflow Bwd Pkts,9.026448098826582e-05
66,Subflow Bwd Byts,0.0014057855913595326
67,Init Fwd Win Byts,0.13436104009562483
68,Fwd Act Data Pkts,5.10885356925531e-05
69,Active Mean,1.6803289403246304
70,Active Std,0.023075116111322423
71,Active Max,1.7272791789312794
72,Active Min,1.6082197739473272
73,Idle Std,1.5338103760958184
