,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99372,0.9922629,0.9952,0.9937293
0,1,2,0.99492,0.9950388,0.9948,0.99491936
0,1,3,0.99512,0.9952785,0.99496,0.9951192
0,1,4,0.99064,0.986746,0.99464,0.9906773
0,1,5,0.99444,0.99361074,0.99528,0.99444467
0,1,6,0.99392,0.9929735,0.99488,0.99392587
0,1,7,0.99572,0.995839,0.9956,0.9957195
0,1,8,0.99564,0.99560034,0.99568,0.99564016
0,1,9,0.99328,0.9960579,0.99048,0.99326116
0,1,10,0.99556,0.99433404,0.9968,0.9955655
0,2,1,0.99472,0.99583066,0.9936,0.9947141
0,2,2,0.99368,0.9920268,0.99536,0.9936906
0,2,3,0.99508,0.9941707,0.996,0.9950845
0,2,4,0.99536,0.99393743,0.9968,0.99536663
0,2,5,0.9948,0.99416745,0.99544,0.9948033
0,2,6,0.99492,0.9949596,0.99488,0.99491984
0,2,7,0.99408,0.994001,0.99416,0.9940805
0,2,8,0.99436,0.99487466,0.99384,0.99435705
0,2,9,0.99544,0.99480665,0.99608,0.9954429
0,2,10,0.98968,0.9959488,0.98336,0.9896143
0,3,1,0.99512,0.9940923,0.99616,0.99512506
0,3,2,0.99496,0.9954356,0.99448,0.99495757
0,3,3,0.99464,0.99400765,0.99528,0.9946435
0,3,4,0.99596,0.99560314,0.99632,0.9959614
0,3,5,0.995,0.99464387,0.99536,0.99500185
0,3,6,0.99492,0.9949596,0.99488,0.99491984
0,3,7,0.9944,0.99424183,0.99456,0.9944009
0,3,8,0.99436,0.9938464,0.99488,0.994363
0,3,9,0.99504,0.9967089,0.99336,0.99503165
0,3,10,0.99544,0.9943327,0.99656,0.9954451
0,4,1,0.9954,0.9949644,0.99584,0.995402
0,4,2,0.99448,0.9971847,0.99176,0.99446493
0,4,3,0.994,0.9928959,0.99512,0.9940067
0,4,4,0.99456,0.99408567,0.99504,0.99456257
0,4,5,0.99516,0.9948829,0.99544,0.99516135
0,4,6,0.99456,0.9947183,0.9944,0.9945591
0,4,7,0.9944,0.9939258,0.99488,0.9944027
0,4,8,0.99484,0.9940101,0.99568,0.9948443
0,4,9,0.99564,0.99504596,0.99624,0.9956426
0,4,10,0.995,0.99448574,0.99552,0.99500257
0,5,1,0.99568,0.9963948,0.99496,0.9956769
0,5,2,0.99472,0.9944036,0.99504,0.9947218
0,5,3,0.99196,0.9881718,0.99584,0.9919911
0,5,4,0.99492,0.9956734,0.99416,0.99491614
0,5,5,0.99408,0.99471325,0.99344,0.9940762
0,5,6,0.99476,0.994958,0.99456,0.99475896
0,5,7,0.9948,0.9948792,0.99472,0.99479955
0,5,8,0.99384,0.9927363,0.99496,0.9938469
0,5,9,0.99556,0.9954411,0.99568,0.99556047
0,5,10,0.99456,0.99345464,0.99568,0.9945661
