Index,Feature,SHAP_value
0,Src Port,0.5327095842958108
1,Dst Port,1.0525972586753292
2,Protocol,0.0004201583471191441
3,Flow Duration,0.1176570993632805
4,Tot Fwd Pkts,0.00010497018751400304
5,Tot Bwd Pkts,0.00016851858275573477
6,TotLen Fwd Pkts,0.20423865480895625
7,TotLen Bwd Pkts,0.2517076222730378
8,Fwd Pkt Len Max,0.06997162339981829
9,Fwd Pkt Len Min,0.011589332050067935
10,Fwd Pkt Len Mean,0.03493516946259696
11,Fwd Pkt Len Std,0.07370565800197748
12,Bwd Pkt Len Max,0.09883413410748443
13,Bwd Pkt Len Min,0.1044117951434814
14,Bwd Pkt Len Mean,0.11001956043889546
15,Bwd Pkt Len Std,0.011960728818069286
16,Flow Byts/s,6.4656103346021485
17,Flow Pkts/s,1.19960704512642
18,Flow IAT Mean,0.1434221747950169
19,Flow IAT Std,0.01955071941711659
20,Flow IAT Max,0.1433387224878447
21,Flow IAT Min,0.14795751963298226
22,Fwd IAT Tot,0.008273499271337383
23,Fwd IAT Mean,0.007238231429584944
24,Fwd IAT Std,0.0016371936791554332
25,Fwd IAT Max,0.006515970152875852
26,Fwd IAT Min,0.005576420913451614
27,Bwd IAT Tot,0.0709932249428105
28,Bwd IAT Mean,0.08358544495939155
29,Bwd IAT Std,0.018711154266771654
30,Bwd IAT Max,0.07986591766439514
31,Bwd IAT Min,0.09952353062900274
32,Fwd PSH Flags,0.0
33,Bwd PSH Flags,6.413454880510017e-06
34,Fwd URG Flags,0.0
35,Bwd URG Flags,8.151831281111299e-11
36,Fwd Header Len,0.006072224373463086
37,Bwd Header Len,0.008733956280059896
38,Fwd Pkts/s,0.9878581440699854
39,Bwd Pkts/s,0.4152886037994331
40,Pkt Len Min,0.04174159996119945
41,Pkt Len Max,0.08024847451972852
42,Pkt Len Mean,0.08820196335216476
43,Pkt Len Std,0.010764791185134145
44,Pkt Len Var,0.3363241941581111
45,FIN Flag Cnt,1.0851192589598215e-07
46,SYN Flag Cnt,7.963906365139053e-05
47,RST Flag Cnt,0.0
48,PSH Flag Cnt,6.3521283998852595e-06
49,ACK Flag Cnt,8.376904940247627e-05
50,URG Flag Cnt,3.648192290484076e-11
51,CWE Flag Count,2.978527235963924e-12
52,ECE Flag Cnt,5.744620011682855e-10
53,Down/Up Ratio,7.619586254097897e-05
54,Pkt Size Avg,0.08702449697127623
55,Fwd Seg Size Avg,0.034389909580389524
56,Bwd Seg Size Avg,0.11064734867118968
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0
62,Bwd Blk Rate Avg,0.0
63,Subflow Fwd Pkts,0.00010359637252738856
64,Subflow Fwd Byts,0.2031713121382354
65,Subflow Bwd Pkts,0.00016836102428552523
66,Subflow Bwd Byts,0.2509146663558359
67,Init Fwd Win Byts,0.0
68,Fwd Act Data Pkts,0.00010754575213863973
69,Active Mean,0.0007391303316570591
70,Active Std,1.915699068249679e-05
71,Active Max,0.0006927968127835484
72,Active Min,0.0006542143678477571
73,Idle Std,0.0249021256393867
