,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.9253306,0.9413506,0.90718174,0.9239504
0,1,2,0.915608,0.9465181,0.8809956,0.9125823
0,1,3,0.9292196,0.9362319,0.9211823,0.9286461
0,1,4,0.9310345,0.9571075,0.90251493,0.92900985
0,1,5,0.9254602,0.9503293,0.89784807,0.92334354
0,1,6,0.9284418,0.93751657,0.91807103,0.92769194
0,1,7,0.9333679,0.96546924,0.89888513,0.9309882
0,1,8,0.9312937,0.930401,0.93233085,0.93136495
0,1,9,0.9277936,0.9540451,0.89888513,0.92564404
0,1,10,0.92636764,0.9551619,0.8947368,0.9239625
0,2,1,0.9258491,0.93098927,0.91988593,0.92540437
0,2,2,0.9167747,0.9267321,0.9051076,0.9157922
0,2,3,0.92520094,0.95479757,0.8926627,0.9226852
0,2,4,0.9108115,0.90743124,0.9149598,0.91117996
0,2,5,0.9215712,0.9672414,0.87269896,0.9175412
0,2,6,0.93116415,0.9533806,0.90666324,0.92943525
0,2,7,0.9288307,0.9599555,0.8949961,0.9263384
0,2,8,0.9179414,0.95027936,0.8820327,0.914885
0,2,9,0.91521907,0.9692353,0.85766137,0.9100413
0,2,10,0.9312937,0.94609815,0.91470057,0.9301345
0,3,1,0.9324605,0.921425,0.94555354,0.93333334
0,3,2,0.93259007,0.9429254,0.920923,0.9317943
0,3,3,0.92520094,0.95989907,0.88747734,0.9222687
0,3,4,0.9280529,0.9474255,0.90640396,0.9264609
0,3,5,0.90536684,0.95971775,0.8462536,0.89942133
0,3,6,0.93349755,0.95984596,0.90484834,0.9315361
0,3,7,0.9232564,0.9014015,0.9504796,0.9252902
0,3,8,0.9280529,0.94050163,0.9139227,0.92702174
0,3,9,0.92105263,0.9437159,0.89551467,0.9189837
0,3,10,0.9244231,0.94459534,0.9017371,0.9226688
0,4,1,0.9134042,0.93246543,0.89136636,0.9114528
0,4,2,0.93207157,0.92676055,0.938294,0.9324916
0,4,3,0.9215712,0.938748,0.9019964,0.92000526
0,4,4,0.9149598,0.9825143,0.84495723,0.9085587
0,4,5,0.92675656,0.9524464,0.89836663,0.92461646
0,4,6,0.9258491,0.9009031,0.9569614,0.9280865
0,4,7,0.9070521,0.9462763,0.863106,0.90277964
0,4,8,0.9363495,0.9485608,0.9227379,0.9354712
0,4,9,0.9289603,0.9494703,0.9061447,0.92730176
0,4,10,0.9268862,0.95370626,0.8973295,0.9246593
0,5,1,0.93725693,0.94091505,0.9331086,0.93699557
0,5,2,0.924812,0.952,0.8947368,0.9224806
0,5,3,0.92403424,0.94238573,0.9032927,0.9224252
0,5,4,0.9274047,0.9378486,0.91547835,0.92652845
0,5,5,0.919497,0.9652099,0.87036556,0.9153374
0,5,6,0.91470057,0.9742069,0.8519575,0.90899026
0,5,7,0.9319419,0.94050765,0.92221934,0.93127376
0,5,8,0.9319419,0.9679775,0.8934405,0.9292167
0,5,9,0.91690433,0.94493634,0.88540316,0.91420156
0,5,10,0.9268862,0.9352366,0.91729325,0.92617804
