Index,Feature,SHAP_value
0,Src Port,0.929136374795549
1,Dst Port,0.9042862115625404
2,Protocol,2.9316471864312775e-05
3,Flow Duration,7.903554080238031
4,Tot Fwd Pkts,0.00013221656652010085
5,Tot Bwd Pkts,0.0004666988180241349
6,TotLen Fwd Pkts,0.05204795912296423
7,TotLen Bwd Pkts,0.02699603537454428
8,Fwd Pkt Len Max,0.012315376458240119
9,Fwd Pkt Len Min,0.0003853542665822399
10,Fwd Pkt Len Mean,0.00477856092951661
11,Fwd Pkt Len Std,0.005110877698885465
12,Bwd Pkt Len Max,0.021213051777693327
13,Bwd Pkt Len Min,0.00035458239586522123
14,Bwd Pkt Len Mean,0.0013765500801716395
15,Bwd Pkt Len Std,0.01419931867214333
16,Flow Byts/s,0.4603453818026213
17,Flow Pkts/s,0.958924664838217
18,Flow IAT Mean,7.308961678936962
19,Flow IAT Std,11.686576265787336
20,Flow IAT Max,42.085669973719654
21,Flow IAT Min,0.009668539446472857
22,Fwd IAT Tot,7.435770767664906
23,Fwd IAT Mean,4.425259166219682
24,Fwd IAT Std,4.490586728157931
25,Fwd IAT Max,25.681327896535446
26,Fwd IAT Min,0.017999612544637906
27,Bwd IAT Tot,8.416382846573214
28,Bwd IAT Mean,2.764392120842731
29,Bwd IAT Std,6.852574218855203
30,Bwd IAT Max,8.770861374012107
31,Bwd IAT Min,0.00222148934396573
32,Fwd PSH Flags,1.6094664233715206e-07
33,Bwd PSH Flags,0.0
34,Fwd URG Flags,0.0
35,Bwd URG Flags,0.0
36,Fwd Header Len,0.006602464103054552
37,Bwd Header Len,0.01796280475258415
38,Fwd Pkts/s,1.3899771700618482
39,Bwd Pkts/s,0.6372852069472261
40,Pkt Len Min,0.00036471972698436095
41,Pkt Len Max,0.01627844868100851
42,Pkt Len Mean,0.0035246149945650255
43,Pkt Len Std,0.005865309178186088
44,Pkt Len Var,1.3645658259079627
45,FIN Flag Cnt,5.178494207960313e-06
46,SYN Flag Cnt,0.00010072720933286781
47,RST Flag Cnt,2.4550143999707548e-05
48,PSH Flag Cnt,0.00019274368966238853
49,ACK Flag Cnt,0.00041629896387984677
50,URG Flag Cnt,0.0
51,CWE Flag Count,0.0
52,ECE Flag Cnt,0.0
53,Down/Up Ratio,6.163351207803668e-05
54,Pkt Size Avg,0.004032540587057742
55,Fwd Seg Size Avg,0.0048117597968911794
56,Bwd Seg Size Avg,0.0013952709173353952
57,Fwd Byts/b Avg,0.0
58,Fwd Pkts/b Avg,0.0
59,Fwd Blk Rate Avg,0.0
60,Bwd Byts/b Avg,0.0
61,Bwd Pkts/b Avg,0.0003236416902388196
62,Bwd Blk Rate Avg,2.0751540469149012
63,Subflow Fwd Pkts,5.8034561673014855e-05
64,Subflow Fwd Byts,0.002691407940339557
65,Subflow Bwd Pkts,0.0
66,Subflow Bwd Byts,0.001010343737780293
67,Init Fwd Win Byts,1.3230965709644622
68,Fwd Act Data Pkts,0.00011493012855729769
69,Active Mean,0.0
70,Active Std,0.0
71,Active Max,0.0
72,Active Min,0.0
73,Idle Std,34.31625336916125
