,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.96828,0.9430107,0.9968,0.9691596
0,1,2,0.96904,0.9420235,0.9996,0.9699581
0,1,3,0.96924,0.94257903,0.99936,0.9701394
0,1,4,0.96956,0.94288087,0.99968,0.97045004
0,1,5,0.9678,0.93976086,0.99968,0.9687948
0,1,6,0.96948,0.9426718,0.99976,0.970377
0,1,7,0.96908,0.94229466,0.99936,0.96998876
0,1,8,0.97004,0.9443394,0.99896,0.97088206
0,1,9,0.97368,0.9501977,0.99976,0.974349
0,1,10,0.96916,0.94216996,0.99968,0.97007334
0,2,1,0.97044,0.9442472,0.99992,0.97128654
0,2,2,0.9672,0.93909776,0.9992,0.968217
0,2,3,0.97104,0.94538575,0.99984,0.97185075
0,2,4,0.969,0.94235265,0.99912,0.9699064
0,2,5,0.968,0.9402468,0.99952,0.96897775
0,2,6,0.9694,0.9425296,0.99976,0.9703016
0,2,7,0.96824,0.94053894,0.99968,0.96920806
0,2,8,0.97004,0.9438695,0.99952,0.970898
0,2,9,0.97032,0.9444361,0.99944,0.9711599
0,2,10,0.97092,0.94537336,0.9996,0.97173077
0,3,1,0.971,0.9451796,1.0,0.9718173
0,3,2,0.9686,0.9411765,0.99968,0.9695465
0,3,3,0.97068,0.9462268,0.99808,0.9714619
0,3,4,0.96856,0.941305,0.99944,0.96950173
0,3,5,0.96864,0.94131386,0.9996,0.9695817
0,3,6,0.96928,0.94244987,0.9996,0.970184
0,3,7,0.96972,0.9432324,0.9996,0.97059846
0,3,8,0.969,0.94181925,0.99976,0.96992505
0,3,9,0.96868,0.9413183,0.99968,0.96962166
0,3,10,0.97056,0.9451339,0.99912,0.97137743
0,4,1,0.96832,0.9415447,0.99864,0.9692523
0,4,2,0.96984,0.94371414,0.99928,0.9707025
0,4,3,0.96976,0.94330364,0.9996,0.9706362
0,4,4,0.9712,0.9460769,0.99936,0.9719888
0,4,5,0.9688,0.9423309,0.99872,0.96970636
0,4,6,0.96896,0.94168174,0.99984,0.9698898
0,4,7,0.97012,0.94387794,0.99968,0.97097784
0,4,8,0.96824,0.9406052,0.9996,0.96920574
0,4,9,0.96928,0.9423831,0.99968,0.9701863
0,4,10,0.9696,0.94288516,0.99976,0.97049004
0,5,1,0.97124,0.9465545,0.99888,0.97201353
0,5,2,0.96848,0.94103026,0.9996,0.96943134
0,5,3,0.9686,0.9427772,0.99776,0.96948963
0,5,4,0.96912,0.9420323,0.99976,0.970038
0,5,5,0.97212,0.94745624,0.99968,0.9728678
0,5,6,0.96856,0.9411056,0.99968,0.9695088
0,5,7,0.96816,0.9403311,0.99976,0.9691353
0,5,8,0.971,0.94565135,0.99944,0.971802
0,5,9,0.96928,0.9422497,0.99984,0.97019094
0,5,10,0.96944,0.94306856,0.9992,0.97032315
