,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.99244,0.9928737,0.992,0.9924366
0,1,2,0.9938,0.9943933,0.9932,0.9937963
0,1,3,0.99512,0.99204963,0.99824,0.9951352
0,1,4,0.99148,0.98777294,0.99528,0.99151224
0,1,5,0.99436,0.9954301,0.99328,0.99435383
0,1,6,0.99504,0.9955157,0.99456,0.9950376
0,1,7,0.99432,0.9910984,0.9976,0.9943385
0,1,8,0.99324,0.9913924,0.99512,0.9932527
0,1,9,0.99336,0.9898332,0.99696,0.9933838
0,1,10,0.99392,0.9909351,0.99696,0.9939384
0,2,1,0.99492,0.99173355,0.99816,0.9949364
0,2,2,0.99496,0.99464345,0.99528,0.9949616
0,2,3,0.99296,0.9950988,0.9908,0.9929447
0,2,4,0.99276,0.9890433,0.99656,0.99278736
0,2,5,0.99312,0.9952595,0.99096,0.9931051
0,2,6,0.99524,0.99464643,0.99584,0.9952429
0,2,7,0.99516,0.9942506,0.99608,0.99516445
0,2,8,0.995,0.99259615,0.99744,0.99501216
0,2,9,0.99432,0.99471575,0.99392,0.9943177
0,2,10,0.99416,0.9902381,0.99816,0.99418324
0,3,1,0.99476,0.9944831,0.99504,0.99476147
0,3,2,0.99336,0.9927293,0.994,0.9933642
0,3,3,0.99228,0.9923194,0.99224,0.9922797
0,3,4,0.99292,0.9913869,0.99448,0.99293107
0,3,5,0.99516,0.9951996,0.99512,0.9951598
0,3,6,0.99372,0.9939176,0.99352,0.99371874
0,3,7,0.99464,0.99165076,0.99768,0.99465626
0,3,8,0.99528,0.99197394,0.99864,0.9952958
0,3,9,0.99372,0.9949475,0.99248,0.9937122
0,3,10,0.9934,0.99194384,0.99488,0.9934098
0,4,1,0.98912,0.99354213,0.98464,0.9890711
0,4,2,0.9944,0.997825,0.99096,0.99438065
0,4,3,0.99456,0.99384886,0.99528,0.99456394
0,4,4,0.99468,0.9932201,0.99616,0.99468786
0,4,5,0.9952,0.99583465,0.99456,0.99519694
0,4,6,0.99472,0.99133956,0.99816,0.9947381
0,4,7,0.99412,0.995269,0.99296,0.99411315
0,4,8,0.99224,0.9924764,0.992,0.99223816
0,4,9,0.9948,0.9949584,0.99464,0.99479914
0,4,10,0.993,0.99280286,0.9932,0.99300134
0,5,1,0.99388,0.992501,0.99528,0.9938886
0,5,2,0.99476,0.994404,0.99512,0.9947619
0,5,3,0.99372,0.99360156,0.99384,0.9937207
0,5,4,0.99312,0.9903739,0.99592,0.9931392
0,5,5,0.99516,0.9944875,0.99584,0.9951633
0,5,6,0.99492,0.991265,0.99864,0.9949388
0,5,7,0.99508,0.9964701,0.99368,0.9950731
0,5,8,0.99488,0.99511766,0.99464,0.99487877
0,5,9,0.99536,0.99299365,0.99776,0.9953711
0,5,10,0.99284,0.99256414,0.99312,0.99284196
