,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.49461406,0.4972591,0.9822505,0.66026336
0,1,2,0.9766144,1.0,0.95322615,0.97605306
0,1,3,0.98627,1.0,0.97253853,0.98607814
0,1,4,0.97025174,1.0,0.94050676,0.9693414
0,1,5,0.9880002,1.0,0.9760018,0.9878552
0,1,6,0.9921304,1.0,0.98426163,0.9920684
0,1,7,0.99151593,1.0,0.9830319,0.99144334
0,1,8,0.49179503,0.4958345,0.9766689,0.65774536
0,1,9,0.49453002,0.4972307,0.9821389,0.6602131
0,1,10,0.98766464,1.0,0.97532934,0.98751056
0,2,1,0.99207455,0.9987554,0.9853762,0.99202067
0,2,2,0.48786068,0.4938418,0.97577584,0.6557881
0,2,3,0.99118155,1.0,0.98236215,0.99110264
0,2,4,0.9905676,0.99807346,0.98303384,0.9904966
0,2,5,0.9873863,1.0,0.97477394,0.9872259
0,2,6,0.9869398,0.99988544,0.97399265,0.9867692
0,2,7,0.4982139,0.4990991,0.9895066,0.6635227
0,2,8,0.98626924,1.0,0.97253853,0.98607814
0,2,9,0.9869391,0.99954194,0.97432464,0.9867722
0,2,10,0.990902,1.0,0.98180395,0.9908185
0,3,1,0.97901434,1.0,0.95802635,0.97856325
0,3,2,0.95920074,1.0,0.91839695,0.9574629
0,3,3,0.98465145,0.99782133,0.9714222,0.98444486
0,3,4,0.49003738,0.4949472,0.97309965,0.6561547
0,3,5,0.98426074,1.0,0.96852326,0.98401
0,3,6,0.4952838,0.49762818,0.9835919,0.6608917
0,3,7,0.495144,0.49754307,0.98336685,0.6607658
0,3,8,0.48788792,0.49382645,0.96885467,0.65420425
0,3,9,0.9919067,1.0,0.98381335,0.99184066
0,3,10,0.9897857,1.0,0.97957134,0.9896803
0,4,1,0.99196297,1.0,0.983925,0.99189734
0,4,2,0.99079084,1.0,0.98158073,0.9907048
0,4,3,0.9882793,1.0,0.97655725,0.9881396
0,4,4,0.49729308,0.49864742,0.9876102,0.662697
0,4,5,0.99447453,1.0,0.98894966,0.99444413
0,4,6,0.9888932,1.0,0.9777877,0.98876905
0,4,7,0.99704176,1.0,0.9940835,0.997033
0,4,8,0.99123687,1.0,0.9824738,0.9911594
0,4,9,0.49575797,0.49785504,0.98459476,0.6613181
0,4,10,0.9891717,1.0,0.97834337,0.98905313
0,5,1,0.99246526,1.0,0.9849297,0.9924076
0,5,2,0.48518166,0.49246544,0.9704175,0.65336335
0,5,3,0.99240947,1.0,0.98481804,0.992351
0,5,4,0.9866049,1.0,0.9732113,0.9864238
0,5,5,0.98593515,1.0,0.97187185,0.9857353
0,5,6,0.49595356,0.4979684,0.98493135,0.661494
0,5,7,0.98336685,1.0,0.96673363,0.98308545
0,5,8,0.98699486,1.0,0.9739897,0.9868235
0,5,9,0.98799956,1.0,0.9759991,0.9878538
0,5,10,0.9864925,0.9947775,0.9781201,0.9863785
