Index,Feature,SHAP_value
0,Src IP,26.117207414292068
1,Src Port,0.018563869703550673
2,Dst IP,24.669901783221963
3,Dst Port,0.10682994216932766
4,Protocol,5.235350704722802e-05
5,Flow Duration,1.575521195383618
6,Tot Fwd Pkts,9.13437948600908e-05
7,Tot Bwd Pkts,2.1741247458975058e-05
8,TotLen Fwd Pkts,0.005372603050440646
9,TotLen Bwd Pkts,0.003114050533774729
10,Fwd Pkt Len Max,0.002955401987105549
11,Fwd Pkt Len Min,0.00018148258668165907
12,Fwd Pkt Len Mean,0.0007311812308926624
13,Fwd Pkt Len Std,0.0016714334756391448
14,Bwd Pkt Len Max,0.00319460390176194
15,Bwd Pkt Len Min,0.0007051858928026027
16,Bwd Pkt Len Mean,0.0006600920105113898
17,Bwd Pkt Len Std,0.002089289090495055
18,Flow Byts/s,0.19071977037263327
19,Flow Pkts/s,0.2951904804774857
20,Flow IAT Mean,0.34897982185355464
21,Flow IAT Std,0.14611305195041346
22,Flow IAT Max,0.4689263122494346
23,Flow IAT Min,0.13983488822570664
24,Fwd IAT Tot,1.526496970144882
25,Fwd IAT Mean,0.6821385620655772
26,Fwd IAT Std,0.4903955016387174
27,Fwd IAT Max,0.9310232805266976
28,Fwd IAT Min,0.1919441156861273
29,Bwd IAT Tot,0.5429277306647229
30,Bwd IAT Mean,0.45211130039209174
31,Bwd IAT Std,0.10391873067438902
32,Bwd IAT Max,0.22400687528496763
33,Bwd IAT Min,0.07176369084006598
34,Fwd PSH Flags,3.9690560709182745e-07
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,0.015729105495280615
39,Bwd Header Len,0.0008804424001266486
40,Fwd Pkts/s,0.2344594941433909
41,Bwd Pkts/s,0.2219590427434191
42,Pkt Len Min,0.00018206173210114925
43,Pkt Len Max,0.003397992722677194
44,Pkt Len Mean,0.0006032936530986049
45,Pkt Len Std,0.0005503807216201389
46,Pkt Len Var,0.24677007767197337
47,FIN Flag Cnt,2.1154636906067087e-07
48,SYN Flag Cnt,3.4830754732856897e-07
49,RST Flag Cnt,1.8287596892111217e-05
50,PSH Flag Cnt,7.753721989888168e-06
51,ACK Flag Cnt,5.368477266217288e-06
52,URG Flag Cnt,6.36362533408583e-06
53,CWE Flag Count,0.0
54,ECE Flag Cnt,1.8421545825672697e-05
55,Down/Up Ratio,1.5717860305345377e-05
56,Pkt Size Avg,0.0010235396745568858
57,Fwd Seg Size Avg,0.0006656368882376995
58,Bwd Seg Size Avg,0.000803651192337946
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,9.082481638269346e-05
66,Subflow Fwd Byts,0.005902420264792347
67,Subflow Bwd Pkts,2.017685087045127e-05
68,Subflow Bwd Byts,0.003321577430459135
69,Init Fwd Win Byts,0.34470484275188756
70,Init Bwd Win Byts,0.12899367631621295
71,Fwd Act Data Pkts,0.0001210986929147519
72,Fwd Seg Size Min,0.0036384963221166252
73,Active Mean,0.0009429025717763356
74,Active Std,0.0003197104045870678
75,Active Max,0.0007948316542567026
76,Active Min,0.0009223135137187775
77,Idle Mean,0.06420277011864647
78,Idle Std,0.0015483950583827341
79,Idle Max,0.07980778910110377
80,Idle Min,0.07406178578160988
