,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.94536,0.93262357,0.96008,0.9461527
0,1,2,0.93452,0.9257662,0.9448,0.93518627
0,1,3,0.955,0.94271034,0.96888,0.955616
0,1,4,0.9464,0.9373041,0.9568,0.9469517
0,1,5,0.94704,0.94229853,0.9524,0.9473223
0,1,6,0.93716,0.92668074,0.94944,0.93792224
0,1,7,0.94808,0.94206786,0.95488,0.94843066
0,1,8,0.945,0.9420647,0.94832,0.945182
0,1,9,0.94776,0.94070864,0.95576,0.94817454
0,1,10,0.94584,0.9423016,0.94984,0.94605577
0,2,1,0.9434,0.9421619,0.9448,0.9434791
0,2,2,0.94804,0.9303112,0.96864,0.9490888
0,2,3,0.94652,0.93807393,0.95616,0.9470306
0,2,4,0.948,0.940044,0.95704,0.9484658
0,2,5,0.95108,0.94171566,0.96168,0.9515931
0,2,6,0.9474,0.9412229,0.9544,0.94776565
0,2,7,0.94712,0.9385593,0.95688,0.94763106
0,2,8,0.945,0.93535256,0.95608,0.9456028
0,2,9,0.94008,0.93825686,0.94216,0.9402044
0,2,10,0.9486,0.9387372,0.95984,0.9491713
0,3,1,0.94688,0.9359295,0.95944,0.9475389
0,3,2,0.94256,0.9398855,0.9456,0.94273406
0,3,3,0.95076,0.9423032,0.96032,0.9512263
0,3,4,0.95336,0.94405264,0.96384,0.95384365
0,3,5,0.94976,0.9423985,0.95808,0.9501745
0,3,6,0.9454,0.94161975,0.94968,0.94563264
0,3,7,0.94384,0.92722934,0.96328,0.94491094
0,3,8,0.94436,0.9380175,0.9516,0.94475996
0,3,9,0.94608,0.93808925,0.9552,0.94656724
0,3,10,0.95068,0.9364686,0.96696,0.95147014
0,4,1,0.94812,0.9400581,0.95728,0.9485909
0,4,2,0.95156,0.9439245,0.96016,0.9519731
0,4,3,0.94612,0.94409496,0.9484,0.94624263
0,4,4,0.95072,0.9405004,0.96232,0.9512852
0,4,5,0.95368,0.9431161,0.9656,0.95422566
0,4,6,0.9496,0.9416156,0.95864,0.9500515
0,4,7,0.94808,0.9435382,0.9532,0.94834447
0,4,8,0.94644,0.94104165,0.95256,0.94676584
0,4,9,0.94564,0.93927926,0.95288,0.9460308
0,4,10,0.94676,0.93955135,0.95496,0.947193
0,5,1,0.9428,0.93201685,0.95528,0.943505
0,5,2,0.94772,0.9374658,0.95944,0.94832563
0,5,3,0.94544,0.93981045,0.95184,0.945787
0,5,4,0.94248,0.9496748,0.93448,0.9420161
0,5,5,0.95004,0.9457254,0.95488,0.9502806
0,5,6,0.94624,0.93639493,0.95752,0.94683963
0,5,7,0.94816,0.94609016,0.95048,0.94828
0,5,8,0.94516,0.9388061,0.9524,0.9455542
0,5,9,0.94972,0.93997025,0.9608,0.95027107
0,5,10,0.94952,0.94209284,0.95792,0.9499405
