Index,Feature,SHAP_value
0,Src IP,3.64699431649818e-08
1,Src Port,2.2786300668486546e-05
2,Dst IP,0.10003470553902409
3,Dst Port,0.002732237838350066
4,Protocol,5.0047162582003124e-08
5,Flow Duration,0.005371108174319165
6,Tot Fwd Pkts,9.629954820682047e-10
7,Tot Bwd Pkts,1.0385691974953337e-09
8,TotLen Fwd Pkts,4.462031340220108e-07
9,TotLen Bwd Pkts,4.945550838082776e-07
10,Fwd Pkt Len Max,4.583221693109924e-07
11,Fwd Pkt Len Min,4.635814288890474e-07
12,Fwd Pkt Len Mean,4.713287481039579e-07
13,Fwd Pkt Len Std,3.571408817903274e-19
14,Bwd Pkt Len Max,4.916834595127027e-07
15,Bwd Pkt Len Min,4.897566813888212e-07
16,Bwd Pkt Len Mean,4.917854924083226e-07
17,Bwd Pkt Len Std,1.834620074455876e-19
18,Flow Byts/s,0.00010749422315022784
19,Flow Pkts/s,0.051461501827274644
20,Flow IAT Mean,0.005355621074959493
21,Flow IAT Std,2.1658770844141461e-10
22,Flow IAT Max,0.005355473152507067
23,Flow IAT Min,0.005280390327000765
24,Fwd IAT Tot,0.002137255617846254
25,Fwd IAT Mean,0.0021176923590997725
26,Fwd IAT Std,0.0
27,Fwd IAT Max,0.0021032501291890276
28,Fwd IAT Min,0.0020793595188116952
29,Bwd IAT Tot,3.2630784877290917e-12
30,Bwd IAT Mean,7.562323044805124e-11
31,Bwd IAT Std,3.6622856656414645e-16
32,Bwd IAT Max,3.766562636237149e-12
33,Bwd IAT Min,2.749910261813022e-12
34,Fwd PSH Flags,6.998037786154357e-21
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,2.840269992126769e-07
39,Bwd Header Len,5.720068883222811e-08
40,Fwd Pkts/s,0.05207333939042301
41,Bwd Pkts/s,1.0310807536902617e-06
42,Pkt Len Min,4.6277940955932475e-07
43,Pkt Len Max,4.854963776177363e-07
44,Pkt Len Mean,4.856745717450978e-07
45,Pkt Len Std,9.273950874986137e-10
46,Pkt Len Var,3.3618018539767964e-09
47,FIN Flag Cnt,1.0059335629616681e-20
48,SYN Flag Cnt,4.022748512562674e-09
49,RST Flag Cnt,4.028839377691738e-11
50,PSH Flag Cnt,5.294556789344656e-21
51,ACK Flag Cnt,1.8128790923190417e-10
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,1.0424803507169696e-09
56,Pkt Size Avg,8.147391482746009e-07
57,Fwd Seg Size Avg,4.708132845574763e-07
58,Bwd Seg Size Avg,4.927557365708192e-07
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,2.904208309471438e-20
64,Bwd Blk Rate Avg,2.9791667961350285e-15
65,Subflow Fwd Pkts,9.529234473083761e-10
66,Subflow Fwd Byts,1.7185520095890872e-07
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,1.8967108509900856e-07
69,Init Fwd Win Byts,0.0007486064207188579
70,Init Bwd Win Byts,4.527974479135855e-17
71,Fwd Act Data Pkts,1.4059461989001175e-13
72,Fwd Seg Size Min,5.754406847933552e-08
73,Active Mean,0.0
74,Active Std,0.0
75,Active Max,0.0
76,Active Min,0.0
77,Idle Mean,0.010663825700634105
78,Idle Std,2.0413943055274614e-05
79,Idle Max,0.01193102717312039
80,Idle Min,0.016696311254564816
