,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.96596,0.9455366,0.98888,0.9667227
0,1,2,0.966,0.94711393,0.98712,0.96670324
0,1,3,0.96608,0.9468477,0.9876,0.9667946
0,1,4,0.96628,0.9474169,0.98736,0.96697617
0,1,5,0.96368,0.943662,0.98624,0.9644813
0,1,6,0.96816,0.95056975,0.98768,0.9687696
0,1,7,0.96676,0.9460286,0.99,0.967515
0,1,8,0.96456,0.94477636,0.9868,0.9653311
0,1,9,0.96476,0.9441174,0.988,0.9655604
0,1,10,0.96548,0.94365233,0.99008,0.96630883
0,2,1,0.9664,0.94715446,0.98792,0.96710783
0,2,2,0.96684,0.9484362,0.98736,0.96750677
0,2,3,0.9654,0.9450011,0.98832,0.9661752
0,2,4,0.96732,0.94993454,0.98664,0.96793944
0,2,5,0.96492,0.9448825,0.98744,0.9656926
0,2,6,0.9608,0.93808943,0.98672,0.96179044
0,2,7,0.96472,0.94445294,0.98752,0.9655064
0,2,8,0.96544,0.947057,0.986,0.9661362
0,2,9,0.9672,0.949369,0.98704,0.9678381
0,2,10,0.96628,0.9472109,0.9876,0.9669839
0,3,1,0.964,0.9438323,0.98672,0.96479976
0,3,2,0.96712,0.94908476,0.9872,0.96776724
0,3,3,0.96532,0.94567466,0.98736,0.96606785
0,3,4,0.96572,0.9459211,0.98792,0.96646446
0,3,5,0.96668,0.9478007,0.98776,0.9673678
0,3,6,0.96232,0.941752,0.9856,0.96317726
0,3,7,0.96508,0.9453083,0.98728,0.96583843
0,3,8,0.96616,0.9474735,0.98704,0.9668521
0,3,9,0.96272,0.9414593,0.9868,0.9635965
0,3,10,0.96592,0.9481379,0.98576,0.96658295
0,4,1,0.96508,0.9446952,0.988,0.9658624
0,4,2,0.96528,0.9460807,0.9868,0.96601146
0,4,3,0.96356,0.941553,0.98848,0.96444595
0,4,4,0.96552,0.9465163,0.9868,0.96623844
0,4,5,0.96688,0.94940704,0.98632,0.9675116
0,4,6,0.96432,0.9433919,0.98792,0.96514267
0,4,7,0.96844,0.9488005,0.99032,0.9691158
0,4,8,0.96936,0.95054525,0.99024,0.9699867
0,4,9,0.96644,0.9493642,0.98544,0.96706575
0,4,10,0.96284,0.9426888,0.9856,0.963667
0,5,1,0.9672,0.94737244,0.98936,0.9679111
0,5,2,0.9658,0.9464765,0.98744,0.9665244
0,5,3,0.96564,0.94859344,0.98464,0.96628064
0,5,4,0.96336,0.94240755,0.98704,0.96420753
0,5,5,0.96556,0.94824,0.98488,0.9662127
0,5,6,0.96652,0.9464135,0.98904,0.9672573
0,5,7,0.9638,0.9457215,0.98408,0.96451956
0,5,8,0.96728,0.9475862,0.98928,0.9679843
0,5,9,0.96652,0.9481288,0.98704,0.96719325
0,5,10,0.9666,0.94834346,0.98696,0.96726644
