Index,Feature,SHAP_value
0,Src IP,0.065709047329271
1,Src Port,0.0022594390635297308
2,Dst IP,0.06406275257472521
3,Dst Port,1.1772187594473865e-05
4,Protocol,2.5973962195757125e-07
5,Flow Duration,0.12468572507222156
6,Tot Fwd Pkts,7.717422158760166e-09
7,Tot Bwd Pkts,3.138683175255298e-08
8,TotLen Fwd Pkts,1.5509828834833055e-06
9,TotLen Bwd Pkts,8.576437249258289e-06
10,Fwd Pkt Len Max,1.927306601560808e-06
11,Fwd Pkt Len Min,3.298804806348924e-06
12,Fwd Pkt Len Mean,2.658832142008051e-06
13,Fwd Pkt Len Std,1.4722649722154865e-06
14,Bwd Pkt Len Max,6.191019880690161e-06
15,Bwd Pkt Len Min,9.278276848055919e-06
16,Bwd Pkt Len Mean,8.718797089341082e-06
17,Bwd Pkt Len Std,6.832987423900399e-07
18,Flow Byts/s,0.0010426202696123708
19,Flow Pkts/s,0.003158257991481104
20,Flow IAT Mean,0.015718739637279593
21,Flow IAT Std,0.03194201355545213
22,Flow IAT Max,0.005196244219546854
23,Flow IAT Min,0.020764118582346648
24,Fwd IAT Tot,0.012762037830233951
25,Fwd IAT Mean,0.01272892331771237
26,Fwd IAT Std,0.014319639761093194
27,Fwd IAT Max,0.00936695370215983
28,Fwd IAT Min,0.016105877017216705
29,Bwd IAT Tot,0.037272827173532926
30,Bwd IAT Mean,0.029788045571978734
31,Bwd IAT Std,0.003283370778379134
32,Bwd IAT Max,0.034192233435195195
33,Bwd IAT Min,0.025967089985651382
34,Fwd PSH Flags,1.385805606025889e-10
35,Bwd PSH Flags,1.822421933345489e-11
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,4.420057896309162e-07
39,Bwd Header Len,3.349426033491007e-06
40,Fwd Pkts/s,0.0010172094384857245
41,Bwd Pkts/s,0.0007586912130937691
42,Pkt Len Min,8.669466025522012e-06
43,Pkt Len Max,4.224352050075172e-06
44,Pkt Len Mean,8.37166973657767e-06
45,Pkt Len Std,7.334217402576022e-07
46,Pkt Len Var,0.000704483197170313
47,FIN Flag Cnt,2.0958527692692328e-10
48,SYN Flag Cnt,2.3060208877760463e-08
49,RST Flag Cnt,4.3727688645787677e-10
50,PSH Flag Cnt,4.80840324541785e-10
51,ACK Flag Cnt,7.200633131449919e-09
52,URG Flag Cnt,0.0
53,CWE Flag Count,3.600745026853775e-23
54,ECE Flag Cnt,2.652972331273707e-22
55,Down/Up Ratio,8.179196086715623e-09
56,Pkt Size Avg,1.3722097865488994e-05
57,Fwd Seg Size Avg,2.6007772707859967e-06
58,Bwd Seg Size Avg,8.895579053031163e-06
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,3.9482554290371827e-17
64,Bwd Blk Rate Avg,4.6500678475182534e-09
65,Subflow Fwd Pkts,3.517685035334432e-08
66,Subflow Fwd Byts,3.927455526722165e-06
67,Subflow Bwd Pkts,9.05878599695509e-08
68,Subflow Bwd Byts,3.819064175043814e-06
69,Init Fwd Win Byts,9.240490570129135e-05
70,Init Bwd Win Byts,0.0008537268529060504
71,Fwd Act Data Pkts,9.505837908025945e-09
72,Fwd Seg Size Min,7.199695437575388e-07
73,Active Mean,0.002043105619552091
74,Active Std,2.2333336944392863e-05
75,Active Max,0.0020451208456577557
76,Active Min,0.001983110525986583
77,Idle Mean,2.511978680837047
78,Idle Std,0.9828136719416257
79,Idle Max,0.9871437014780222
80,Idle Min,0.682447097404018
