,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.91328,0.8622213,0.98376,0.91898954
0,1,2,0.90936,0.855792,0.98464,0.91570574
0,1,3,0.91372,0.8642158,0.98168,0.91921043
0,1,4,0.9076,0.8546568,0.98224,0.9140177
0,1,5,0.90748,0.8558653,0.98,0.9137359
0,1,6,0.90804,0.8554603,0.982,0.914373
0,1,7,0.90732,0.85384667,0.98288,0.91383094
0,1,8,0.91292,0.8615762,0.98392,0.9186928
0,1,9,0.91088,0.8601178,0.98136,0.9167476
0,1,10,0.91216,0.86038053,0.984,0.9180475
0,2,1,0.90932,0.8580225,0.98096,0.91538197
0,2,2,0.91044,0.8588515,0.98232,0.9164459
0,2,3,0.91332,0.8621294,0.984,0.9190421
0,2,4,0.91136,0.85947984,0.98352,0.91732574
0,2,5,0.9106,0.85949427,0.98168,0.9165328
0,2,6,0.9082,0.85579807,0.98184,0.9144965
0,2,7,0.90764,0.8554587,0.98104,0.9139556
0,2,8,0.91056,0.8577304,0.9844,0.91671014
0,2,9,0.91076,0.8601389,0.98104,0.91661996
0,2,10,0.90764,0.8547163,0.98224,0.9140518
0,3,1,0.91184,0.86040324,0.9832,0.91771203
0,3,2,0.90736,0.8558351,0.97976,0.9136143
0,3,3,0.91224,0.8610566,0.98312,0.91804874
0,3,4,0.91372,0.86293775,0.98368,0.9193615
0,3,5,0.91032,0.8588721,0.982,0.91631836
0,3,6,0.90696,0.85296977,0.98344,0.91357017
0,3,7,0.91128,0.8601149,0.98232,0.9171646
0,3,8,0.9094,0.85769206,0.98168,0.9155072
0,3,9,0.91152,0.8601232,0.98288,0.91741335
0,3,10,0.91256,0.86342496,0.98016,0.9180966
0,4,1,0.90728,0.8544771,0.98176,0.9137071
0,4,2,0.91004,0.8586021,0.98176,0.9160602
0,4,3,0.91064,0.85990745,0.98112,0.9165234
0,4,4,0.90812,0.855134,0.98272,0.91449845
0,4,5,0.90716,0.8548916,0.9808,0.91352785
0,4,6,0.9098,0.8582919,0.98168,0.91584873
0,4,7,0.91212,0.8615341,0.98208,0.91786605
0,4,8,0.91008,0.85821104,0.98248,0.9161506
0,4,9,0.914,0.8633619,0.98368,0.91960216
0,4,10,0.90996,0.8583817,0.98192,0.91600424
0,5,1,0.91004,0.85611063,0.98576,0.9163723
0,5,2,0.9086,0.85584897,0.98272,0.91490716
0,5,3,0.91116,0.86069196,0.98112,0.9169688
0,5,4,0.90864,0.8560078,0.98256,0.9149285
0,5,5,0.90784,0.8558068,0.98096,0.9141196
0,5,6,0.90908,0.8575624,0.98112,0.91518974
0,5,7,0.90924,0.8570033,0.9824,0.9154273
0,5,8,0.9118,0.8596381,0.98432,0.91776377
0,5,9,0.91008,0.8592655,0.9808,0.91601914
0,5,10,0.91172,0.860273,0.98312,0.91760314
