Index,Feature,SHAP_value
0,Src IP,1.2723999656717326
1,Src Port,0.006582359446892491
2,Dst IP,4.501110554305825
3,Dst Port,0.0075228022285066505
4,Protocol,1.6181116886188828e-07
5,Flow Duration,4.188669361306976e-05
6,Tot Fwd Pkts,1.504581053191411e-07
7,Tot Bwd Pkts,3.2256697018217245e-08
8,TotLen Fwd Pkts,0.0005985216417068131
9,TotLen Bwd Pkts,0.00022385983587808737
10,Fwd Pkt Len Max,0.0003386255552044668
11,Fwd Pkt Len Min,8.521550651995168e-05
12,Fwd Pkt Len Mean,0.00024456364888603404
13,Fwd Pkt Len Std,0.000130103525426769
14,Bwd Pkt Len Max,6.424185017053262e-05
15,Bwd Pkt Len Min,0.0002513500353815662
16,Bwd Pkt Len Mean,0.00013613308236359403
17,Bwd Pkt Len Std,7.484525547404983e-05
18,Flow Byts/s,0.13404830021787353
19,Flow Pkts/s,0.005653337997848479
20,Flow IAT Mean,1.6012800068081544e-05
21,Flow IAT Std,9.414681671107067e-06
22,Flow IAT Max,2.5307919943881818e-05
23,Flow IAT Min,5.15862714620283e-05
24,Fwd IAT Tot,2.6837481751868138e-05
25,Fwd IAT Mean,2.8086772203373322e-05
26,Fwd IAT Std,1.202942103946886e-06
27,Fwd IAT Max,2.3357185934744547e-05
28,Fwd IAT Min,3.309446733881588e-05
29,Bwd IAT Tot,2.3504057576720204e-05
30,Bwd IAT Mean,2.9235149244827807e-05
31,Bwd IAT Std,2.1215222899083253e-06
32,Bwd IAT Max,1.5192853907400761e-05
33,Bwd IAT Min,7.529067458855324e-05
34,Fwd PSH Flags,0.0
35,Bwd PSH Flags,3.6560587862228446e-10
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,1.650955542529298e-05
39,Bwd Header Len,5.9427135749960245e-06
40,Fwd Pkts/s,0.007752278596545226
41,Bwd Pkts/s,0.0037097263757564884
42,Pkt Len Min,5.055628598749265e-05
43,Pkt Len Max,7.6049197291951e-05
44,Pkt Len Mean,2.1291678029191176e-05
45,Pkt Len Std,3.0365935025192318e-05
46,Pkt Len Var,0.03734759362997064
47,FIN Flag Cnt,9.922451715306534e-13
48,SYN Flag Cnt,2.265058232240562e-10
49,RST Flag Cnt,1.3729843192922253e-12
50,PSH Flag Cnt,3.4329512832276094e-10
51,ACK Flag Cnt,4.11220802184439e-09
52,URG Flag Cnt,0.0
53,CWE Flag Count,1.426374211799253e-12
54,ECE Flag Cnt,1.1469496485894127e-11
55,Down/Up Ratio,2.8523754456485806e-09
56,Pkt Size Avg,0.00010044414095728281
57,Fwd Seg Size Avg,0.0002450790730338102
58,Bwd Seg Size Avg,0.0001379357503899514
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,0.0
64,Bwd Blk Rate Avg,0.0
65,Subflow Fwd Pkts,1.4827412122779655e-07
66,Subflow Fwd Byts,0.0005988317131133582
67,Subflow Bwd Pkts,3.1417698184678865e-08
68,Subflow Bwd Byts,0.00022222302206031014
69,Init Fwd Win Byts,0.0
70,Init Bwd Win Byts,0.00047289369067213434
71,Fwd Act Data Pkts,1.586264277433824e-07
72,Fwd Seg Size Min,0.0
73,Active Mean,2.70478780339813e-07
74,Active Std,8.5992859885202e-09
75,Active Max,2.6969265622852724e-07
76,Active Min,2.7125196498610774e-07
77,Idle Mean,6.33594986475631e-06
78,Idle Std,1.015636399866671e-05
79,Idle Max,2.3046410530545342e-05
80,Idle Min,5.0803933033783936e-05
