,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.8642728,0.8178733,0.93725693,0.8735048
0,1,2,0.81669694,0.7703032,0.90251493,0.8311844
0,1,3,0.8290122,0.82077855,0.841846,0.8311787
0,1,4,0.8436609,0.8450924,0.8415867,0.8433359
0,1,5,0.83316046,0.7798345,0.9284418,0.8476743
0,1,6,0.82784545,0.77152675,0.931553,0.8440216
0,1,7,0.8087892,0.77266484,0.8750324,0.82066876
0,1,8,0.82136375,0.7894,0.87658805,0.83071256
0,1,9,0.82849365,0.8205972,0.8408089,0.8305801
0,1,10,0.8173451,0.80103296,0.8444387,0.82216334
0,2,1,0.83082706,0.78406054,0.91314495,0.84369385
0,2,2,0.8408089,0.81260407,0.8859217,0.8476805
0,2,3,0.78688097,0.765157,0.82784545,0.79526776
0,2,4,0.8588281,0.8623037,0.8540316,0.8581477
0,2,5,0.8291418,0.8001892,0.8773658,0.8370022
0,2,6,0.871273,0.8645621,0.8804771,0.87244695
0,2,7,0.82991964,0.7930002,0.892922,0.84000003
0,2,8,0.8198081,0.7925065,0.86647654,0.8278425
0,2,9,0.84495723,0.8447784,0.8452165,0.8449974
0,2,10,0.7969925,0.77864265,0.82991964,0.80346394
0,3,1,0.817734,0.7625884,0.9227379,0.8350539
0,3,2,0.80775213,0.766502,0.8851439,0.8215618
0,3,3,0.8528649,0.85479665,0.8501426,0.8524633
0,3,4,0.8383459,0.7906459,0.92040443,0.8506051
0,3,5,0.81345606,0.7440452,0.95566505,0.8366814
0,3,6,0.8325123,0.8119679,0.8654395,0.8378514
0,3,7,0.8400311,0.7966523,0.91314495,0.85093015
0,3,8,0.8200674,0.7701904,0.9123671,0.8352717
0,3,9,0.8348457,0.7811888,0.93025666,0.84923077
0,3,10,0.8207156,0.7871402,0.8791807,0.8306185
0,4,1,0.82875293,0.8067247,0.86466163,0.834689
0,4,2,0.8030853,0.7968512,0.8135857,0.8051315
0,4,3,0.78714025,0.7564251,0.84703135,0.7991683
0,4,4,0.8466425,0.7969791,0.93025666,0.8584759
0,4,5,0.8463832,0.82380027,0.88125485,0.8515595
0,4,6,0.80840033,0.80121547,0.8203267,0.81065845
0,4,7,0.85105,0.8200946,0.8994037,0.8579201
0,4,8,0.774825,0.7406903,0.845735,0.7897349
0,4,9,0.82201195,0.7629128,0.93440497,0.8399953
0,4,10,0.80554837,0.8292819,0.76951,0.7982787
0,5,1,0.8501426,0.8182889,0.9001815,0.85728395
0,5,2,0.82979,0.8,0.87943995,0.8378411
0,5,3,0.8531242,0.83090377,0.8866995,0.8578954
0,5,4,0.835105,0.7905147,0.9118486,0.8468577
0,5,5,0.8221416,0.781045,0.8952554,0.8342595
0,5,6,0.8637542,0.83420676,0.9079596,0.8695221
0,5,7,0.85001296,0.82250357,0.8926627,0.8561481
0,5,8,0.80956703,0.7691614,0.8846254,0.8228626
0,5,9,0.82136375,0.77885264,0.8975888,0.8340159
0,5,10,0.8422349,0.7920354,0.92818254,0.85472125
