Index,Feature,SHAP_value
0,Src IP,3.2292695506727838
1,Src Port,0.0003264492724179381
2,Dst IP,3.000913948712871
3,Dst Port,7.230279617850869e-05
4,Protocol,6.536284782767261e-08
5,Flow Duration,1.836884686224987e-05
6,Tot Fwd Pkts,1.4338147272697469e-09
7,Tot Bwd Pkts,1.436987992480741e-09
8,TotLen Fwd Pkts,4.57554682491811e-07
9,TotLen Bwd Pkts,3.2183230932663764e-07
10,Fwd Pkt Len Max,4.361080272578595e-07
11,Fwd Pkt Len Min,4.295324093445394e-07
12,Fwd Pkt Len Mean,4.4492476167487403e-07
13,Fwd Pkt Len Std,6.719117627969203e-11
14,Bwd Pkt Len Max,3.187275578514977e-07
15,Bwd Pkt Len Min,3.26582991507531e-07
16,Bwd Pkt Len Mean,3.2932331874980167e-07
17,Bwd Pkt Len Std,1.7983554086617937e-14
18,Flow Byts/s,0.0069134914880900275
19,Flow Pkts/s,0.0010939438262069843
20,Flow IAT Mean,1.7090180631236775e-05
21,Flow IAT Std,8.993278430432065e-09
22,Flow IAT Max,1.8400560010158543e-05
23,Flow IAT Min,1.791200744918502e-05
24,Fwd IAT Tot,6.006528998515897e-06
25,Fwd IAT Mean,6.878710568057652e-06
26,Fwd IAT Std,2.30391320603214e-08
27,Fwd IAT Max,5.2079542075203725e-06
28,Fwd IAT Min,5.26423819575329e-06
29,Bwd IAT Tot,3.265963683614657e-08
30,Bwd IAT Mean,1.3331367870096465e-09
31,Bwd IAT Std,5.352449982688688e-09
32,Bwd IAT Max,3.2490007615899355e-08
33,Bwd IAT Min,3.0241177474410487e-14
34,Fwd PSH Flags,1.7083513159306155e-12
35,Bwd PSH Flags,0.0
36,Fwd URG Flags,0.0
37,Bwd URG Flags,0.0
38,Fwd Header Len,2.549725115502908e-07
39,Bwd Header Len,7.414871123127543e-08
40,Fwd Pkts/s,0.0006666067567710985
41,Bwd Pkts/s,0.00010145457626770216
42,Pkt Len Min,3.3163894299064733e-07
43,Pkt Len Max,4.275094219685791e-07
44,Pkt Len Mean,3.918077075002362e-07
45,Pkt Len Std,2.703814051573043e-08
46,Pkt Len Var,3.4070478440782547e-07
47,FIN Flag Cnt,8.92465820146381e-11
48,SYN Flag Cnt,1.0467802369172814e-13
49,RST Flag Cnt,2.9329825416460474e-11
50,PSH Flag Cnt,2.0087479367317955e-12
51,ACK Flag Cnt,4.905982776215223e-10
52,URG Flag Cnt,0.0
53,CWE Flag Count,0.0
54,ECE Flag Cnt,0.0
55,Down/Up Ratio,1.5020341499604154e-09
56,Pkt Size Avg,6.56355298581226e-07
57,Fwd Seg Size Avg,4.4170256527267677e-07
58,Bwd Seg Size Avg,3.1405351742704493e-07
59,Fwd Byts/b Avg,0.0
60,Fwd Pkts/b Avg,0.0
61,Fwd Blk Rate Avg,0.0
62,Bwd Byts/b Avg,0.0
63,Bwd Pkts/b Avg,1.9896825534563774e-15
64,Bwd Blk Rate Avg,1.0035925589474553e-10
65,Subflow Fwd Pkts,1.226684623083519e-10
66,Subflow Fwd Byts,1.8267988259857033e-07
67,Subflow Bwd Pkts,0.0
68,Subflow Bwd Byts,1.255344511144634e-07
69,Init Fwd Win Byts,1.9364386341087844e-06
70,Init Bwd Win Byts,6.474686202541824e-09
71,Fwd Act Data Pkts,3.1181676543981477e-13
72,Fwd Seg Size Min,1.1423410837754719e-07
73,Active Mean,0.0
74,Active Std,0.0
75,Active Max,0.0
76,Active Min,0.0
77,Idle Mean,4.885367797962706
78,Idle Std,2.193277428513057
79,Idle Max,2.0406657182922254
80,Idle Min,1.995458092615133
