,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.78148,0.69913405,0.98824,0.8189201
0,1,2,0.777,0.69545585,0.9856,0.815489
0,1,3,0.78132,0.6992013,0.98744,0.8186914
0,1,4,0.77948,0.69774157,0.98616,0.81725067
0,1,5,0.77644,0.6940747,0.98864,0.815575
0,1,6,0.72132,0.66861707,0.8776,0.7589857
0,1,7,0.78172,0.6997108,0.98704,0.8189029
0,1,8,0.70344,0.6610309,0.83512,0.7379471
0,1,9,0.77988,0.6973098,0.98912,0.81796837
0,1,10,0.71528,0.6660496,0.86352,0.7520379
0,2,1,0.7754,0.69408584,0.98488,0.81430036
0,2,2,0.7792,0.6968193,0.98848,0.817412
0,2,3,0.6914,0.6472942,0.84112,0.7315868
0,2,4,0.74192,0.6804727,0.91216,0.77946407
0,2,5,0.70452,0.6598912,0.84408,0.740707
0,2,6,0.77608,0.69418186,0.98696,0.8150766
0,2,7,0.78144,0.6994105,0.98712,0.8187247
0,2,8,0.77712,0.695839,0.98464,0.81542337
0,2,9,0.6956,0.6582524,0.8136,0.72772807
0,2,10,0.77904,0.6969286,0.98752,0.8171587
0,3,1,0.78088,0.69854105,0.98824,0.8185131
0,3,2,0.77736,0.69527996,0.98752,0.8160243
0,3,3,0.77724,0.69527245,0.98712,0.8158826
0,3,4,0.7824,0.70070505,0.98592,0.81919706
0,3,5,0.77956,0.69735134,0.98784,0.8175588
0,3,6,0.77056,0.6893617,0.98496,0.8110672
0,3,7,0.77876,0.69663113,0.9876,0.8169816
0,3,8,0.71108,0.66483414,0.85136,0.7466237
0,3,9,0.7822,0.7004148,0.98624,0.819109
0,3,10,0.77816,0.6971983,0.98344,0.8159432
0,4,1,0.77828,0.69635904,0.98688,0.81654817
0,4,2,0.77776,0.6953415,0.98872,0.8164762
0,4,3,0.78592,0.7038093,0.98736,0.8218138
0,4,4,0.77964,0.69781,0.98648,0.8174075
0,4,5,0.77392,0.6920359,0.98712,0.8136499
0,4,6,0.78012,0.6978584,0.988,0.81796205
0,4,7,0.77952,0.69757974,0.98688,0.81738675
0,4,8,0.78148,0.6992694,0.98776,0.8188481
0,4,9,0.77664,0.694532,0.98768,0.8155635
0,4,10,0.78148,0.69940495,0.98728,0.81877595
0,5,1,0.78148,0.69915664,0.98816,0.8189081
0,5,2,0.78188,0.70011926,0.98616,0.81887925
0,5,3,0.78036,0.69843155,0.9868,0.8179437
0,5,4,0.70552,0.66114664,0.8432,0.7411575
0,5,5,0.7668,0.69437,0.95312,0.80342567
0,5,6,0.70824,0.66332036,0.84576,0.74351215
0,5,7,0.77892,0.69685507,0.98736,0.8170534
0,5,8,0.775,0.6929987,0.98744,0.8144238
0,5,9,0.70116,0.65964067,0.8312,0.7355492
0,5,10,0.52868,0.5314171,0.48512,0.50721425
