,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.97108,0.9453226,1.0,0.9718929
0,1,2,0.96976,0.9429692,1.0,0.97064763
0,1,3,0.95124,0.91114515,1.0,0.953507
0,1,4,0.95524,0.91783535,1.0,0.9571576
0,1,5,0.89012,0.82054824,0.99864,0.9008769
0,1,6,0.97048,0.9442514,1.0,0.9713265
0,1,7,0.97312,0.9489827,1.0,0.9738236
0,1,8,0.95792,0.92262256,0.99968,0.9596068
0,1,9,0.92224,0.8654112,1.0,0.9278503
0,1,10,0.97028,0.94389486,1.0,0.97113776
0,2,1,0.9716,0.9462528,1.0,0.9723843
0,2,2,0.97052,0.9443227,1.0,0.97136414
0,2,3,0.99036,0.9810847,1.0,0.99045205
0,2,4,0.97356,0.94984424,0.99992,0.97423905
0,2,5,0.90392,0.8388136,1.0,0.9123422
0,2,6,0.86664,0.7895868,0.99968,0.88229895
0,2,7,0.86292,0.7848308,1.0,0.8794456
0,2,8,0.87652,0.80195034,1.0,0.8900915
0,2,9,0.97856,0.9588831,1.0,0.97901005
0,2,10,0.8824,0.8095855,1.0,0.8947745
0,3,1,0.95724,0.9212175,1.0,0.9589935
0,3,2,0.87708,0.8027102,0.99992,0.8905276
0,3,3,0.84628,0.7648535,1.0,0.86676145
0,3,4,0.96432,0.93339306,1.0,0.96554923
0,3,5,0.97468,0.9518008,1.0,0.97530526
0,3,6,0.9706,0.9462186,0.99792,0.9713819
0,3,7,0.97332,0.949343,1.0,0.9740133
0,3,8,0.94812,0.90599406,1.0,0.95067877
0,3,9,0.95388,0.9188012,0.99576,0.95573384
0,3,10,0.96452,0.9337417,1.0,0.9657357
0,4,1,0.9162,0.9475269,0.8812,0.9131606
0,4,2,0.949,0.907441,1.0,0.9514748
0,4,3,0.90608,0.8418642,1.0,0.9141436
0,4,4,0.97596,0.95412564,1.0,0.97652435
0,4,5,0.87132,0.7953172,1.0,0.88599074
0,4,6,0.97472,0.9518733,1.0,0.97534335
0,4,7,0.96956,0.94261366,1.0,0.9704592
0,4,8,0.97056,0.94439405,1.0,0.9714019
0,4,9,0.97816,0.95814806,1.0,0.9786268
0,4,10,0.97852,0.95880955,1.0,0.97897166
0,5,1,0.9718,0.9466111,1.0,0.9725734
0,5,2,0.9522,0.91280216,0.99992,0.9543772
0,5,3,0.8638,0.7859523,0.99992,0.88011825
0,5,4,0.97928,0.96020895,1.0,0.9797006
0,5,5,0.97012,0.9436099,1.0,0.9709869
0,5,6,0.96484,0.9343,1.0,0.96603423
0,5,7,0.97088,0.94496524,1.0,0.971704
0,5,8,0.97576,0.95376164,1.0,0.9763337
0,5,9,0.96848,0.9406984,1.0,0.96944314
0,5,10,0.9722,0.9473285,1.0,0.9729519
