,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.8942247,0.95156765,0.8307315,0.8870534
0,1,2,0.98349667,0.9780254,0.9892195,0.98359054
0,1,3,0.97154355,0.9602665,0.9837942,0.97188795
0,1,4,0.91340566,0.88851976,0.94543225,0.916093
0,1,5,0.96674836,0.94222987,0.9944697,0.9676452
0,1,6,0.91095555,0.9454435,0.8722436,0.9073697
0,1,7,0.9934372,0.9989029,0.9879594,0.99340105
0,2,1,0.9168183,0.9206613,0.91225064,0.9164367
0,2,2,0.9836017,0.9765132,0.9910396,0.9837228
0,2,3,0.96165556,0.94143045,0.98456424,0.9625144
0,2,4,0.91732585,0.9065953,0.93052155,0.9184026
0,2,5,0.9655233,0.9401933,0.9942947,0.96648747
0,2,6,0.9179559,0.93283314,0.90077007,0.9165213
0,2,7,0.9911796,0.99840176,0.9839342,0.99111515
0,3,1,0.91713333,0.89805937,0.9410921,0.91907233
0,3,2,0.95617783,0.97258687,0.93881696,0.95540357
0,3,3,0.9735387,0.9589213,0.98946446,0.97395355
0,3,4,0.9320616,0.91328514,0.9547777,0.9335706
0,3,5,0.96531326,0.94186664,0.9918446,0.9662097
0,3,6,0.8893245,0.8510826,0.9437872,0.8950408
0,3,7,0.9928246,0.9988662,0.9867693,0.9927809
0,4,1,0.890532,0.94326806,0.8310466,0.88360846
0,4,2,0.9760238,0.9712078,0.98113406,0.9761457
0,4,3,0.9659083,0.94918,0.9845292,0.9665316
0,4,4,0.92738885,0.90705734,0.9523626,0.92915803
0,4,5,0.959363,0.9319663,0.99107456,0.96061206
0,4,6,0.9213161,0.94068974,0.89933497,0.9195476
0,4,7,0.9903045,0.99815077,0.98242915,0.9902276
0,5,1,0.8977424,0.94359213,0.8460623,0.8921697
0,5,2,0.9716311,0.9779039,0.9650683,0.9714437
0,5,3,0.96727335,0.947476,0.9893945,0.96798164
0,5,4,0.90267766,0.8812593,0.9307665,0.9053367
0,5,5,0.9656108,0.94037807,0.9942597,0.9665686
0,5,6,0.9115681,0.9431651,0.8759188,0.90829897
0,5,7,0.990287,0.9990025,0.9815541,0.9902015
0,6,1,0.87348616,0.95516783,0.7837592,0.86101544
0,6,2,0.9739412,0.980688,0.96692336,0.973757
0,6,3,0.959783,0.93868554,0.9838292,0.9607274
0,6,4,0.96188307,0.9599833,0.9639482,0.9619616
0,6,5,0.9656108,0.93959224,0.99520475,0.9665992
0,6,6,0.92282116,0.9408116,0.9024151,0.9212134
0,6,7,0.9905145,0.99896747,0.9820441,0.99043345
0,7,1,0.9141582,0.9199645,0.90724534,0.9135606
0,7,2,0.97903395,0.97610104,0.9821141,0.9790984
0,7,3,0.96415824,0.9461078,0.98438925,0.96486896
0,7,4,0.92936647,0.8985898,0.9679734,0.931992
0,7,5,0.9623556,0.9371835,0.99114454,0.963409
0,7,6,0.8798915,0.8500113,0.9225761,0.8848084
0,7,7,0.990322,0.9981863,0.98242915,0.9902451
0,8,1,0.9137732,0.9292016,0.8957998,0.912195
0,8,2,0.9754113,0.9587597,0.99355966,0.9758495
0,8,3,0.9674834,0.9520103,0.98459923,0.9680306
0,8,4,0.8937522,0.8712584,0.9240462,0.8968763
0,8,5,0.9620056,0.93523926,0.99275464,0.96313906
0,8,6,0.890672,0.8538727,0.9426671,0.8960756
0,8,7,0.99089956,0.99875534,0.9830242,0.99082726
0,9,1,0.9002975,0.9421954,0.8529226,0.8953392
0,9,2,0.9791915,0.96284527,0.99684983,0.97955257
0,9,3,0.96732587,0.9528849,0.98326916,0.9678386
0,9,4,0.9006825,0.8532634,0.9677984,0.9069291
0,9,5,0.96484077,0.9406417,0.9922996,0.9657804
0,9,6,0.8886244,0.8477512,0.94739234,0.8948064
0,9,7,0.990252,0.99900246,0.98148406,0.99016577
0,10,1,0.880119,0.95645595,0.79649985,0.86917996
0,10,2,0.9755863,0.97573614,0.97542876,0.97558236
0,10,3,0.96461326,0.94681567,0.9845292,0.9653042
0,10,4,0.92850894,0.9138077,0.9462723,0.9297567
0,10,5,0.9626706,0.9358945,0.99338466,0.963783
0,10,6,0.9075954,0.9501353,0.86034304,0.9030125
0,10,7,0.9928771,0.99865437,0.9870843,0.99283564
