,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.8483393,0.8615716,0.830041,0.84551245
0,1,2,0.7803693,0.7075987,0.95563674,0.81312275
0,2,1,0.8598422,0.86300355,0.85548776,0.85922927
0,2,2,0.69125456,0.6206623,0.9837748,0.7611291
0,3,1,0.85901403,0.87335795,0.8398047,0.85625273
0,3,2,0.8661241,0.8132945,0.9504371,0.8765339
0,4,1,0.86177754,0.865245,0.85703075,0.86111826
0,4,2,0.81306106,0.73355854,0.9832594,0.84025025
0,5,1,0.86630195,0.8738467,0.8562113,0.86493915
0,5,2,0.71149206,0.6572024,0.88416624,0.7539743
0,6,1,0.86658096,0.878169,0.8512597,0.864505
0,6,2,0.787226,0.7120488,0.9644898,0.8192639
0,7,1,0.8593235,0.8466261,0.8776393,0.86185384
0,7,2,0.82679087,0.7494683,0.9817654,0.85003203
0,8,1,0.8585084,0.8767256,0.83433,0.8550026
0,8,2,0.8211117,0.74655366,0.9723121,0.8446071
0,9,1,0.8692311,0.87797284,0.85766715,0.86770123
0,9,2,0.83595383,0.76308125,0.97445196,0.85591
0,10,1,0.8647895,0.86476403,0.86482435,0.8647942
0,10,2,0.81494,0.7357152,0.98299193,0.8415653
