,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9680064,0.7439805,0.9680064,0.8413358
1,1,1,Normal,0.6668885,0.9542217,0.6668885,0.7850909
0,1,2,Attack,0.94107,0.927979,0.94107,0.93447864
1,1,2,Normal,0.92696303,0.9402268,0.92696303,0.9335478
0,1,3,Attack,0.7873569,0.9814858,0.7873569,0.8737686
1,1,3,Normal,0.9851477,0.8224706,0.9851477,0.8964891
0,1,4,Attack,0.8565345,0.9074246,0.8565345,0.8812454
1,1,4,Normal,0.91261643,0.864153,0.91261643,0.8877238
0,1,5,Attack,0.9184722,0.94729185,0.9184722,0.93265945
1,1,5,Normal,0.9488954,0.9208793,0.9488954,0.9346775
0,1,6,Attack,0.84902847,0.78764385,0.84902847,0.81718504
1,1,6,Normal,0.77109396,0.8362681,0.77109396,0.80235976
0,1,7,Attack,0.9980836,0.98487157,0.9980836,0.9914335
1,1,7,Normal,0.9846686,0.99805754,0.9846686,0.9913179
0,2,1,Attack,0.9660101,0.7545479,0.9660101,0.8472844
1,2,1,Normal,0.6857599,0.9527754,0.6857599,0.7975112
0,2,2,Attack,0.9153048,0.851673,0.9153048,0.8823431
1,2,2,Normal,0.8405909,0.9084659,0.8405909,0.8732114
0,2,3,Attack,0.86148524,0.98412794,0.86148524,0.9187317
1,2,3,Normal,0.9861059,0.8768342,0.9861059,0.9282654
0,2,4,Attack,0.8588501,0.8706222,0.8588501,0.8646961
1,2,4,Normal,0.87237155,0.8607332,0.87237155,0.8665133
0,2,5,Attack,0.9206282,0.97789085,0.9206282,0.9483959
1,2,5,Normal,0.9791855,0.92501885,0.9791855,0.9513318
0,2,6,Attack,0.76526487,0.8361738,0.76526487,0.79914945
1,2,6,Normal,0.85006654,0.7836147,0.85006654,0.8154891
0,2,7,Attack,0.9976045,0.9847609,0.9976045,0.991141
1,2,7,Normal,0.98456216,0.99757284,0.98456216,0.9910248
0,3,1,Attack,0.9931328,0.6805903,0.9931328,0.80768025
1,3,1,Normal,0.53391004,0.9873013,0.53391004,0.6930399
0,3,2,Attack,0.9180995,0.93284833,0.9180995,0.9254152
1,3,2,Normal,0.93391,0.9193743,0.93391,0.9265851
0,3,3,Attack,0.861432,0.98334956,0.861432,0.91836214
1,3,3,Normal,0.9854139,0.87671685,0.9854139,0.9278929
0,3,4,Attack,0.8628959,0.8949344,0.8628959,0.8786231
1,3,4,Normal,0.89869577,0.8676346,0.89869577,0.8828921
0,3,5,Attack,0.9155709,0.96803063,0.9155709,0.94107026
1,3,5,Normal,0.9697631,0.91991115,0.9697631,0.94417953
0,3,6,Attack,0.8420814,0.79756474,0.8420814,0.81921875
1,3,6,Normal,0.7862656,0.832746,0.7862656,0.80883867
0,3,7,Attack,0.9992281,0.98362416,0.9992281,0.9913648
1,3,7,Normal,0.9833644,0.99921566,0.9833644,0.9912267
0,4,1,Attack,0.9426138,0.74588764,0.9426138,0.83279055
1,4,1,Normal,0.6788661,0.9220563,0.6788661,0.7819902
0,4,2,Attack,0.89930797,0.9250123,0.89930797,0.911979
1,4,2,Normal,0.92709607,0.90203035,0.92709607,0.91439146
0,4,3,Attack,0.9023423,0.9846069,0.9023423,0.9416813
1,4,3,Normal,0.985893,0.90987253,0.985893,0.94635856
0,4,4,Attack,0.87380886,0.85657257,0.87380886,0.8651048
1,4,4,Normal,0.85368645,0.8712175,0.85368645,0.8623629
0,4,5,Attack,0.9114719,0.9780926,0.9114719,0.9436078
1,4,5,Normal,0.97958475,0.9171173,0.97958475,0.9473223
0,4,6,Attack,0.83090234,0.76713437,0.83090234,0.797746
1,4,6,Normal,0.74777746,0.8155717,0.74777746,0.7802046
0,4,7,Attack,0.999095,0.98357046,0.999095,0.9912719
1,4,7,Normal,0.9833112,0.99908054,0.9833112,0.9911331
0,5,1,Attack,0.9668885,0.7472948,0.9668885,0.8430262
1,5,1,Normal,0.673037,0.9531097,0.673037,0.78895473
0,5,2,Attack,0.9051903,0.944247,0.9051903,0.9243063
1,5,2,Normal,0.9465531,0.9089561,0.9465531,0.92737365
0,5,3,Attack,0.90322065,0.98447883,0.90322065,0.9421008
1,5,3,Normal,0.9857599,0.9105997,0.9857599,0.9466904
0,5,4,Attack,0.8531541,0.84690994,0.8531541,0.8500206
1,5,4,Normal,0.8457812,0.8520634,0.8457812,0.8489106
0,5,5,Attack,0.9179665,0.98531514,0.9179665,0.9504492
1,5,5,Normal,0.9863189,0.9232149,0.9863189,0.95372427
0,5,6,Attack,0.8362257,0.81405956,0.8362257,0.8249937
1,5,6,Normal,0.80899656,0.83164144,0.80899656,0.8201627
0,5,7,Attack,0.99837637,0.9848759,0.99837637,0.9915802
1,5,7,Normal,0.9846686,0.9983538,0.9846686,0.9914639
0,6,1,Attack,0.9812617,0.6833491,0.9812617,0.80564696
1,6,1,Normal,0.5453021,0.96677834,0.5453021,0.69729924
0,6,2,Attack,0.89071065,0.9021405,0.89071065,0.89638907
1,6,2,Normal,0.90338033,0.892078,0.90338033,0.89769363
0,6,3,Attack,0.8114453,0.98357797,0.8114453,0.8892584
1,6,3,Normal,0.986452,0.8395288,0.986452,0.9070795
0,6,4,Attack,0.85935587,0.8910416,0.85935587,0.8749119
1,6,4,Normal,0.8949162,0.86418545,0.8949162,0.8792824
0,6,5,Attack,0.916263,0.93951964,0.916263,0.9277456
1,6,5,Normal,0.9410168,0.9182857,0.9410168,0.92951226
