,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9681927,0.72178346,0.9681927,0.82702404
1,1,1,Normal,0.6268033,0.95170546,0.6268033,0.7558173
0,1,2,Attack,0.88953954,0.86374444,0.88953954,0.8764522
1,1,2,Normal,0.8596753,0.88613915,0.8596753,0.87270665
0,1,3,Attack,0.75712,0.99482393,0.75712,0.8598462
1,1,3,Normal,0.99606067,0.8039616,0.99606067,0.8897607
0,1,4,Attack,0.857333,0.8534033,0.857333,0.8553636
1,1,4,Normal,0.85272825,0.856673,0.85272825,0.8546961
0,1,5,Attack,0.5688049,0.9806351,0.5688049,0.7199893
1,1,5,Normal,0.9887676,0.6963335,0.9887676,0.8171759
0,1,6,Attack,0.94708544,0.8333021,0.94708544,0.8865579
1,1,6,Normal,0.8105403,0.9387176,0.8105403,0.8699329
0,1,7,Attack,0.94596756,0.99523944,0.94596756,0.9699783
1,1,7,Normal,0.9954751,0.94851637,0.9954751,0.9714286
0,2,1,Attack,0.9447964,0.5949615,0.9447964,0.7301375
1,2,1,Normal,0.35680065,0.86601204,0.35680065,0.5053819
0,2,2,Attack,0.9152249,0.76380557,0.9152249,0.83268756
1,2,2,Normal,0.71698165,0.8942633,0.71698165,0.7958695
0,2,3,Attack,0.7278946,0.9948343,0.7278946,0.84068304
1,2,3,Normal,0.9962204,0.78546095,0.9962204,0.87837505
0,2,4,Attack,0.8507586,0.85330236,0.8507586,0.8520286
1,2,4,Normal,0.8537397,0.8512022,0.8537397,0.852469
0,2,5,Attack,0.57660365,0.98062557,0.57660365,0.726203
1,2,5,Normal,0.98860794,0.7001451,0.98860794,0.8197397
0,2,6,Attack,0.9434922,0.829092,0.9434922,0.8826005
1,2,6,Normal,0.8055097,0.934447,0.8055097,0.865201
0,2,7,Attack,0.945728,0.9951546,0.945728,0.9698119
1,2,7,Normal,0.99539524,0.94829595,0.99539524,0.9712749
0,3,1,Attack,0.9709875,0.8076336,0.9709875,0.88180906
1,3,1,Normal,0.76872504,0.9636315,0.76872504,0.8552139
0,3,2,Attack,0.9037796,0.8510452,0.9037796,0.87662
1,3,2,Normal,0.8418153,0.8974235,0.8418153,0.8687305
0,3,3,Attack,0.7347618,0.9953128,0.7347618,0.8454176
1,3,3,Normal,0.9965398,0.7897901,0.9965398,0.8812003
0,3,4,Attack,0.853021,0.9129964,0.853021,0.8819903
1,3,4,Normal,0.9187117,0.86208105,0.9187117,0.88949597
0,3,5,Attack,0.5804365,0.9782872,0.5804365,0.728588
1,3,5,Normal,0.9871174,0.70173514,0.9871174,0.8203143
0,3,6,Attack,0.844477,0.8268053,0.844477,0.8355477
1,3,6,Normal,0.82310355,0.8410803,0.82310355,0.83199483
0,3,7,Attack,0.8786798,0.99454707,0.8786798,0.93303
1,3,7,Normal,0.99518234,0.89133906,0.99518234,0.94040275
0,4,1,Attack,0.98820865,0.73067385,0.98820865,0.84014845
1,4,1,Normal,0.6357466,0.98179054,0.6357466,0.77175355
0,4,2,Attack,0.8777216,0.7994763,0.8777216,0.8367738
1,4,2,Normal,0.77985096,0.86445576,0.77985096,0.8199768
0,4,3,Attack,0.6957413,0.995506,0.6957413,0.8190578
1,4,3,Normal,0.9968592,0.7661559,0.9968592,0.86641294
0,4,4,Attack,0.86356133,0.844434,0.86356133,0.85389054
1,4,4,Normal,0.8409103,0.86039925,0.8409103,0.85054314
0,4,5,Attack,0.57564545,0.99051934,0.57564545,0.7281328
1,4,5,Normal,0.99449027,0.70091546,0.99449027,0.8222853
0,4,6,Attack,0.937317,0.8029688,0.937317,0.8649571
1,4,6,Normal,0.77000266,0.9247219,0.77000266,0.8402998
0,4,7,Attack,0.93763644,0.9953379,0.93763644,0.96562594
1,4,7,Normal,0.9956082,0.9410536,0.9956082,0.9675625
0,5,1,Attack,0.9884216,0.6429746,0.9884216,0.77912396
1,5,1,Normal,0.45115784,0.97497845,0.45115784,0.6168684
0,5,2,Attack,0.90582913,0.7999812,0.90582913,0.8496212
1,5,2,Normal,0.7735161,0.89146906,0.7735161,0.8283145
0,5,3,Attack,0.7694969,0.99408567,0.7694969,0.8674908
1,5,3,Normal,0.9954219,0.8119762,0.9954219,0.89438945
0,5,4,Attack,0.86247003,0.8780111,0.86247003,0.8701712
1,5,4,Normal,0.88017035,0.864862,0.88017035,0.87244904
0,5,5,Attack,0.5677934,0.9783077,0.5677934,0.71855164
1,5,5,Normal,0.9874102,0.695547,0.9874102,0.8161707
0,5,6,Attack,0.94524884,0.802318,0.94524884,0.86793834
1,5,6,Normal,0.7671014,0.93338084,0.7671014,0.8421114
0,5,7,Attack,0.945728,0.9951267,0.945728,0.9697987
