,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9637477,0.7893096,0.9637477,0.86784995
1,1,1,Normal,0.7427469,0.95346296,0.7427469,0.8350165
0,1,2,Attack,0.8865052,0.7247682,0.8865052,0.79751927
1,1,2,Normal,0.66334844,0.8539026,0.66334844,0.74665946
0,1,3,Attack,0.90138406,0.98216355,0.90138406,0.9400416
1,1,3,Normal,0.98363054,0.9088785,0.98363054,0.94477826
0,1,4,Attack,0.8615118,0.8967915,0.8615118,0.8787977
1,1,4,Normal,0.9008517,0.86675376,0.9008517,0.8834738
0,1,5,Attack,0.929119,0.91734993,0.929119,0.9231969
1,1,5,Normal,0.91628957,0.9281978,0.91628957,0.9222052
0,1,6,Attack,0.8220655,0.8176259,0.8220655,0.8198397
1,1,6,Normal,0.8166356,0.82109404,0.8166356,0.81885874
0,1,7,Attack,0.99893534,0.9821779,0.99893534,0.9904858
1,1,7,Normal,0.9818738,0.99891686,0.9818738,0.990322
0,2,1,Attack,0.95227575,0.8037969,0.95227575,0.87175924
1,2,1,Normal,0.7675539,0.94146264,0.7675539,0.84565985
0,2,2,Attack,0.9138142,0.82222486,0.9138142,0.86560345
1,2,2,Normal,0.80242217,0.9030103,0.80242217,0.84974986
0,2,3,Attack,0.8785201,0.9824384,0.8785201,0.92757773
1,2,3,Normal,0.98429596,0.8901406,0.98429596,0.9348535
0,2,4,Attack,0.863029,0.84884024,0.863029,0.85587585
1,2,4,Normal,0.84631354,0.86070055,0.84631354,0.8534464
0,2,5,Attack,0.9223583,0.9705092,0.9223583,0.9458213
1,2,5,Normal,0.97197235,0.9260283,0.97197235,0.9484442
0,2,6,Attack,0.84192175,0.8069339,0.84192175,0.82405657
1,2,6,Normal,0.7985627,0.834757,0.7985627,0.81625885
0,2,7,Attack,0.99893534,0.9802027,0.99893534,0.9894804
1,2,7,Normal,0.9798243,0.9989146,0.9798243,0.98927736
0,3,1,Attack,0.9133085,0.67613155,0.9133085,0.77702415
1,3,1,Normal,0.5625233,0.8664671,0.5625233,0.6821711
0,3,2,Attack,0.91751397,0.88224304,0.91751397,0.89953285
1,3,2,Normal,0.8775353,0.91407895,0.8775353,0.8954344
0,3,3,Attack,0.90260845,0.96637315,0.90260845,0.9334031
1,3,3,Normal,0.968592,0.9086369,0.968592,0.937657
0,3,4,Attack,0.8591163,0.87568843,0.8591163,0.8673232
1,3,4,Normal,0.87804097,0.86173296,0.87804097,0.8698105
0,3,5,Attack,0.91860527,0.9832479,0.91860527,0.949828
1,3,5,Normal,0.9843492,0.92362636,0.9843492,0.9530215
0,3,6,Attack,0.83800906,0.8320296,0.83800906,0.8350086
1,3,6,Normal,0.83082247,0.83683646,0.83082247,0.8338186
0,3,7,Attack,0.9990684,0.982746,0.9990684,0.99084
1,3,7,Normal,0.9824594,0.99905264,0.9824594,0.9906866
0,4,1,Attack,0.97718924,0.64969563,0.97718924,0.78048
1,4,1,Normal,0.47311684,0.9540039,0.47311684,0.6325398
0,4,2,Attack,0.9482832,0.7609193,0.9482832,0.84433174
1,4,2,Normal,0.7020495,0.9313888,0.7020495,0.8006191
0,4,3,Attack,0.8808624,0.9817556,0.8808624,0.92857647
1,4,3,Normal,0.98363054,0.891965,0.98363054,0.9355577
0,4,4,Attack,0.8650785,0.861844,0.8650785,0.8634582
1,4,4,Normal,0.8613255,0.86457026,0.8613255,0.86294484
0,4,5,Attack,0.9303966,0.86635935,0.9303966,0.8972368
1,4,5,Normal,0.85648125,0.9248412,0.85648125,0.8893496
0,4,6,Attack,0.82762843,0.8016397,0.82762843,0.8144267
1,4,6,Normal,0.79520893,0.821853,0.79520893,0.8083115
0,4,7,Attack,0.9979505,0.9837842,0.9979505,0.9908167
1,4,7,Normal,0.9835507,0.9979206,0.9835507,0.99068356
0,5,1,Attack,0.96888477,0.73808753,0.96888477,0.83788323
1,5,1,Normal,0.6561884,0.95472854,0.6561884,0.7777953
0,5,2,Attack,0.9211605,0.72816026,0.9211605,0.8133681
1,5,2,Normal,0.6561086,0.8927278,0.6561086,0.7563437
0,5,3,Attack,0.88522756,0.9659599,0.88522756,0.9238333
1,5,3,Normal,0.9688049,0.8940801,0.9688049,0.9299438
0,5,4,Attack,0.85807824,0.8635718,0.85807824,0.86081624
1,5,4,Normal,0.8644397,0.85897535,0.8644397,0.86169887
