,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.37466064,0.12303875,0.0409103,0.061403863
0,1,2,0.48838168,0.48511204,0.37857333,0.42527172
0,1,3,0.6585973,0.5946801,0.99614054,0.74475396
0,1,4,0.2362124,0.017572897,0.009608731,0.012424071
0,1,5,0.46940377,0.4722296,0.52028215,0.49509263
0,1,6,0.7241948,0.7286746,0.7143998,0.72146654
0,1,7,0.68188715,0.61251706,0.9901517,0.7568436
0,2,1,0.38910034,0.08954783,0.024194837,0.038096435
0,2,2,0.39989352,0.40027577,0.40180996,0.4010414
0,2,3,0.6572265,0.5936311,0.99683255,0.74412364
0,2,4,0.34695235,0.102461286,0.039446365,0.056962755
0,2,5,0.56811285,0.5751851,0.5210807,0.54679775
0,2,6,0.63303167,0.7027257,0.4611392,0.5568591
0,2,7,0.6999734,0.626057,0.9931594,0.7679942
0,3,1,0.44335908,0.45026177,0.51274955,0.47947833
0,3,2,0.374461,0.38092953,0.40162364,0.39100292
0,3,3,0.6820069,0.6119955,0.99457014,0.75773114
0,3,4,0.5629492,0.56031317,0.5848017,0.57229555
0,3,5,0.5990152,0.5736955,0.7708012,0.65780026
0,3,6,0.75810486,0.8351189,0.6431994,0.7267014
0,3,7,0.737144,0.6573255,0.9908171,0.7903313
0,4,1,0.54956084,0.5443481,0.60833114,0.57456386
0,4,2,0.31763375,0.27629218,0.2252329,0.24816343
0,4,3,0.65867716,0.59466755,0.99675274,0.7449151
0,4,4,0.50324726,1.0,0.0064945435,0.012905274
0,4,5,0.54395795,0.54633707,0.5182859,0.53194195
0,4,6,0.7112191,0.69847184,0.74333245,0.7202043
0,4,7,0.7406175,0.6607054,0.9892467,0.79226613
0,5,1,0.41470587,0.36911327,0.24053766,0.29126716
0,5,2,0.71296245,0.6812067,0.80058557,0.7360874
0,5,3,0.5984695,0.55473363,0.9980037,0.7130971
0,5,4,0.15871707,0.029087704,0.021080649,0.0244452
0,5,5,0.4407506,0.44760627,0.50617516,0.47509244
0,5,6,0.5046447,0.5046649,0.5024754,0.50356776
0,5,7,0.67218524,0.6053206,0.9896194,0.7511718
0,6,1,0.6852276,0.67610586,0.7111259,0.6931738
0,6,2,0.65348685,0.6242004,0.77138674,0.690032
0,6,3,0.60177004,0.55680853,0.997498,0.71467936
0,6,4,0.28240618,0.03242965,0.015091829,0.020597959
0,6,5,0.43727708,0.44617283,0.5199095,0.48022717
0,6,6,0.6268432,0.62760746,0.6238488,0.62572247
0,6,7,0.72483367,0.64683795,0.9904179,0.7825776
0,7,1,0.555909,0.5575653,0.5415225,0.54942685
0,7,2,0.42247805,0.43288088,0.4999734,0.4640144
0,7,3,0.43280542,0.4584246,0.7409103,0.56639975
0,7,4,0.1255523,0.017194042,0.013335108,0.015020687
0,7,5,0.5659569,0.5575369,0.63912696,0.5955505
0,7,6,0.75761247,0.83735925,0.63941973,0.7251242
0,7,7,0.78815544,0.7048672,0.9914293,0.82394326
0,8,1,0.34634018,0.2436501,0.14604738,0.18262605
0,8,2,0.61901784,0.67147297,0.46606335,0.55022234
0,8,3,0.5192441,0.5098175,0.9993346,0.6751847
0,8,4,0.68641204,0.7528248,0.5550705,0.6389974
0,8,5,0.5017168,0.5017021,0.50604206,0.50386274
0,8,6,0.6860926,0.6945488,0.66435987,0.679119
0,8,7,0.8010381,0.7187621,0.98908705,0.83253056
0,9,1,0.37174606,0.22052085,0.101197764,0.13873127
0,9,2,0.5593293,0.5595607,0.5573862,0.5584714
0,9,3,0.75947565,0.67928934,0.9830982,0.8034325
0,9,4,0.4708544,0.3532565,0.07016236,0.11707231
0,9,5,0.44880223,0.45439026,0.5100612,0.48061898
0,9,6,0.6911765,0.7176185,0.6304232,0.6712008
0,9,7,0.7937317,0.71050876,0.9914027,0.8277755
0,10,1,0.48992547,0.48566234,0.34125632,0.40085042
0,10,2,0.52078784,0.51552254,0.69039124,0.5902781
0,10,3,0.7540591,0.67154926,0.9945435,0.801738
0,10,4,0.34936118,0.015909674,0.0049507585,0.0075516133
0,10,5,0.47472718,0.47677973,0.51892465,0.49696025
0,10,6,0.6360261,0.61378664,0.73375034,0.66842866
0,10,7,0.68532073,0.6150313,0.9908438,0.75896305
