,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5059007,0.8847458,0.013569015,0.026728112
0,1,2,0.7222901,0.82955027,0.5595529,0.66831213
0,1,3,0.804458,0.72349966,0.9855732,0.8344429
0,1,4,0.777242,0.8294363,0.69802445,0.75807744
0,1,5,0.6653756,0.74452305,0.5035352,0.6007629
0,1,6,0.7293605,0.8089353,0.6005719,0.6893527
0,1,7,0.9902911,0.9985199,0.98203796,0.9902103
0,2,1,0.61120355,0.9734396,0.2286457,0.37031114
0,2,2,0.77395374,0.86705905,0.6471276,0.7411212
0,2,3,0.7976605,0.7166698,0.9845594,0.82952255
0,2,4,0.790967,0.8180243,0.74842733,0.78167975
0,2,5,0.45616063,0.42340705,0.24234468,0.3082544
0,2,6,0.72330385,0.8093335,0.58424747,0.67861295
0,2,7,0.99066806,0.9989954,0.9823239,0.9905895
0,3,1,0.57826877,0.97046876,0.16145048,0.2768442
0,3,2,0.6892124,0.7915098,0.513751,0.6230769
0,3,3,0.8391864,0.7625717,0.9850793,0.85966086
0,3,4,0.804471,0.83465713,0.7593709,0.7952361
0,3,5,0.67848974,0.7751553,0.50283337,0.6099803
0,3,6,0.66879386,0.7794466,0.47080842,0.5870323
0,3,7,0.9894073,0.99907225,0.97972447,0.9893038
0,4,1,0.5849883,0.9800323,0.17351183,0.29482564
0,4,2,0.895464,0.8699331,0.9299714,0.89895093
0,4,3,0.8427996,0.766894,0.9850013,0.8623707
0,4,4,0.8248115,0.8560276,0.7809722,0.81677926
0,4,5,0.5723941,0.5835233,0.50577074,0.5418721
0,4,6,0.7381986,0.79966646,0.6356382,0.7082796
0,4,7,0.9902911,0.9989419,0.98162204,0.99020624
0,5,1,0.581713,0.9816148,0.16654536,0.28477454
0,5,2,0.8847154,0.86420906,0.9128672,0.8878719
0,5,3,0.82599425,0.74569,0.98942035,0.8504368
0,5,4,0.76620746,0.8152629,0.6884065,0.7464836
0,5,5,0.70036393,0.8345486,0.49981803,0.62519914
0,5,6,0.70852613,0.7874445,0.5712503,0.6621471
0,5,7,0.9824799,0.99900526,0.9659215,0.98218495
0,6,1,0.5875877,0.9745106,0.17988043,0.3037019
0,6,2,0.78333765,0.859831,0.6770471,0.75756955
0,6,3,0.86446583,0.7936458,0.9850533,0.87905073
0,6,4,0.7964518,0.8392278,0.73340267,0.7827547
0,6,5,0.5704705,0.58293056,0.49534702,0.53558177
0,6,6,0.72160125,0.8062141,0.5834416,0.6769718
0,6,7,0.98183,0.99857444,0.9650377,0.9815197
0,7,1,0.6145048,0.9780768,0.23426047,0.37798846
0,7,2,0.7804783,0.852177,0.6786847,0.7556
0,7,3,0.836392,0.7591413,0.9854432,0.85761464
0,7,4,0.82483757,0.8372237,0.8064726,0.8215605
0,7,5,0.5768391,0.5896899,0.50519884,0.5441844
0,7,6,0.7036002,0.7744875,0.5744736,0.6596523
0,7,7,0.9889264,0.99872726,0.9791006,0.98881656
0,8,1,0.5966467,0.9791237,0.19750455,0.3287043
0,8,2,0.78705484,0.8335448,0.7173642,0.77110285
0,8,3,0.8359111,0.7589835,0.9844294,0.8571299
0,8,4,0.8232779,0.8514029,0.7832597,0.81591094
0,8,5,0.5745516,0.58638555,0.50605667,0.5432677
0,8,6,0.73254484,0.78281486,0.6436704,0.70645624
0,8,7,0.9898622,0.99849224,0.9812061,0.98977363
0,9,1,0.58392256,0.9776594,0.17177022,0.29220194
0,9,2,0.86249024,0.8523244,0.87691706,0.86444587
0,9,3,0.82599425,0.7480027,0.9832337,0.8496372
0,9,4,0.83290875,0.84488606,0.8155446,0.8299561
0,9,5,0.6422797,0.6958949,0.5054328,0.5855656
0,9,6,0.72465557,0.7715974,0.6382376,0.69861007
0,9,7,0.98988825,0.9984132,0.9813361,0.989801
0,10,1,0.5836366,0.9811575,0.17054848,0.29058617
0,10,2,0.8828828,0.85306454,0.92511046,0.88762796
0,10,3,0.82071745,0.7413065,0.98526126,0.8460491
0,10,4,0.7729269,0.83644694,0.6785287,0.74925727
0,10,5,0.5812971,0.5940121,0.513673,0.5509291
0,10,6,0.72851574,0.7995434,0.6099558,0.6919992
0,10,7,0.98656094,0.9978721,0.9752014,0.98640656
