,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.9719738,0.9917858,0.9719738,0.9817798
1,1,1,DoS,0.9576499,0.9928881,0.9576499,0.97495073
2,1,1,MITM,0.99731666,0.9740827,0.99731666,0.9855628
3,1,1,Normal,0.6993737,0.8150852,0.6993737,0.75280905
4,1,1,Scanner,0.98956156,0.99729484,0.98956156,0.99341315
5,1,1,Brute force,0.98807395,0.9594673,0.98807395,0.9735605
6,1,1,Generic,0.9952282,0.9943385,0.9952282,0.9947831
7,1,1,Exploit,0.83452594,0.735611,0.83452594,0.78195274
8,1,1,Infection,0.94721144,0.9321984,0.94721144,0.939645
0,1,2,Botnet,0.97644603,0.99152285,0.97644603,0.98392665
1,1,2,DoS,0.96808827,0.9947901,0.96808827,0.98125756
2,1,2,MITM,0.9940352,0.9731387,0.9940352,0.983476
3,1,2,Normal,0.6529517,0.8501553,0.6529517,0.7386172
4,1,2,Scanner,0.9844915,0.9981857,0.9844915,0.99129134
5,1,2,Brute force,0.98717946,0.9602668,0.98717946,0.97353715
6,1,2,Generic,0.99463165,0.9955224,0.99463165,0.9950768
7,1,2,Exploit,0.8693707,0.7160403,0.8693707,0.78529096
8,1,2,Infection,0.9612403,0.9377545,0.9612403,0.94935215
0,1,3,Botnet,0.97822845,0.9933374,0.97822845,0.98572505
1,1,3,DoS,0.96839595,0.98573595,0.96839595,0.97698903
2,1,3,MITM,0.99821055,0.9743814,0.99821055,0.98615205
3,1,3,Normal,0.7289803,0.78516376,0.7289803,0.75602967
4,1,3,Scanner,0.98956156,0.99549955,0.98956156,0.99252164
5,1,3,Brute force,0.985088,0.96805394,0.985088,0.97649664
6,1,3,Generic,0.9910554,0.99580586,0.9910554,0.99342495
7,1,3,Exploit,0.7885476,0.74353206,0.7885476,0.7653784
8,1,3,Infection,0.9496124,0.93786806,0.9496124,0.94370365
0,1,4,Botnet,0.9773337,0.9897312,0.9773337,0.98349345
1,1,4,DoS,0.9531902,0.987033,0.9531902,0.96981645
2,1,4,MITM,0.99671936,0.97462815,0.99671936,0.9855499
3,1,4,Normal,0.651357,0.8269595,0.651357,0.7287287
4,1,4,Scanner,0.98717946,0.9981911,0.98717946,0.99265474
5,1,4,Brute force,0.9785267,0.961888,0.9785267,0.97013605
6,1,4,Generic,0.9943351,0.99701047,0.9943351,0.995671
7,1,4,Exploit,0.86251116,0.71301776,0.86251116,0.7806722
8,1,4,Infection,0.9519833,0.930341,0.9519833,0.9410377
0,1,5,Botnet,0.97226363,0.9957239,0.97226363,0.98385394
1,1,5,DoS,0.9651059,0.9850837,0.9651059,0.97499245
2,1,5,MITM,0.9949314,0.975731,0.9949314,0.9852377
3,1,5,Normal,0.78377575,0.74111676,0.78377575,0.7618495
4,1,5,Scanner,0.9895647,0.9975954,0.9895647,0.99356383
5,1,5,Brute force,0.97226363,0.9702381,0.97226363,0.97124976
6,1,5,Generic,0.99314046,0.9884239,0.99314046,0.9907766
7,1,5,Exploit,0.71138936,0.7746753,0.71138936,0.7416848
8,1,5,Infection,0.9585446,0.91332763,0.9585446,0.93539
0,2,1,Botnet,0.9761479,0.99543935,0.9761479,0.9856993
1,2,1,DoS,0.9636147,0.9911043,0.9636147,0.9771662
2,2,1,MITM,0.9991056,0.97186774,0.9991056,0.98529845
3,2,1,Normal,0.8085297,0.7409128,0.8085297,0.7732458
4,2,1,Scanner,0.985088,0.9942806,0.985088,0.98966295
5,2,1,Brute force,0.98479426,0.9669204,0.98479426,0.9757755
6,2,1,Generic,0.9886669,0.99370503,0.9886669,0.9911796
7,2,1,Exploit,0.70989865,0.79050463,0.70989865,0.74803644
8,2,1,Infection,0.9564569,0.9325385,0.9564569,0.9443463
0,2,2,Botnet,0.974359,0.98940355,0.974359,0.9818236
1,2,2,DoS,0.9698777,0.9908592,0.9698777,0.98025614
2,2,2,MITM,0.9979123,0.9746577,0.9979123,0.986148
3,2,2,Normal,0.6774001,0.8178546,0.6774001,0.74103063
4,2,2,Scanner,0.98717564,0.99250376,0.98717564,0.9898326
5,2,2,Brute force,0.9827072,0.96600235,0.9827072,0.9742832
6,2,2,Generic,0.9898598,0.9955009,0.9898598,0.9926723
