Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
0,Src Port,1.449697368886587,0.8208853739669786,0.8934174806456866,1.0477553097903225,0.8907920990344623,1.2027971719018988,1.0236611037744061,0.8230826655755697,0.6988688600071773
1,Dst Port,2.7760760338238315,2.18605897833878,2.0075862884331777,2.349462176050447,2.8245790260913552,2.6544060495091237,2.4704631695539265,2.29590791757247,2.0307397250240777
2,Protocol,0.0011326355045773201,0.0005914756021485956,0.0008688036237211301,0.0009469078795539357,0.0003958815441803123,0.0012627018627181046,0.0013094509638556806,0.0007254264703884052,0.0003102469362924796
3,Flow Duration,6.917918793381313,6.653778301392639,10.877864396122362,8.712720488292636,5.136879446434411,6.223454906304179,7.122259838621069,7.3837800364664385,6.494449450508142
4,Tot Fwd Pkts,0.0003458957554957687,0.00039789395623473264,0.0005886243290886665,0.0005898739742035428,0.00033616140453313905,0.0003953766738872313,0.00032566684533716584,0.00035256772465496643,0.00034263944305698926
5,Tot Bwd Pkts,0.0006468386745695873,0.0004618127683581049,0.0004929850165305831,0.0009780716091655063,0.0005502847218662256,0.0006195050751690888,0.00048067322743262973,0.0004813891243700518,0.0005890955116560195
6,TotLen Fwd Pkts,0.02634277503427531,0.017245326455045708,0.02219903417008317,0.02164117779707173,0.009669127879295492,0.014917865268888844,0.008630551823244579,0.008865969570148038,0.015137449670664185
7,TotLen Bwd Pkts,0.023486550821531834,0.016473243069758843,0.0175307694284833,0.03313765996595374,0.012911586803975339,0.01995655395425299,0.023354893741762885,0.01723861368454896,0.029973448987718688
8,Fwd Pkt Len Max,0.02135948998604078,0.01573262788729635,0.019771051795663033,0.02169178814270711,0.00958806372046948,0.013347735840600557,0.00970186137934502,0.01017267543164858,0.02059576884637271
9,Fwd Pkt Len Min,0.007099414751138647,0.004129327048474202,0.007918123539123637,0.00710741432534175,0.004146626233584505,0.004449974479197388,0.003657193415010339,0.004231079242558654,0.004826857773218994
10,Fwd Pkt Len Mean,0.01192404212559162,0.007230905518964337,0.010943863092368281,0.009595999354145393,0.00556354860087154,0.006825929614084801,0.005185095950092055,0.005886905549550771,0.007952643260289579
