,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.97078115,0.99056894,0.97078115,0.9805752
1,1,1,DoS,0.95705336,0.9928837,0.95705336,0.9746393
2,1,1,MITM,0.9958259,0.97461337,0.9958259,0.9851055
3,1,1,Normal,0.64062035,0.8322356,0.64062035,0.7239636
4,1,1,Scanner,0.985088,0.9990926,0.985088,0.9920409
5,1,1,Brute force,0.9853906,0.9660918,0.9853906,0.9756458
6,1,1,Generic,0.99284226,0.99611014,0.99284226,0.9944735
7,1,1,Exploit,0.86404294,0.69629985,0.86404294,0.7711548
8,1,1,Infection,0.9525798,0.9330996,0.9525798,0.94273907
0,1,2,Botnet,0.9779368,0.99544764,0.9779368,0.9866145
1,1,2,DoS,0.96570235,0.9911234,0.96570235,0.97824776
2,1,2,MITM,0.99463165,0.97486115,0.99463165,0.98464715
3,1,2,Normal,0.68604654,0.8229614,0.68604654,0.7482927
4,1,2,Scanner,0.98956156,0.99849534,0.98956156,0.9940084
5,1,2,Brute force,0.9907573,0.9659884,0.9907573,0.9782161
6,1,2,Generic,0.992544,0.9964072,0.992544,0.99447185
7,1,2,Exploit,0.8440203,0.73107725,0.8440203,0.7834994
8,1,2,Infection,0.96094215,0.94019836,0.96094215,0.9504571
0,1,3,Botnet,0.97435135,0.995733,0.97435135,0.9849261
1,1,3,DoS,0.98151463,0.9780154,0.98151463,0.97976184
2,1,3,MITM,0.9976141,0.9729494,0.9976141,0.9851274
3,1,3,Normal,0.6156828,0.85224926,0.6156828,0.71490395
4,1,3,Scanner,0.9847897,0.9972818,0.9847897,0.9909964
5,1,3,Brute force,0.97584254,0.9654765,0.97584254,0.97063184
6,1,3,Generic,0.99314255,0.9943284,0.99314255,0.9937352
7,1,3,Exploit,0.88458097,0.698869,0.88458097,0.78083456
8,1,3,Infection,0.9639237,0.95679194,0.9639237,0.9603446
0,1,4,Botnet,0.96957946,0.99754524,0.96957946,0.98336357
1,1,4,DoS,0.96511626,0.9899083,0.96511626,0.97735506
2,1,4,MITM,0.99671936,0.96869564,0.99671936,0.9825077
3,1,4,Normal,0.6623919,0.82842225,0.6623919,0.73616177
4,1,4,Scanner,0.9868813,0.99939615,0.9868813,0.99309933
5,1,4,Brute force,0.9904563,0.9645658,0.9904563,0.9773396
6,1,4,Generic,0.996124,0.992278,0.996124,0.99419725
7,1,4,Exploit,0.8538622,0.7155711,0.8538622,0.7786238
8,1,4,Infection,0.95705336,0.944657,0.95705336,0.9508148
0,1,5,Botnet,0.977632,0.99363446,0.977632,0.9855682
1,1,5,DoS,0.9809126,0.954163,0.9809126,0.967353
2,1,5,MITM,0.99791294,0.96930206,0.99791294,0.98339945
3,1,5,Normal,0.73426783,0.7686544,0.73426783,0.75106776
4,1,5,Scanner,0.9889684,0.99849486,0.9889684,0.9937088
5,1,5,Brute force,0.98568445,0.9660918,0.98568445,0.9757898
6,1,5,Generic,0.9979123,0.9934679,0.9979123,0.99568516
7,1,5,Exploit,0.7561121,0.74698085,0.7561121,0.7515187
8,1,5,Infection,0.9516851,0.9752445,0.9516851,0.9633208
0,2,1,Botnet,0.97018486,0.9935878,0.97018486,0.98174685
1,2,1,DoS,0.9609305,0.9847188,0.9609305,0.9726792
2,2,1,MITM,0.99701846,0.97209305,0.99701846,0.984398
3,2,1,Normal,0.7363555,0.76486987,0.7363555,0.7503419
4,2,1,Scanner,0.98568445,0.9978865,0.98568445,0.991748
5,2,1,Brute force,0.9895647,0.95373565,0.9895647,0.9713199
6,2,1,Generic,0.99284226,0.9964083,0.99284226,0.99462205
7,2,1,Exploit,0.757901,0.7402446,0.757901,0.74896884
8,2,1,Infection,0.9519833,0.9390997,0.9519833,0.9454976
0,2,2,Botnet,0.98300534,0.9897929,0.98300534,0.98638743
