Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
0,Src Port,0.5536138622680635,0.7927359579667516,1.091369493062981,0.8658456230061671,1.0289228601679763,0.6390428754764261,0.7472860656258659,0.912134955666188,0.8740279621332178
1,Dst Port,1.8802130162948696,2.070982451134963,1.8465566258052823,2.266813863852853,2.2960939246049117,2.239403011258294,2.387187038363771,2.5586496313825506,2.1478588143370856
2,Protocol,0.0007672517732460295,0.0013799171944105168,0.0015313143780994185,0.0007243739884399926,0.0009540983974115557,0.0003054792880404317,0.0005805642552453768,0.00043729157783173756,0.0006809208638447225
3,Flow Duration,6.700228352678922,8.390887228651966,10.169650365000162,7.547617443611403,5.459526344895781,6.38348506867758,7.313918422642506,5.089918144217085,9.37423116779379
4,Tot Fwd Pkts,0.0004994981096988107,0.0003945796326667408,0.0006234508438811,0.00040438188094553136,0.00039880579623519,0.0004026725653614163,0.0006248665777257448,0.00031962712502572887,0.0006159877026852198
5,Tot Bwd Pkts,0.0004262963364984599,0.000681379562149157,0.0011025362187476993,0.0007244946097762045,0.0006082164148210426,0.0005223028119014444,0.0008779055149315734,0.00070486747609239,0.0010814549787599391
6,TotLen Fwd Pkts,0.02338033652937039,0.01378148640869312,0.0484972862911909,0.020064221411726067,0.03164346879327781,0.020769556853055954,0.04689815397988805,0.019861694516314598,0.02880326359906286
7,TotLen Bwd Pkts,0.019854833114954624,0.02201470981539143,0.0507624320569281,0.040782910957421564,0.026366570418752244,0.024480717751383812,0.06647233380658361,0.027899004413139965,0.05863268352749603
8,Fwd Pkt Len Max,0.0197329104853368,0.011015632460599584,0.028739788415078505,0.015514455787844697,0.027388849633744446,0.014559181207033913,0.028713183652807884,0.0146789104457999,0.02405746720244294
9,Fwd Pkt Len Min,0.0032762637544238825,0.004539592873429444,0.0028015206177205505,0.004394312980109937,0.008291217306845648,0.004922816193705868,0.010538606333435677,0.004637605500572045,0.0037223676130522854
10,Fwd Pkt Len Mean,0.00651264028570499,0.005508337821904999,0.008744937742904071,0.007009682240368603,0.014843428286393758,0.00786527565185814,0.015337059978352417,0.0075506566450107004,0.007054625963711067
11,Fwd Pkt Len Std,0.006590060906262185,0.004507738996743764,0.008574245741499781,0.004754069874698898,0.005273681789435426,0.0035636612294557683,0.0065961119448174135,0.003922397962394362,0.008598818703214448
12,Bwd Pkt Len Max,0.021060880407274458,0.016405590557363885,0.03223260673567231,0.03228228294392663,0.02594649164081513,0.02335055825062053,0.04153127778285502,0.02454266402808395,0.03846417625371952
13,Bwd Pkt Len Min,0.012024824240510216,0.01715383736466001,0.014855677219553614,0.020987293035786572,0.020756282183836395,0.016781787325630303,0.019517097020655842,0.019845622128727203,0.014940717312353741
14,Bwd Pkt Len Mean,0.01737450598736478,0.018239618019990283,0.022380167661271898,0.028258007881185782,0.02344119610759785,0.019090415117095014,0.030380787867276587,0.023526745308254802,0.021127422734079544
15,Bwd Pkt Len Std,0.005614108862882807,0.00459598637151509,0.010905127944678539,0.010034729776546163,0.006302368737684631,0.005220005776106653,0.007093871969382734,0.00553832769644646,0.009697038076771594
16,Flow Byts/s,0.4059850553369942,0.457114919286201,0.71552448902877,0.9578496895648071,0.8072916212132973,0.9087625245166869,0.6390468251007926,0.995560610431796,0.5216004481678915
17,Flow Pkts/s,3.129284983138399,2.490709930663192,2.6118335545951843,2.919693674320807,3.5792513091326557,2.7424083791695346,3.0637064474711275,3.3186865078126004,4.123602942379913
18,Flow IAT Mean,4.031881651709787,3.4375714024196866,2.1498169181783267,2.0682926709757696,3.158967069168411,3.354137688204568,2.642187325023263,2.129888641247004,2.8258221641169703
19,Flow IAT Std,4.25986540134885,3.6151925406837586,3.5379380947488244,4.033316360653615,2.280102932288764,2.9037543259920384,3.993549406921327,2.5965933528181004,3.5532990174000374
20,Flow IAT Max,7.977278515069938,8.437337065855742,9.193870081289962,11.797337791470033,5.511200967720842,5.647037268313482,7.63298844173444,5.365113529421211,11.555446429428633
21,Flow IAT Min,1.0998292310540427,0.7552396759474673,0.6367772557908952,0.6344185423753306,1.0781066776744352,0.6583665045876159,0.6021189428809244,0.847663146771084,0.94430330772212
22,Fwd IAT Tot,13.887764966147964,11.453670063755803,11.593900680503134,15.206125560369514,10.575153830167324,16.934180231007023,12.378214468206005,8.925892920963562,13.149535295294516
23,Fwd IAT Mean,5.52824807261961,5.0012413958062485,4.167788126040268,3.5538952843667593,3.8236356397653575,4.805737496067762,4.547959674570984,3.235528954475747,3.735395812208904
24,Fwd IAT Std,1.5094698481267441,2.6274149632751254,2.5800351850236374,1.8919877542032726,1.0073800806576272,0.6280039902006236,0.7415052171731886,1.1613577368323291,1.6145811122235543
25,Fwd IAT Max,6.339534666721669,7.72542833259201,11.410112367160469,8.808111837593838,5.0842595446645955,6.234572399857509,5.625706886672889,4.399614990880602,10.097352180338087
26,Fwd IAT Min,1.1974264750392793,0.9943113910375386,0.6097267380340983,0.7337742734934424,1.1615612892573532,0.9847548910840608,0.7472145923714308,1.1356131314068054,1.2776955447709963
27,Bwd IAT Tot,1.702997981668203,4.940796874868711,7.023123763159752,5.154630184053135,1.890969361923276,2.9227747027019015,3.7282365358449625,2.1990456603235145,3.565796886776238
28,Bwd IAT Mean,3.470334811103882,2.8113973712252145,2.8815878640003545,3.0057415920689854,2.210385621906439,3.509911891469737,4.6597455340938545,2.4321060629388,2.1879384686927583
29,Bwd IAT Std,1.1968142135074795,1.3449544344419757,1.556314422876821,3.028902319524036,0.8604424579553032,0.5097735973662199,2.5710405466304636,0.8783105881918324,2.0065209971965006
30,Bwd IAT Max,1.3734380646641595,3.3531055655656914,4.646780821501412,3.928751398381641,1.1823255459470718,1.092908322464004,3.128328707691693,1.2684836501788161,3.847971931069857
31,Bwd IAT Min,0.12102727644568564,0.03746189471293519,0.05803391742316788,0.04532077609187013,0.11719892932715811,0.37352453062977514,0.0351603782023601,0.09930205257330187,0.03908813775318043
32,Fwd PSH Flags,4.6633072015237746e-05,1.6216328423071926e-05,1.5859748122364437e-05,4.904976944939077e-05,4.8531938265323366e-05,8.992199426231037e-06,2.210356766148197e-05,2.767769836557942e-05,1.5327247547603995e-05
33,Bwd PSH Flags,3.171622189824714e-06,5.9139887698421065e-06,1.1264133109683961e-05,1.1225308331264236e-05,8.420067535968946e-05,3.001278632480996e-06,5.162891328606703e-06,4.5432918425929206e-06,7.311049294699185e-06
34,Fwd URG Flags,3.5416598843261854e-08,5.822895670664569e-08,9.073954717501289e-08,8.344025081615432e-11,5.976468502113778e-09,8.223331080646148e-08,3.9393894257955256e-08,4.505794902848317e-08,8.417849197333755e-08
35,Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Fwd Header Len,0.02603940768404528,0.023045465751337268,0.03485561540954328,0.020876985915436616,0.02482935944600346,0.0223998602798335,0.037166523917560215,0.014788239109452683,0.03083856724371392
37,Bwd Header Len,0.014532953147864517,0.022671442455280362,0.036116661313444855,0.02667254123296216,0.020294689474970304,0.015345289133802209,0.029823328464841398,0.02114892459778863,0.03460188930254302
38,Fwd Pkts/s,2.819763650531536,2.2071356888567166,2.315220993546997,2.8624201532450315,3.370058590093909,2.3451339859196456,2.524018700324888,2.828659956275027,3.749040436108627
39,Bwd Pkts/s,0.1749391395197906,0.5162665910293407,0.30810458884182285,0.37906916666990165,0.48304553177477977,0.22939558748286984,0.39941125623822676,0.26279738967131705,0.20551081945941013
40,Pkt Len Min,0.00793173661191125,0.010500586341046479,0.00852079255297576,0.016905049373737966,0.015087173308328252,0.014992099863578096,0.015222131350623419,0.018211142160051784,0.009901391117273482
41,Pkt Len Max,0.01631630497222,0.014607825613361422,0.04297607812135426,0.025403771216568182,0.024783947493194895,0.019477753317351607,0.037671892101151204,0.01904343700533767,0.03673027323443004
42,Pkt Len Mean,0.009648438321545863,0.01152310091994481,0.01593627411150679,0.020231812832403027,0.01895261106620246,0.015538100880574082,0.019467518389281718,0.01698130936501512,0.016122964744776414
43,Pkt Len Std,0.003499373631138375,0.0026309388701358525,0.008125685295396236,0.005380461180607017,0.004607813682208263,0.002998399958622309,0.0054120292297675345,0.003222359260521072,0.00573169100024754
44,Pkt Len Var,0.2667052349155873,0.18496738400216556,0.5603615994122952,0.3378595987888352,0.3074349663582733,0.17734629197836294,0.4128783262972736,0.18204954094755038,0.3880410481524247
45,FIN Flag Cnt,0.00018151140928122212,0.00048182799362991543,0.0002513058931277642,0.00035923473059973023,0.0003209269629784993,0.00026720115565392053,0.0003462660420402734,0.00027819368540039463,0.0003378309841432964
46,SYN Flag Cnt,0.0005057594920944425,0.000550196065221713,0.0004897306668662079,0.00040682402245827273,0.0005026867723960634,0.000507470513916872,0.0006039874648844574,0.0005789077756773328,0.0005544752143066399
47,RST Flag Cnt,9.776193944394801e-05,0.000399118466836855,0.00013466630825227817,0.0003393777784291953,0.00018860175421788874,0.00017921037931983275,0.00016397645796961723,0.00012672807545843667,0.00022663486642865628
48,PSH Flag Cnt,0.0001682211520082339,0.00017086455583896124,0.0002680660346183031,0.0006188333494417975,0.0002567095003625577,0.00025140658660874457,0.0006097889524705419,0.00022816829831266987,0.000949058220260005
49,ACK Flag Cnt,0.00041453547070981027,0.0008348852245277656,0.0007250763338666335,0.001202526682789434,0.0005120632369810024,0.0005668428836498645,0.0011379289832795774,0.0005465689166810227,0.0014494607525736686
50,URG Flag Cnt,2.8038382943981965e-06,1.589610678198079e-05,8.915151406308533e-06,1.0936676322645806e-05,9.08732122961232e-06,2.2960573952422024e-05,2.3003170763582924e-05,8.13478204838955e-06,1.5260412638722053e-05
51,CWE Flag Count,2.9793956006566684e-08,7.600272994952522e-08,1.7755754518778604e-07,1.1965128692281722e-10,5.642371585660536e-08,6.295616670589273e-08,1.0291611298372218e-07,6.754816753932067e-08,5.463044063718471e-07
52,ECE Flag Cnt,1.0000149397738327e-05,2.0905666936638186e-06,8.557406935367283e-06,3.444229839304549e-06,2.188486030328452e-06,6.5342524785255425e-06,5.371889191018613e-06,3.2554719085414283e-06,3.4972623149125415e-06
53,Down/Up Ratio,0.0005939180023801548,0.0005611373078423995,0.0005005232937099356,0.0006264897829027244,0.0005240772066949456,0.0004604417434292755,0.00048677989296136545,0.0004991424219977999,0.00047814369746004804
54,Pkt Size Avg,0.013987397167170392,0.017849876857777502,0.02144858422734706,0.03218734024032655,0.02868498413033733,0.023067549728512635,0.026612562245331105,0.02654678872752045,0.024258973526641803
55,Fwd Seg Size Avg,0.006547569420773549,0.005524242779549566,0.008727931158995266,0.007003643201878086,0.014884576059883572,0.00781709891839755,0.015351933450251737,0.007568062445900294,0.007031151257694196
56,Bwd Seg Size Avg,0.01738088205537251,0.01819543937581934,0.022229181134719285,0.028398544030291233,0.023354108940961637,0.01908122531527173,0.030302972994521747,0.023528117753928837,0.021109164851114626
57,Fwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Bwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Bwd Pkts/b Avg,1.0678276924907435e-05,2.145768982213335e-05,1.7256137561704614e-05,8.757946349425166e-05,1.8868212190600326e-05,3.407338003707959e-05,0.00016137405432566885,1.807669669272039e-05,0.00018451764592108128
62,Bwd Blk Rate Avg,0.01007375533884421,0.018432026730912293,0.4245207393643867,0.05062296220855959,0.029041516069996852,0.10396443115517909,0.03982649452653464,0.04359624582723361,0.07206862487542144
63,Subflow Fwd Pkts,0.0005077013124971238,0.00022710797130711123,0.0010384703912313781,0.0003345726984122655,0.00040898756914806156,0.0003016483590227208,0.0003908716779811019,0.00045825811426573394,0.00034891778327285355
64,Subflow Fwd Byts,0.01671972454646544,0.009483384728970895,0.04057816432784196,0.012569542641809272,0.02260949204961953,0.01366476400117932,0.032641408921777436,0.014075435061992294,0.009645931335634546
65,Subflow Bwd Pkts,0.00014990095728967414,0.0002053540270704276,0.0005258289362889529,0.00021594025993142748,0.00026614458480494856,0.00019050412773640102,0.00033495713795457033,0.0003297160100738844,0.0002489451776678905
66,Subflow Bwd Byts,0.03599350713927705,0.024147795264913598,0.047263502330114525,0.04021741007312883,0.04116141575250206,0.037204709844259706,0.06301286564929835,0.0428505737147631,0.028006189065406063
67,Init Fwd Win Byts,1.1165390501515546,1.2794730422527105,1.6024234545440372,1.451245131385884,1.6799028694203,1.336405232565443,1.5039953659700838,2.0275703166060666,1.673010011212303
68,Fwd Act Data Pkts,0.0002297447354700563,0.0002481092921181005,0.0007777755697997959,0.0005310810555499872,0.00029560376489891425,0.00022904973315467867,0.00045601547519442953,0.00031639400876337317,0.0004519620952776164
69,Active Mean,0.026637047749652303,0.0027026448752099507,0.00845271584481326,0.00285652407138532,0.007269768137637894,0.003994184013500865,0.004975196677081561,0.012481382442794226,0.003846035758998767
70,Active Std,0.006103654201686191,0.007748087351622935,0.014981673202898125,0.003992909291795438,0.006241141773486939,0.008284893896237553,0.011655038189837373,0.034615353534911394,0.0061404556213858225
71,Active Max,0.030923596514611434,0.0068660421407860574,0.02013223741718076,0.0073723207693462325,0.02183866634752739,0.011958264427160905,0.011458840034271583,0.036832058003280856,0.00825287865993555
72,Active Min,0.036569447684593435,0.0024042263273336083,0.007729693545116467,0.00392687064540294,0.008069588727982566,0.0048006593745309745,0.005502323221836449,0.00864088794867544,0.004576440717414925
73,Idle Std,5.3817031908342345,5.572770016634147,5.755077251977187,7.43580377304477,4.275875172362968,6.731581553105942,7.492596943578995,4.263201626947304,5.461487401452747
