,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Botnet,0.9391771,0.5232558,0.9391771,0.67207175
1,1,1,DoS,0.16045332,0.81887364,0.16045332,0.26832914
2,1,1,MITM,0.96273106,0.636507,0.96273106,0.7663463
3,1,1,Normal,0.41157174,0.8914729,0.41157174,0.5631504
4,1,1,Scanner,0.8666865,0.8659118,0.8666865,0.86629903
5,1,1,Brute force,0.37447822,0.9121278,0.37447822,0.5309659
6,1,1,Generic,0.9853862,0.5153642,0.9853862,0.6767719
7,1,1,Exploit,0.86821705,0.77757007,0.86821705,0.82039726
8,1,1,Infection,0.5764987,0.9694082,0.5764987,0.7230223
0,1,2,Botnet,0.93649375,0.52376187,0.93649375,0.6717998
1,1,2,DoS,0.15568148,0.9255319,0.15568148,0.2665305
2,1,2,MITM,0.95973754,0.62607,0.95973754,0.7578005
3,1,2,Normal,0.39594513,0.899729,0.39594513,0.5498965
4,1,2,Scanner,0.8690725,0.87297785,0.8690725,0.8710208
5,1,2,Brute force,0.3777579,0.9056469,0.3777579,0.53313696
6,1,2,Generic,0.9865792,0.5104938,0.9865792,0.67283636
7,1,2,Exploit,0.8714584,0.7929444,0.8714584,0.83034956
8,1,2,Infection,0.5912343,0.94338727,0.5912343,0.7269061
0,1,3,Botnet,0.6978825,0.518732,0.6978825,0.595117
1,1,3,DoS,0.35599285,0.56109023,0.35599285,0.43560743
2,1,3,MITM,0.9636147,0.6395487,0.9636147,0.76882803
3,1,3,Normal,0.40041742,0.87038237,0.40041742,0.5484991
4,1,3,Scanner,0.8777214,0.8758929,0.8777214,0.8768062
5,1,3,Brute force,0.37697583,0.93907875,0.37697583,0.53798676
6,1,3,Generic,0.9868813,0.51341707,0.9868813,0.6754412
7,1,3,Exploit,0.87473905,0.78109187,0.87473905,0.8252673
8,1,3,Infection,0.5730471,0.9426189,0.5730471,0.71277577
0,1,4,Botnet,0.93617654,0.5230795,0.93617654,0.67115676
1,1,4,DoS,0.15712582,0.88274705,0.15712582,0.2667679
2,1,4,MITM,0.96570235,0.64579177,0.96570235,0.7739931
3,1,4,Normal,0.38443184,0.9135365,0.38443184,0.54114187
4,1,4,Scanner,0.8843172,0.8762186,0.8843172,0.88024926
5,1,4,Brute force,0.39457202,0.9284211,0.39457202,0.55378824
6,1,4,Generic,0.98479426,0.5112212,0.98479426,0.6730514
7,1,4,Exploit,0.88010734,0.76351875,0.88010734,0.81767803
8,1,4,Infection,0.5708321,0.94705594,0.5708321,0.71231854
0,1,5,Botnet,0.9403519,0.5194399,0.9403519,0.66921365
1,1,5,DoS,0.14196242,0.9136276,0.14196242,0.24574085
2,1,5,MITM,0.9639237,0.6435112,0.9639237,0.77178323
3,1,5,Normal,0.39695793,0.90421194,0.39695793,0.55170983
4,1,5,Scanner,0.881932,0.86770314,0.881932,0.87475973
5,1,5,Brute force,0.39994034,0.92038435,0.39994034,0.55758834
6,1,5,Generic,0.9859827,0.51010644,0.9859827,0.6723612
7,1,5,Exploit,0.87745976,0.7736593,0.87745976,0.82229674
8,1,5,Infection,0.5577095,0.96292484,0.5577095,0.7063267
0,2,1,Botnet,0.6499702,0.53157765,0.6499702,0.5848423
1,2,1,DoS,0.42857143,0.58462167,0.42857143,0.49457926
2,2,1,MITM,0.9695886,0.64154667,0.9695886,0.7721715
3,2,1,Normal,0.43751863,0.84846735,0.43751863,0.5773318
4,2,1,Scanner,0.8753355,0.8729923,0.8753355,0.8741624
5,2,1,Brute force,0.39296362,0.91211075,0.39296362,0.5492811
6,2,1,Generic,0.983895,0.50910497,0.983895,0.6710058
7,2,1,Exploit,0.8431723,0.8,0.8431723,0.821019
8,2,1,Infection,0.5690426,0.953047,0.5690426,0.71260506
0,2,2,Botnet,0.93202144,0.5223058,0.93202144,0.6694507
1,2,2,DoS,0.15210259,0.8854167,0.15210259,0.25960806
2,2,2,MITM,0.9534745,0.6435185,0.9534745,0.7684173
3,2,2,Normal,0.41115087,0.850185,0.41115087,0.5542605
4,2,2,Scanner,0.8604235,0.8885125,0.8604235,0.8742425
5,2,2,Brute force,0.38431722,0.91548294,0.38431722,0.54136914
6,2,2,Generic,0.9859827,0.5079121,0.9859827,0.67045224
7,2,2,Exploit,0.85624814,0.76826334,0.85624814,0.80987304
8,2,2,Infection,0.5810972,0.91545326,0.5810972,0.7109246
0,2,3,Botnet,0.9352818,0.52041155,0.9352818,0.668728
1,2,3,DoS,0.15056649,0.8953901,0.15056649,0.25778458
2,2,3,MITM,0.9585446,0.64655,0.9585446,0.7722249
3,2,3,Normal,0.40161002,0.90100336,0.40161002,0.5555785
4,2,3,Scanner,0.8792126,0.8527625,0.8792126,0.8657856
5,2,3,Brute force,0.38264242,0.8751705,0.38264242,0.5324756
6,2,3,Generic,0.98628503,0.51614916,0.98628503,0.6776606
7,2,3,Exploit,0.88487923,0.77812743,0.88487923,0.828077
8,2,3,Infection,0.5715563,0.9681818,0.5715563,0.7187851
0,2,4,Botnet,0.06233224,0.7572464,0.06233224,0.11518325
1,2,4,DoS,0.96839595,0.50877196,0.96839595,0.6670775
2,2,4,MITM,0.96182525,0.64668137,0.96182525,0.7733813
3,2,4,Normal,0.41902775,0.87593514,0.41902775,0.56687516
4,2,4,Scanner,0.87239116,0.88105994,0.87239116,0.8767041
5,2,4,Brute force,0.3862213,0.9316547,0.3862213,0.5460679
6,2,4,Generic,0.9865832,0.5167083,0.9865832,0.67821276
7,2,4,Exploit,0.86877424,0.77226937,0.86877424,0.8176842
8,2,4,Infection,0.5902177,0.9691479,0.5902177,0.7336422
0,2,5,Botnet,0.9415449,0.5225956,0.9415449,0.6721311
1,2,5,DoS,0.15866388,0.8986486,0.15866388,0.2697085
2,2,5,MITM,0.9710793,0.64393044,0.9710793,0.7743699
3,2,5,Normal,0.39815092,0.8563182,0.39815092,0.54356676
4,2,5,Scanner,0.8801431,0.8825112,0.8801431,0.88132554
5,2,5,Brute force,0.37578288,0.93333334,0.37578288,0.5358282
6,2,5,Generic,0.9865792,0.5108091,0.9865792,0.6731101
7,2,5,Exploit,0.8637448,0.77232736,0.8637448,0.8154821
8,2,5,Infection,0.573218,0.9571713,0.573218,0.7170304
0,3,1,Botnet,0.7641622,0.5242381,0.7641622,0.621861
1,3,1,DoS,0.32180136,0.6144647,0.32180136,0.42239186
2,3,1,MITM,0.9612403,0.6458333,0.9612403,0.7725857
3,3,1,Normal,0.4017298,0.87184465,0.4017298,0.5500204
4,3,1,Scanner,0.8577393,0.8928904,0.8577393,0.87496203
5,3,1,Brute force,0.37179488,0.93900603,0.37179488,0.53267837
6,3,1,Generic,0.983895,0.5109184,0.983895,0.67257893
7,3,1,Exploit,0.87567085,0.7692509,0.87567085,0.8190184
8,3,1,Infection,0.60065615,0.925977,0.60065615,0.72865415
0,3,2,Botnet,0.88223016,0.5260444,0.88223016,0.6590934
1,3,2,DoS,0.21592604,0.73353595,0.21592604,0.33364055
2,3,2,MITM,0.96689534,0.64466095,0.96689534,0.77356243
3,3,2,Normal,0.4183065,0.8623233,0.4183065,0.5633407
4,3,2,Scanner,0.8595288,0.88404906,0.8595288,0.8716165
5,3,2,Brute force,0.3789505,0.9183526,0.3789505,0.5365133
6,3,2,Generic,0.9835968,0.50405014,0.9835968,0.6665319
7,3,2,Exploit,0.85982704,0.7817245,0.85982704,0.8189178
8,3,2,Infection,0.5697674,0.937684,0.5697674,0.70882785
