Index,Feature,Botnet,DoS,MITM,Normal,Scanner,Brute force,Generic,Exploit,Infection
0,Src IP,122.7976367730615,39.692470092334425,30.851756662627558,41.44861864628418,50.45576399083423,68.4190353554718,49.11400554997427,80.87779710439494,155.5300258567583
1,Src Port,0.003441458809858462,0.0005393776471725722,0.00034967593549132864,0.004981498787369527,0.0015820408994813666,0.000714190804133307,0.0002083941875077883,0.0009703041767741581,0.0051686296554890885
2,Dst IP,127.66408305917521,39.27990926275205,29.924879755175755,40.329048199837764,50.64269532850497,65.86110369962924,48.225149780914066,80.40682042707168,158.6976478065332
3,Dst Port,0.020647351817092513,0.005053969978037547,0.0016991184616624929,0.009628552642336809,0.005467771982409833,0.006106695292310145,0.0011947373633853413,0.023208339830909024,0.022405178291502393
4,Protocol,2.467193613799746e-06,9.241125978116038e-07,2.1341245032329037e-06,2.0879460258634742e-06,5.434022817204053e-06,8.155207183509642e-07,2.289264859974614e-08,1.7289287905727301e-06,7.246085436309638e-06
5,Flow Duration,0.08885657380922969,0.15105004919845025,0.2130505404259973,0.24045788902284465,0.32301944042231623,0.46582801445693056,0.13136405650690683,0.7376760843501388,0.7826751321827781
6,Tot Fwd Pkts,7.122738419938523e-07,1.4493447701570137e-06,1.0999826148388503e-06,3.4882128980441286e-06,5.25244030297759e-07,8.75441215377428e-06,7.697336983905494e-08,2.0577025348746453e-06,8.890552783107955e-07
7,Tot Bwd Pkts,3.658541112165752e-07,6.914054729276966e-07,4.2560399971821e-07,4.211652794602956e-06,6.749180098463807e-07,2.51857310865569e-06,1.0584970617002914e-07,1.0887224603028738e-06,2.1017678420452476e-06
8,TotLen Fwd Pkts,1.9702300100417053e-05,0.00020586904590698304,6.526628009857513e-05,0.0003105663173796111,9.097351116643489e-05,0.0007601893787498782,1.2299934833039184e-05,0.0003183483392956022,0.00035667254929428
9,TotLen Bwd Pkts,5.813016136539525e-05,0.00017354983974685447,7.176218184873653e-05,0.00037264224427265664,0.0001231340082951655,0.00043228493433584,1.8403475471564678e-05,0.00010993767523180058,0.00036992851711154857
10,Fwd Pkt Len Max,2.0885543824778233e-05,8.773726426592951e-05,1.2335801560736708e-05,0.0004555285012230549,7.739375734379499e-05,0.00025143093622734746,8.06386401844064e-06,0.00018225228371614944,8.322784698007147e-05
11,Fwd Pkt Len Min,9.239153711782711e-05,2.197095290754256e-05,3.867676493690869e-05,3.576776261322573e-05,0.00012907568684848004,1.6082457527119987e-05,8.85641828520723e-07,3.3987687534962656e-05,0.0001620683152879652
12,Fwd Pkt Len Mean,2.0472699948695605e-05,3.5188371039278975e-05,6.7675554288144805e-06,4.765690263218162e-05,2.963146794281381e-05,4.8160025844374966e-05,3.0818885716031567e-06,0.00012886020580473798,9.572950706502508e-05
13,Fwd Pkt Len Std,2.4135311549925766e-05,2.6191157676524666e-05,7.340536215138419e-06,0.0003209804859933765,2.74701409325171e-05,1.3557620755002501e-05,3.6879298392788244e-06,0.00010545022090144465,4.822674689327761e-05
14,Bwd Pkt Len Max,0.00010896343226779727,0.00018685694390622423,7.070024927446051e-05,0.00047683602064011474,0.0002724584808511851,0.0006673326337519115,1.5083476295275274e-05,0.0001092505456435252,0.0005680547659845162
