,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.83744,0.97758687,0.83744,0.9021027
1,1,1,Normal,0.9808,0.85782254,0.9808,0.91519856
0,1,2,Attack,0.84032,0.97693455,0.84032,0.90349215
1,1,2,Normal,0.98016,0.8599102,0.98016,0.91610587
0,1,3,Attack,0.84504,0.9791435,0.84504,0.90716255
1,1,3,Normal,0.982,0.8637067,0.982,0.91906255
0,1,4,Attack,0.83728,0.9783137,0.83728,0.9023191
1,1,4,Normal,0.98144,0.8577821,0.98144,0.9154541
0,1,5,Attack,0.84624,0.9805339,0.84624,0.90845066
1,1,5,Normal,0.9832,0.8647622,0.9832,0.92018574
0,1,6,Attack,0.83728,0.97740006,0.83728,0.90193033
1,1,6,Normal,0.98064,0.85768265,0.98064,0.9150493
0,1,7,Attack,0.83928,0.9774527,0.83928,0.90311193
1,1,7,Normal,0.98064,0.8591855,0.98064,0.9159039
0,1,8,Attack,0.83648,0.9791179,0.83648,0.90219593
1,1,8,Normal,0.98216,0.85727257,0.98216,0.9154767
0,1,9,Attack,0.84944,0.97780645,0.84944,0.90911424
1,1,9,Normal,0.98072,0.8669118,0.98072,0.9203108
0,1,10,Attack,0.84224,0.97934884,0.84224,0.9056344
1,1,10,Normal,0.98224,0.86161405,0.98224,0.9179813
0,2,1,Attack,0.83856,0.9765232,0.83856,0.90229833
1,2,1,Normal,0.97984,0.85854477,0.97984,0.9151909
0,2,2,Attack,0.83664,0.9797639,0.83664,0.9025633
1,2,2,Normal,0.98272,0.8574619,0.98272,0.91582793
0,2,3,Attack,0.83896,0.9782649,0.83896,0.903273
1,2,3,Normal,0.98136,0.8590336,0.98136,0.91613144
0,2,4,Attack,0.83824,0.97906935,0.83824,0.903198
1,2,4,Normal,0.98208,0.8585816,0.98208,0.91618776
0,2,5,Attack,0.8356,0.97827107,0.8356,0.90132457
1,2,5,Normal,0.98144,0.85652447,0.98144,0.91473734
0,2,6,Attack,0.84528,0.97769964,0.84528,0.9066804
1,2,6,Normal,0.98072,0.8637356,0.98072,0.91851795
0,2,7,Attack,0.83464,0.9795324,0.83464,0.90130013
1,2,7,Normal,0.98256,0.85594815,0.98256,0.9148944
0,2,8,Attack,0.8464,0.97827095,0.8464,0.9075702
1,2,8,Normal,0.9812,0.8646458,0.9812,0.91924304
0,2,9,Attack,0.8436,0.97910863,0.8436,0.9063171
1,2,9,Normal,0.982,0.8626142,0.982,0.9184437
0,2,10,Attack,0.8436,0.97584677,0.8436,0.9049171
1,2,10,Normal,0.97912,0.86226577,0.97912,0.91698503
0,3,1,Attack,0.84944,0.9775364,0.84944,0.9089976
1,3,1,Normal,0.98048,0.8668836,0.98048,0.9201892
0,3,2,Attack,0.84256,0.9800856,0.84256,0.90613437
1,3,2,Normal,0.98288,0.86193347,0.98288,0.9184421
0,3,3,Attack,0.83976,0.9785588,0.83976,0.9038618
1,3,3,Normal,0.9816,0.8596651,0.9816,0.9165951
0,3,4,Attack,0.83904,0.9781757,0.83904,0.9032814
1,3,4,Normal,0.98128,0.8590839,0.98128,0.9161251
0,3,5,Attack,0.84032,0.97611743,0.84032,0.9031426
1,3,5,Normal,0.97944,0.8598216,0.97944,0.9157411
0,3,6,Attack,0.83704,0.98931545,0.83704,0.90682966
1,3,6,Normal,0.99096,0.85877705,0.99096,0.92014563
0,3,7,Attack,0.8364,0.98641384,0.8364,0.90523404
1,3,7,Normal,0.98848,0.857996,0.98848,0.91862756
0,3,8,Attack,0.84336,0.9775593,0.84336,0.90551454
1,3,8,Normal,0.98064,0.86226785,0.98064,0.91765225
0,3,9,Attack,0.8444,0.97749585,0.8444,0.9060864
1,3,9,Normal,0.98056,0.8630475,0.98056,0.91805863
0,3,10,Attack,0.83608,0.9779171,0.83608,0.90145344
1,3,10,Normal,0.98112,0.8568434,0.98112,0.91478014
0,4,1,Attack,0.84152,0.9763319,0.84152,0.90392715
1,4,1,Normal,0.9796,0.86074793,0.9796,0.9163362
0,4,2,Attack,0.8468,0.97791946,0.8468,0.90764886
1,4,2,Normal,0.98088,0.8649125,0.98088,0.91925323
0,4,3,Attack,0.83824,0.981178,0.83824,0.9040943
1,4,3,Normal,0.98392,0.85880876,0.98392,0.9171172
0,4,4,Attack,0.84344,0.9794686,0.84344,0.9063789
1,4,4,Normal,0.98232,0.8625316,0.98232,0.9185368
0,4,5,Attack,0.83352,0.9784017,0.83352,0.9001685
1,4,5,Normal,0.9816,0.8549927,0.9816,0.91393244
0,4,6,Attack,0.84816,0.9754347,0.84816,0.9073559
1,4,6,Normal,0.97864,0.86568534,0.97864,0.9187038
0,4,7,Attack,0.83944,0.97727484,0.83944,0.9031287
1,4,7,Normal,0.98048,0.85928625,0.98048,0.9158913
0,4,8,Attack,0.84616,0.9783554,0.84616,0.9074686
1,4,8,Normal,0.98128,0.8644725,0.98128,0.9191803
0,4,9,Attack,0.8484,0.9788628,0.8484,0.908974
1,4,9,Normal,0.98168,0.866229,0.98168,0.920348
0,4,10,Attack,0.83768,0.97923875,0.83768,0.90294486
1,4,10,Normal,0.98224,0.8581813,0.98224,0.9160294
0,5,1,Attack,0.84232,0.97935075,0.84232,0.9056815
1,5,1,Normal,0.98224,0.8616745,0.98224,0.91801566
0,5,2,Attack,0.84496,0.97606504,0.84496,0.905793
1,5,2,Normal,0.97928,0.863319,0.97928,0.91765064
0,5,3,Attack,0.84456,0.97822464,0.84456,0.9064915
1,5,3,Normal,0.9812,0.8632461,0.9812,0.9184514
0,5,4,Attack,0.83328,0.9774775,0.83328,0.8996373
1,5,4,Normal,0.9808,0.8547128,0.9808,0.9134257
0,5,5,Attack,0.84184,0.97688454,0.84184,0.90434855
1,5,5,Normal,0.98008,0.86104864,0.98008,0.9167166
0,5,6,Attack,0.8304,0.97694117,0.8304,0.89772975
1,5,6,Normal,0.9804,0.8525217,0.9804,0.912
0,5,7,Attack,0.83456,0.977145,0.83456,0.9002416
1,5,7,Normal,0.98048,0.85562694,0.98048,0.9138085
0,5,8,Attack,0.8256,0.9799639,0.8256,0.89618343
1,5,8,Normal,0.98312,0.84933305,0.98312,0.9113427
0,5,9,Attack,0.8416,0.9800634,0.8416,0.90556943
1,5,9,Normal,0.98288,0.86120844,0.98288,0.9180303
0,5,10,Attack,0.84208,0.9795273,0.84208,0.9056182
1,5,10,Normal,0.9824,0.86151254,0.9824,0.9179935
0,6,1,Attack,0.84216,0.9774373,0.84216,0.90477014
1,6,1,Normal,0.98056,0.8613493,0.98056,0.9170969
0,6,2,Attack,0.83824,0.9800767,0.83824,0.90362644
1,6,2,Normal,0.98296,0.8586903,0.98296,0.9166325
0,6,3,Attack,0.84112,0.9761396,0.84112,0.9036139
1,6,3,Normal,0.97944,0.8604259,0.97944,0.91608363
0,6,4,Attack,0.8408,0.97867584,0.8408,0.9045139
1,6,4,Normal,0.98168,0.8604586,0.98168,0.9170808
0,6,5,Attack,0.84424,0.9791241,0.84424,0.906693
1,6,5,Normal,0.982,0.8630994,0.982,0.91871864
0,6,6,Attack,0.83992,0.9777426,0.83992,0.9036062
1,6,6,Normal,0.98088,0.8596971,0.98088,0.9162992
0,6,7,Attack,0.84432,0.9791261,0.84432,0.90674
1,6,7,Normal,0.982,0.86316013,0.982,0.918753
0,6,8,Attack,0.83928,0.9788207,0.83928,0.90369546
1,6,8,Normal,0.98184,0.85933346,0.98184,0.9165111
0,6,9,Attack,0.84744,0.97802603,0.84744,0.9080622
1,6,9,Normal,0.98096,0.8654104,0.98096,0.9195695
0,6,10,Attack,0.84248,0.9795368,0.84248,0.9058535
1,6,10,Normal,0.9824,0.86181486,0.9824,0.91816515
0,7,1,Attack,0.84392,0.9782085,0.84392,0.9061158
1,7,1,Normal,0.9812,0.86276025,0.9812,0.9181763
0,7,2,Attack,0.84136,0.9762369,0.84136,0.903794
1,7,2,Normal,0.97952,0.86061716,0.97952,0.91622704
0,7,3,Attack,0.83592,0.9783708,0.83592,0.90155303
1,7,3,Normal,0.98152,0.85677373,0.98152,0.9149142
0,7,4,Attack,0.83328,0.9800527,0.83328,0.90072644
1,7,4,Normal,0.98304,0.85499585,0.98304,0.91455793
0,7,5,Attack,0.8476,0.9777593,0.8476,0.90803903
1,7,5,Normal,0.98072,0.8655041,0.98072,0.919517
0,7,6,Attack,0.83984,0.97755843,0.83984,0.9034812
1,7,6,Normal,0.98072,0.8596171,0.98072,0.916184
0,7,7,Attack,0.84152,0.9780567,0.84152,0.9046657
1,7,7,Normal,0.98112,0.86093366,0.98112,0.91710603
0,7,8,Attack,0.84392,0.98048145,0.84392,0.90708977
1,7,8,Normal,0.9832,0.86300117,0.9832,0.9191877
0,7,9,Attack,0.84616,0.9769096,0.84616,0.90684617
1,7,9,Normal,0.98,0.8643195,0.98,0.91853184
0,7,10,Attack,0.8368,0.97995126,0.8368,0.90273577
1,7,10,Normal,0.98288,0.8576016,0.98288,0.9159771
0,8,1,Attack,0.84344,0.97883207,0.84344,0.90610635
1,8,1,Normal,0.98176,0.862464,0.98176,0.9182536
0,8,2,Attack,0.84,0.9775626,0.84,0.90357554
1,8,2,Normal,0.98072,0.8597377,0.98072,0.91625243
0,8,3,Attack,0.84392,0.98020816,0.84392,0.90697277
1,8,3,Normal,0.98296,0.8629723,0.98296,0.9190665
0,8,4,Attack,0.84304,0.97864044,0.84304,0.90579337
1,8,4,Normal,0.9816,0.86214167,0.9816,0.9180009
0,8,5,Attack,0.83,0.9784967,0.83,0.8981517
1,8,5,Normal,0.98176,0.8523998,0.98176,0.91251814
0,8,6,Attack,0.84656,0.9786368,0.84656,0.9078197
1,8,6,Normal,0.98152,0.8648058,0.98152,0.9194739
0,8,7,Attack,0.84352,0.97702,0.84352,0.90537524
1,8,7,Normal,0.98016,0.8623311,0.98016,0.91747785
0,8,8,Attack,0.83744,0.9786836,0.83744,0.90256935
1,8,8,Normal,0.98176,0.8579418,0.98176,0.91568416
0,8,9,Attack,0.84144,0.97914726,0.84144,0.9050856
1,8,9,Normal,0.98208,0.86099035,0.98208,0.9175574
0,8,10,Attack,0.83752,0.97585756,0.83752,0.901412
1,8,10,Normal,0.97928,0.8576934,0.97928,0.9144628
0,9,1,Attack,0.8472,0.97792965,0.8472,0.9078829
1,9,1,Normal,0.98088,0.8652177,0.98088,0.91942555
0,9,2,Attack,0.84728,0.9802851,0.84728,0.9089427
1,9,2,Normal,0.98296,0.8655255,0.98296,0.92051244
0,9,3,Attack,0.83424,0.97658736,0.83424,0.8998188
1,9,3,Normal,0.98,0.8553275,0.98,0.9134293
0,9,4,Attack,0.84712,0.97783726,0.84712,0.90779716
1,9,4,Normal,0.9808,0.8651471,0.9808,0.9193506
0,9,5,Attack,0.84192,0.9797058,0.84192,0.9056019
1,9,5,Normal,0.98256,0.86141115,0.98256,0.9180058
0,9,6,Attack,0.82112,0.97892225,0.82112,0.89310426
1,9,6,Normal,0.98232,0.84595245,0.98232,0.9090505
0,9,7,Attack,0.84632,0.9860192,0.84632,0.9108442
1,9,7,Normal,0.988,0.8653914,0.988,0.92264014
0,9,8,Attack,0.83168,0.97660875,0.83168,0.8983366
1,9,8,Normal,0.98008,0.85343087,0.98008,0.91238135
0,9,9,Attack,0.84272,0.9791783,0.84272,0.9058389
1,9,9,Normal,0.98208,0.8619576,0.98208,0.9181064
0,9,10,Attack,0.84352,0.97665805,0.84352,0.9052198
1,9,10,Normal,0.97984,0.8622923,0.97984,0.9173157
0,10,1,Attack,0.84104,0.9788641,0.84104,0.90473324
1,10,1,Normal,0.98184,0.8606592,0.98184,0.9172646
0,10,2,Attack,0.8476,0.9785721,0.8476,0.9083894
1,10,2,Normal,0.98144,0.8655895,0.98144,0.9198815
0,10,3,Attack,0.84208,0.97825277,0.84208,0.90507305
1,10,3,Normal,0.98128,0.8613764,0.98128,0.9174271
0,10,4,Attack,0.83752,0.9774064,0.83752,0.90207225
1,10,4,Normal,0.98064,0.8578627,0.98064,0.9151518
0,10,5,Attack,0.84216,0.97716516,0.84216,0.90465343
1,10,5,Normal,0.98032,0.86132,0.98032,0.9169753
0,10,6,Attack,0.83696,0.9794963,0.83696,0.9026358
1,10,6,Normal,0.98248,0.8576716,0.98248,0.9158433
0,10,7,Attack,0.83728,0.97721756,0.83728,0.90185267
1,10,7,Normal,0.98048,0.8576627,0.98048,0.9149683
0,10,8,Attack,0.83864,0.97889626,0.83864,0.90335643
1,10,8,Normal,0.98192,0.8588622,0.98192,0.9162779
0,10,9,Attack,0.84136,0.97905415,0.84136,0.90499955
1,10,9,Normal,0.982,0.8609202,0.982,0.9174826
0,10,10,Attack,0.84488,0.9775083,0.84488,0.90636796
1,10,10,Normal,0.98056,0.8634122,0.98056,0.9182649
