,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.9404,0.99991494,0.9404,0.9692447
1,1,1,Normal,0.99992,0.9437481,0.99992,0.97102237
0,1,2,Attack,0.8568,1.0,0.8568,0.922878
1,1,2,Normal,1.0,0.87473756,1.0,0.933184
0,1,3,Attack,0.9492,0.9999157,0.9492,0.973898
1,1,3,Normal,0.99992,0.9516522,0.99992,0.97518927
0,1,4,Attack,0.93112,1.0,0.93112,0.9643316
1,1,4,Normal,1.0,0.93555874,1.0,0.96670663
0,1,5,Attack,0.92408,1.0,0.92408,0.9605422
1,1,5,Normal,1.0,0.92943716,1.0,0.96342826
0,1,6,Attack,0.926,1.0,0.926,0.9615784
1,1,6,Normal,1.0,0.9310987,1.0,0.9643202
0,1,7,Attack,0.7996,0.9823096,0.7996,0.8815877
1,1,7,Normal,0.9856,0.83102864,0.9856,0.9017383
0,1,8,Attack,0.94248,0.9997454,0.94248,0.97026855
1,1,8,Normal,0.99976,0.9455962,0.99976,0.97192407
0,1,9,Attack,0.94472,0.9972975,0.94472,0.970297
1,1,9,Normal,0.99744,0.9474884,0.99744,0.97182274
0,1,10,Attack,0.94048,0.9991501,0.94048,0.96892774
1,1,10,Normal,0.9992,0.9437812,0.9992,0.97070026
0,2,1,Attack,0.88984,1.0,0.88984,0.94170934
1,2,1,Normal,1.0,0.9007711,1.0,0.9477954
0,2,2,Attack,0.94776,1.0,0.94776,0.97317946
1,2,2,Normal,1.0,0.9503535,1.0,0.9745449
0,2,3,Attack,0.80464,1.0,0.80464,0.8917457
1,2,3,Normal,1.0,0.83656806,1.0,0.9110123
0,2,4,Attack,0.9464,0.98003477,0.9464,0.96292377
1,2,4,Normal,0.98072,0.9481785,0.98072,0.9641747
0,2,5,Attack,0.962,0.99991685,0.962,0.980592
1,2,5,Normal,0.99992,0.9633883,0.99992,0.9813143
0,2,6,Attack,0.94472,1.0,0.94472,0.97157425
1,2,6,Normal,1.0,0.9476158,1.0,0.9731034
0,2,7,Attack,0.94992,0.9997474,0.94992,0.9741969
1,2,7,Normal,0.99976,0.9522975,0.99976,0.9754517
0,2,8,Attack,0.70928,1.0,0.70928,0.8299167
1,2,8,Normal,1.0,0.7747614,1.0,0.8730879
0,2,9,Attack,0.7828,1.0,0.7828,0.87816924
1,2,9,Normal,1.0,0.8215577,1.0,0.9020386
0,2,10,Attack,0.77208,0.988832,0.77208,0.867116
1,2,10,Normal,0.99128,0.8130577,0.99128,0.893367
0,3,1,Attack,0.93896,1.0,0.93896,0.9685192
1,3,1,Normal,1.0,0.94247156,1.0,0.97038394
0,3,2,Attack,0.94008,0.9329152,0.94008,0.9364839
1,3,2,Normal,0.9324,0.93961626,0.9324,0.93599427
0,3,3,Attack,0.82568,0.99990314,0.82568,0.90447813
1,3,3,Normal,0.99992,0.8515465,0.99992,0.91978806
0,3,4,Attack,0.96016,1.0,0.96016,0.9796751
1,3,4,Normal,1.0,0.96168643,1.0,0.9804691
0,3,5,Attack,0.66064,0.99987894,0.66064,0.79560673
1,3,5,Normal,0.99992,0.7466101,0.99992,0.85489553
0,3,6,Attack,0.7148,0.9998881,0.7148,0.83364433
1,3,6,Normal,0.99992,0.7780752,0.99992,0.8751576
0,3,7,Attack,0.88864,1.0,0.88864,0.94103694
1,3,7,Normal,1.0,0.89979845,1.0,0.9472568
0,3,8,Attack,0.86648,1.0,0.86648,0.9284643
1,3,8,Normal,1.0,0.88220763,1.0,0.937418
0,3,9,Attack,0.92496,0.99620885,0.92496,0.95926327
1,3,9,Normal,0.99648,0.92996866,0.99648,0.9620762
0,3,10,Attack,0.94152,0.99991506,0.94152,0.9698393
1,3,10,Normal,0.99992,0.9447468,0.99992,0.9715507
0,4,1,Attack,0.94992,1.0,0.94992,0.9743169
1,4,1,Normal,1.0,0.9523084,1.0,0.9755717
0,4,2,Attack,0.9524,1.0,0.9524,0.9756198
1,4,2,Normal,1.0,0.9545628,1.0,0.97675323
0,4,3,Attack,0.9644,1.0,0.9644,0.9818774
1,4,3,Normal,1.0,0.9656238,1.0,0.9825113
0,4,4,Attack,0.96408,1.0,0.96408,0.9817115
1,4,4,Normal,1.0,0.96532553,1.0,0.98235685
0,4,5,Attack,0.95016,1.0,0.95016,0.97444314
1,4,5,Normal,1.0,0.9525261,1.0,0.9756859
0,4,6,Attack,0.94312,0.9929251,0.94312,0.9673819
1,4,6,Normal,0.99328,0.94583684,0.99328,0.96897805
0,4,7,Attack,0.80696,1.0,0.80696,0.8931686
1,4,7,Normal,1.0,0.83819485,1.0,0.91197604
0,4,8,Attack,0.944,1.0,0.944,0.97119343
1,4,8,Normal,1.0,0.9469697,1.0,0.9727626
0,4,9,Attack,0.7592,1.0,0.7592,0.8631196
1,4,9,Normal,1.0,0.8059316,1.0,0.89253837
0,4,10,Attack,0.9228,0.99982667,0.9228,0.9597703
1,4,10,Normal,0.99984,0.9283221,0.99984,0.96275467
0,5,1,Attack,0.96408,1.0,0.96408,0.9817115
1,5,1,Normal,1.0,0.96532553,1.0,0.98235685
0,5,2,Attack,0.93472,1.0,0.93472,0.96625865
1,5,2,Normal,1.0,0.93872035,1.0,0.9683917
0,5,3,Attack,0.9188,0.99678874,0.9188,0.9562068
1,5,3,Normal,0.99704,0.9246921,0.99704,0.9595042
0,5,4,Attack,0.98576,0.9999189,0.98576,0.9927889
1,5,4,Normal,0.99992,0.9859588,0.99992,0.99289036
0,5,5,Attack,0.97768,1.0,0.97768,0.9887141
1,5,5,Normal,1.0,0.9781673,1.0,0.9889632
0,5,6,Attack,0.96864,0.9994222,0.96864,0.9837904
1,5,6,Normal,0.99944,0.969577,0.99944,0.9842821
0,5,7,Attack,0.94128,1.0,0.94128,0.9697519
1,5,7,Normal,1.0,0.9445368,1.0,0.97147745
0,5,8,Attack,0.94288,1.0,0.94288,0.97060037
1,5,8,Normal,1.0,0.9459664,1.0,0.972233
0,5,9,Attack,0.94712,1.0,0.94712,0.972842
1,5,9,Normal,1.0,0.9497759,1.0,0.974241
0,5,10,Attack,0.76856,1.0,0.76856,0.8691365
