,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.99676305,0.973297,0.99676305,0.9848902
1,1,1,Normal,0.9726502,0.9966827,0.9726502,0.9845198
0,1,2,Attack,1.0,0.9613692,1.0,0.9803041
1,1,2,Normal,0.95981246,1.0,0.95981246,0.9794942
0,1,3,Attack,1.0,0.92714477,1.0,0.9621952
1,1,3,Normal,0.92141104,1.0,0.92141104,0.9590983
0,1,4,Attack,1.0,0.9619845,1.0,0.98062396
1,1,4,Normal,0.96048665,1.0,0.96048665,0.9798451
0,1,5,Attack,0.9993302,0.98050386,0.9993302,0.9898275
1,1,5,Normal,0.9801317,0.99931717,0.9801317,0.98963153
0,1,6,Attack,0.9997767,0.7548251,0.9997767,0.8602026
1,1,6,Normal,0.6752986,0.99966955,0.6752986,0.8060755
0,1,7,Attack,0.99185085,0.9739121,0.99185085,0.98279965
1,1,7,Normal,0.9734316,0.99169797,0.9734316,0.9824799
0,1,8,Attack,1.0,0.97944456,1.0,0.98961556
1,1,8,Normal,0.97901314,1.0,0.97901314,0.98939526
0,1,9,Attack,1.0,0.5439971,1.0,0.70466083
1,1,9,Normal,0.16175486,1.0,0.16175486,0.27846643
0,1,10,Attack,1.0,0.97316676,1.0,0.98640096
1,1,10,Normal,0.9724269,1.0,0.9724269,0.98602074
0,2,1,Attack,1.0,0.9799825,1.0,0.98989004
1,2,1,Normal,0.97957134,1.0,0.97957134,0.9896803
0,2,2,Attack,1.0,0.98787075,1.0,0.9938984
1,2,2,Normal,0.9877205,1.0,0.9877205,0.99382234
0,2,3,Attack,1.0,0.8801454,1.0,0.9362525
1,2,3,Normal,0.8638089,1.0,0.8638089,0.9269286
0,2,4,Attack,1.0,0.98159105,1.0,0.99071
1,2,4,Normal,0.9812479,1.0,0.9812479,0.9905352
0,2,5,Attack,0.006921188,0.21985815,0.006921188,0.013419913
1,2,5,Normal,0.97544366,0.49554864,0.97544366,0.6572159
0,2,6,Attack,1.0,0.97816116,1.0,0.9889601
1,2,6,Normal,0.9776761,1.0,0.9776761,0.988712
0,2,7,Attack,0.99988836,0.9796566,0.99988836,0.9896691
1,2,7,Normal,0.9792364,0.99988604,0.9792364,0.98945355
0,2,8,Attack,1.0,0.9800875,1.0,0.9899436
1,2,8,Normal,0.979683,1.0,0.979683,0.9897373
0,2,9,Attack,1.0,0.9241721,1.0,0.9605919
1,2,9,Normal,0.91795045,1.0,0.91795045,0.9572202
0,2,10,Attack,1.0,0.97358984,1.0,0.98661816
1,2,10,Normal,0.9728734,1.0,0.9728734,0.98625016
