,Run #,Fold #,Class,Accuracy,Precision,Recall,F1 Score
0,1,1,Attack,0.93456,0.9526994,0.93456,0.9435425
1,1,1,Normal,0.9536,0.9357827,0.9536,0.9446074
0,1,2,Attack,0.93888,0.9421209,0.93888,0.9404977
1,1,2,Normal,0.94232,0.93908954,0.94232,0.940702
0,1,3,Attack,0.92472,0.95073205,0.92472,0.93754566
1,1,3,Normal,0.95208,0.9267248,0.95208,0.93923134
0,1,4,Attack,0.93936,0.9562668,0.93936,0.94773805
1,1,4,Normal,0.95704,0.9404135,0.95704,0.9486539
0,1,5,Attack,0.93736,0.9468283,0.93736,0.9420703
1,1,5,Normal,0.94736,0.9379802,0.94736,0.94264674
0,1,6,Attack,0.93896,0.95430523,0.93896,0.94657046
1,1,6,Normal,0.95504,0.93992597,0.95504,0.94742274
0,1,7,Attack,0.92392,0.96089524,0.92392,0.942045
1,1,7,Normal,0.9624,0.9267391,0.9624,0.94423294
0,1,8,Attack,0.93432,0.94766307,0.93432,0.94094425
1,1,8,Normal,0.9484,0.9352319,0.9484,0.94176996
0,1,9,Attack,0.9244,0.958126,0.9244,0.9409609
1,1,9,Normal,0.9596,0.92697066,0.9596,0.9430031
0,1,10,Attack,0.93288,0.9497475,0.93288,0.9412382
1,1,10,Normal,0.95064,0.9340513,0.95064,0.9422727
0,2,1,Attack,0.93032,0.9529624,0.93032,0.94150513
1,2,1,Normal,0.95408,0.93193716,0.95408,0.9428786
0,2,2,Attack,0.93848,0.95459354,0.93848,0.94646823
1,2,2,Normal,0.95536,0.9395012,0.95536,0.9473643
0,2,3,Attack,0.92712,0.94627255,0.92712,0.93659836
1,2,3,Normal,0.94736,0.9285658,0.94736,0.9378687
0,2,4,Attack,0.9324,0.9539985,0.9324,0.94307554
1,2,4,Normal,0.95504,0.9338966,0.95504,0.94435
0,2,5,Attack,0.9276,0.9501762,0.9276,0.9387525
1,2,5,Normal,0.95136,0.9292803,0.95136,0.9401905
0,2,6,Attack,0.93896,0.949058,0.93896,0.943982
1,2,6,Normal,0.9496,0.9396026,0.9496,0.94457483
0,2,7,Attack,0.9208,0.9555039,0.9208,0.9378309
1,2,7,Normal,0.95712,0.92357576,0.95712,0.9400487
0,2,8,Attack,0.92504,0.9516872,0.92504,0.9381744
1,2,8,Normal,0.95304,0.9270817,0.95304,0.9398816
0,2,9,Attack,0.93528,0.94863683,0.93528,0.94191104
1,2,9,Normal,0.94936,0.9361786,0.94936,0.94272333
0,2,10,Attack,0.93808,0.94901264,0.93808,0.9435147
1,2,10,Normal,0.9496,0.9387852,0.9496,0.94416165
0,3,1,Attack,0.92792,0.952377,0.92792,0.9399895
1,3,1,Normal,0.9536,0.9297247,0.9536,0.94151103
0,3,2,Attack,0.9304,0.95767456,0.9304,0.94384027
1,3,2,Normal,0.95888,0.93232733,0.95888,0.9454173
0,3,3,Attack,0.9376,0.94159234,0.9376,0.93959194
1,3,3,Normal,0.94184,0.93786347,0.94184,0.9398475
0,3,4,Attack,0.9396,0.95807165,0.9396,0.9487459
1,3,4,Normal,0.95888,0.9407425,0.95888,0.94972473
0,3,5,Attack,0.94064,0.95407337,0.94064,0.947309
1,3,5,Normal,0.95472,0.9414642,0.95472,0.9480458
0,3,6,Attack,0.92664,0.9509852,0.92664,0.9386547
1,3,6,Normal,0.95224,0.92847115,0.95224,0.9402054
0,3,7,Attack,0.93128,0.95684695,0.93128,0.94389033
1,3,7,Normal,0.958,0.9330684,0.958,0.94536984
0,3,8,Attack,0.9408,0.94999593,0.9408,0.9453756
1,3,8,Normal,0.95048,0.94136757,0.95048,0.94590175
0,3,9,Attack,0.93296,0.9504483,0.93296,0.9416229
1,3,9,Normal,0.95136,0.93417126,0.95136,0.9426873
0,3,10,Attack,0.92872,0.952338,0.92872,0.9403807
1,3,10,Normal,0.95352,0.93044496,0.95352,0.9418411
0,4,1,Attack,0.93432,0.9603651,0.93432,0.9471636
1,4,1,Normal,0.96144,0.9360542,0.96144,0.9485773
0,4,2,Attack,0.93608,0.9537822,0.93608,0.9448482
1,4,2,Normal,0.95464,0.9372447,0.95464,0.9458624
0,4,3,Attack,0.93328,0.9478388,0.93328,0.94050306
1,4,3,Normal,0.94864,0.93428934,0.94864,0.94140995
0,4,4,Attack,0.9388,0.9558524,0.9388,0.9472494
1,4,4,Normal,0.95664,0.9398727,0.95664,0.94818217
0,4,5,Attack,0.9328,0.9485073,0.9328,0.94058806
1,4,5,Normal,0.94936,0.9338947,0.94936,0.94156384
0,4,6,Attack,0.92392,0.9545417,0.92392,0.93898124
1,4,6,Normal,0.956,0.9262848,0.956,0.9409078
0,4,7,Attack,0.94096,0.961419,0.94096,0.9510795
1,4,7,Normal,0.96224,0.9421902,0.96224,0.9521095
0,4,8,Attack,0.94224,0.95407045,0.94224,0.9481183
1,4,8,Normal,0.95464,0.94294745,0.95464,0.9487577
0,4,9,Attack,0.92072,0.9602837,0.92072,0.9400858
1,4,9,Normal,0.96192,0.9238571,0.96192,0.9425044
0,4,10,Attack,0.91792,0.9562464,0.91792,0.9366913
1,4,10,Normal,0.958,0.921083,0.958,0.9391789
0,5,1,Attack,0.92384,0.9517844,0.92384,0.937604
1,5,1,Normal,0.9532,0.9260123,0.9532,0.93940943
