,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5287745,0.66573745,0.11558206,0.19696757
0,1,2,0.4814104,0.4896744,0.8815789,0.6296235
0,2,1,0.5837439,0.78406423,0.23114683,0.35703698
0,2,2,0.56849235,0.5380669,0.9681229,0.6916989
0,3,1,0.590649,0.8024161,0.24052373,0.37010786
0,3,2,0.5559502,0.5301829,0.982804,0.68879104
0,4,1,0.59594244,0.73849064,0.29708755,0.42371765
0,4,2,0.567008,0.53640395,0.98734766,0.695149
0,5,1,0.58582664,0.7160698,0.2844352,0.40714532
0,5,2,0.5592332,0.53377634,0.93607724,0.6798716
0,6,1,0.56122637,0.73369616,0.19222194,0.30463278
0,6,2,0.57540834,0.54148775,0.98421055,0.69861513
0,7,1,0.60567796,0.8383696,0.26183563,0.39904383
0,7,2,0.55307233,0.5298188,0.9429868,0.6784495
0,8,1,0.53841066,0.72290486,0.12457005,0.21251906
0,8,2,0.5205406,0.51186633,0.88603836,0.6488757
0,9,1,0.5556564,0.74801666,0.1678593,0.274189
0,9,2,0.5712276,0.5386819,0.9919108,0.69819283
0,10,1,0.5389465,0.7073384,0.13286665,0.2237113
0,10,2,0.5509496,0.5273089,0.9837892,0.68660104
