,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.5343056,0.7103715,0.11584133,0.19919899
0,1,2,0.56994426,0.538407,0.98050946,0.6951181
0,2,1,0.6391193,0.81461936,0.36021087,0.49953556
0,2,2,0.52356106,0.5133092,0.90870494,0.6560365
0,3,1,0.5776726,0.8059783,0.2045977,0.3263511
0,3,2,0.5595249,0.53274196,0.96852475,0.6873846
0,4,1,0.6255682,0.78977287,0.3422349,0.47753704
0,4,2,0.54877496,0.527202,0.94530725,0.6768961
0,5,1,0.5547273,0.707657,0.18650073,0.29520193
0,5,2,0.4466943,0.46563223,0.72221285,0.56621116
0,6,1,0.5951603,0.7552861,0.28154007,0.4101812
0,6,2,0.56174487,0.5341897,0.96472,0.68762445
0,7,1,0.55993867,0.7562724,0.17688186,0.2867069
0,7,2,0.5097971,0.50557786,0.88800883,0.64431965
0,8,1,0.5876372,0.7850457,0.24136202,0.36921042
0,8,2,0.51582515,0.5090281,0.8922673,0.64824176
0,9,1,0.58481115,0.82079697,0.2169994,0.34325123
0,9,2,0.51878405,0.51037693,0.9238722,0.657519
0,10,1,0.60109323,0.8206815,0.25871575,0.39341074
0,10,2,0.48709166,0.49279115,0.8824021,0.63240564
