,Run #,Fold #,Accuracy,Precision,Recall,F1 Score
0,1,1,0.53403336,0.63002706,0.16490364,0.26139072
0,1,2,0.58162105,0.54501325,0.98825514,0.7025673
0,2,1,0.49208367,0.46158686,0.09512574,0.15774313
0,2,2,0.563576,0.53848267,0.8896098,0.67088014
0,3,1,0.41614813,0.2700666,0.0984876,0.14433813
0,3,2,0.5385403,0.52338016,0.8627495,0.65152055
0,4,1,0.4103751,0.17489576,0.048215367,0.075591594
0,4,2,0.2345735,0.28100199,0.34057558,0.30793393
0,5,1,0.5073546,0.5252343,0.15308098,0.23706788
0,5,2,0.5672608,0.5426076,0.856566,0.6643625
0,6,1,0.51563823,0.5537757,0.16104053,0.2495196
0,6,2,0.57660425,0.5422613,0.98292065,0.6989327
0,7,1,0.42649728,0.24704063,0.0717829,0.11124206
0,7,2,0.5344309,0.52000874,0.8948276,0.65776956
0,8,1,0.5370884,0.55332845,0.38482413,0.45394352
0,8,2,0.5290154,0.51738834,0.86335236,0.6470273
0,9,1,0.58447844,0.75333023,0.25121424,0.37678227
0,9,2,0.5756514,0.54134244,0.99058855,0.70009375
0,10,1,0.42973813,0.25815088,0.07499784,0.11622892
0,10,2,0.42882097,0.44723958,0.6033705,0.5137037
